ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL,Latitude,Longitude,Full Address
25603735,8@BT,Sale,2828000.0,3,2,1109,Brenda Koh,25 Sep 2025,6 Bukit Timah Link,DT5 Beauty World MRT Station,140.0,2550.05,https://www.propertyguru.com.sg/listing/for-sale-8-bt-25603735,1.34137140164237,103.776905804914,8 BUKIT TIMAH LINK 8@BT (U/C) SINGAPORE 589944
25266367,Verdale,Sale,1198000.0,2,1,614,Amy Tan,25 Sep 2025,16 De Souza Avenue,DT5 Beauty World MRT Station,950.0,1951.14,https://www.propertyguru.com.sg/listing/for-sale-verdale-25266367,1.34487621617488,103.769099813375,12 DE SOUZA AVENUE VERDALE SINGAPORE 599462
24597489,Pinetree Hill,Sale,4382000.0,5,3,1733,Ryan Lee æåæ°,25 Sep 2025,36 Pine Grove,,,2528.56,https://www.propertyguru.com.sg/listing/for-sale-pinetree-hill-24597489,1.31987177689792,103.776658479925,36 PINE GROVE PINETREE HILL (U/C) SINGAPORE 598444
60035837,Gardenvista,Sale,1500000.0,1,2,893,Grace Yow,25 Sep 2025,956 Dunearn Road,DT6 King Albert Park MRT Station,450.0,1679.73,https://www.propertyguru.com.sg/listing/for-sale-gardenvista-60035837,1.3379303694628,103.780475005793,962 DUNEARN ROAD GARDENVISTA SINGAPORE 589487
25575956,The Hillside,Sale,2750000.0,4,3,1518,Yibing Tan,25 Sep 2025,345 Upper Bukit Timah Road,DT4 Hume MRT Station,440.0,1811.59,https://www.propertyguru.com.sg/listing/for-sale-the-hillside-25575956,1.35228463714463,103.767009318805,343 UPPER BUKIT TIMAH ROAD THE HILLSIDE SINGAPORE 588196
25345974,View at Kismis,Sale,1399000.0,2,2,710,Careen Ong,25 Sep 2025,21 Lorong Kismis,DT5 Beauty World MRT Station,1000.0,1970.42,https://www.propertyguru.com.sg/listing/for-sale-view-at-kismis-25345974,1.33804783376219,103.769813016884,23 LORONG KISMIS VIEW AT KISMIS SINGAPORE 596188
60091818,Nava Grove,Sale,3200000.0,4,4,1335,Joylyn Ho,25 Sep 2025,38 Pine Grove,,,2397.0,https://www.propertyguru.com.sg/listing/for-sale-nava-grove-60091818,1.31971103411894,103.775102771247,40 PINE GROVE NAVA GROVE (U/C) SINGAPORE 597775
60099337,Astor Green,Sale,2288888.0,3,3,1528,Edwin Aw,25 Sep 2025,3 Pine Grove,,,1497.96,https://www.propertyguru.com.sg/listing/for-sale-astor-green-60099337,1.31784080297671,103.776484414034,5 PINE GROVE ASTOR GREEN SINGAPORE 597591
60058545,Highgate,Sale,2480000.0,3,3,1378,Lee Wen Wei Samantha,25 Sep 2025,62 Toh Tuck Road,,,1799.71,https://www.propertyguru.com.sg/listing/for-sale-highgate-60058545,1.34183859405778,103.766292641702,66 TOH TUCK ROAD HIGHGATE SINGAPORE 596730
60108945,Floridian,Sale,5480000.0,4,4,2347,Chris Tan,25 Sep 2025,973 Bukit Timah Road,DT6 King Albert Park MRT Station,470.0,2334.9,https://www.propertyguru.com.sg/listing/for-sale-floridian-60108945,1.33302890934461,103.786004688074,967 BUKIT TIMAH ROAD FLORIDIAN SINGAPORE 589663
60076832,Charisma View,Sale,1200000.0,1,1,657,Elroy Tan,25 Sep 2025,167 Jalan Jurong Kechil,,,1826.48,https://www.propertyguru.com.sg/listing/for-sale-charisma-view-60076832,1.34440319329816,103.768395045596,167 JALAN JURONG KECHIL CHARISMA VIEW SINGAPORE 598671
60002621,KAP Residences,Sale,1580000.0,2,1,700,Ron Chong,25 Sep 2025,11 King Albert Park,DT6 King Albert Park MRT Station,520.0,2257.14,https://www.propertyguru.com.sg/listing/for-sale-kap-residences-60002621,,,
60009292,Verdale,Sale,1450000.0,2,2,732,Joan Loh,25 Sep 2025,6 De Souza Avenue,DT5 Beauty World MRT Station,940.0,1980.87,https://www.propertyguru.com.sg/listing/for-sale-verdale-60009292,1.34487621617488,103.769099813375,12 DE SOUZA AVENUE VERDALE SINGAPORE 599462
25435932,View at Kismis,Sale,2770000.0,5,3,1281,Kevin Ng,25 Sep 2025,21 Lorong Kismis,DT5 Beauty World MRT Station,1000.0,2162.37,https://www.propertyguru.com.sg/listing/for-sale-view-at-kismis-25435932,1.33804783376219,103.769813016884,23 LORONG KISMIS VIEW AT KISMIS SINGAPORE 596188
60127399,Verdale,Sale,1198000.0,2,1,614,Bertram Tian  ç°éä¼,25 Sep 2025,346 River Valley Road,TE15 Great World MRT Station,330.0,1951.14,https://www.propertyguru.com.sg/listing/for-sale-verdale-60127399,1.34487621617488,103.769099813375,12 DE SOUZA AVENUE VERDALE SINGAPORE 599462
