ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL,Latitude,Longitude,Full Address
25327351,Canberra Residences,Sale,1400000.0,3,2,1142,Joey Teo å¼µå½©å,25 Sep 2025,501 Canberra Drive,NS12 Canberra MRT Station,700.0,1225.92,https://www.propertyguru.com.sg/listing/for-sale-canberra-residences-25327351,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827
60110507,Orchid Park Condominium,Sale,1188888.0,3,3,1141,Nasir Eusof,25 Sep 2025,95 Yishun Street 81,NS14 Khatib MRT Station,860.0,1041.97,https://www.propertyguru.com.sg/listing/for-sale-orchid-park-condominium-60110507,1.4123301076417,103.834893081979,93 YISHUN STREET 81 ORCHID PARK CONDOMINIUM SINGAPORE 768451
60012127,The Watergardens at Canberra,Sale,1599999.0,3,2,958,Klyssa Chong,25 Sep 2025,45 Canberra Drive,NS12 Canberra MRT Station,730.0,1670.15,https://www.propertyguru.com.sg/listing/for-sale-the-watergardens-at-canberra-60012127,1.4408571271116,103.827823180136,57 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769330
60099471,The Watergardens at Canberra,Sale,1599999.0,3,2,904,Klyssa Chong,25 Sep 2025,31 Canberra Drive,NS12 Canberra MRT Station,620.0,1769.91,https://www.propertyguru.com.sg/listing/for-sale-the-watergardens-at-canberra-60099471,1.4408571271116,103.827823180136,57 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769330
25490520,Seletaris,Sale,2300000.0,4,4,1636,Roxine Ang,25 Sep 2025,501 Sembawang Road,,,1405.87,https://www.propertyguru.com.sg/listing/for-sale-seletaris-25490520,1.4359493538337,103.82341073813,505 SEMBAWANG ROAD SELETARIS SINGAPORE 757708
60121881,The Watergardens at Canberra,Sale,1300000.0,2,2,753,Joy Wong,25 Sep 2025,35 Canberra Drive,NS12 Canberra MRT Station,680.0,1726.43,https://www.propertyguru.com.sg/listing/for-sale-the-watergardens-at-canberra-60121881,1.4408571271116,103.827823180136,57 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769330
25568113,The Commodore,Sale,1100000.0,2,1,624,Jesper Kow Zhong Jun,25 Sep 2025,69 Canberra Drive,NS12 Canberra MRT Station,750.0,1762.82,https://www.propertyguru.com.sg/listing/for-sale-the-commodore-25568113,1.44193360777379,103.827439972221,65 CANBERRA DRIVE THE COMMODORE SINGAPORE 769307
60047035,The Commodore,Sale,1900000.0,3,2,1152,Willmen Low,25 Sep 2025,67 Canberra Drive,NS12 Canberra MRT Station,710.0,1649.31,https://www.propertyguru.com.sg/listing/for-sale-the-commodore-60047035,1.44193360777379,103.827439972221,65 CANBERRA DRIVE THE COMMODORE SINGAPORE 769307
60047612,The Watergardens at Canberra,Sale,2450000.0,4,4,1302,Sheldon Soo,25 Sep 2025,27 Canberra Drive,NS12 Canberra MRT Station,550.0,1881.72,https://www.propertyguru.com.sg/listing/for-sale-the-watergardens-at-canberra-60047612,1.4408571271116,103.827823180136,57 CANBERRA DRIVE THE WATERGARDENS AT CANBERRA SINGAPORE 769330
25515299,Kandis Residence,Sale,1000000.0,2,2,797,Andy Tan éå¿è±ª,25 Sep 2025,2 Kandis Link,,,1254.71,https://www.propertyguru.com.sg/listing/for-sale-kandis-residence-25515299,1.45643625409312,103.837218581465,2 KANDIS LINK KANDIS RESIDENCE SINGAPORE 756967
25615471,Symphony Suites,Sale,1439000.0,4,3,1023,Leon Wee,25 Sep 2025,9 Yishun Close,,,1406.65,https://www.propertyguru.com.sg/listing/for-sale-symphony-suites-25615471,1.43537726152559,103.844165552611,13 YISHUN CLOSE SYMPHONY SUITES SINGAPORE 768010
60131065,The Nautical,Sale,1650000.0,3,2,1389,Donny Lee,25 Sep 2025,97 Jalan Sendudok,NS12 Canberra MRT Station,630.0,1187.9,https://www.propertyguru.com.sg/listing/for-sale-the-nautical-60131065,1.4428170077791,103.824737654777,97 JALAN SENDUDOK THE NAUTICAL SINGAPORE 769474
