ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL,Latitude,Longitude,Full Address
24886281,The Inflora,Sale,1850000.0,4,3,1302,Jess Yang,25 Sep 2025,67 Flora Drive,,,1420.89,https://www.propertyguru.com.sg/listing/for-sale-the-inflora-24886281,1.35676619967628,103.966471571606,53 FLORA DRIVE THE INFLORA SINGAPORE 506863
60138069,Ferraria Park Condo,Sale,1300000.0,3,2,1044,Pauline Chong,25 Sep 2025,8 Flora Drive,,,1245.21,https://www.propertyguru.com.sg/listing/for-sale-ferraria-park-condo-60138069,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951
60108224,The Inflora,Sale,688000.0,1,1,463,Amanda Soon å­ æ æ¬£,25 Sep 2025,59 Flora Drive,,,1485.96,https://www.propertyguru.com.sg/listing/for-sale-the-inflora-60108224,1.35676619967628,103.966471571606,53 FLORA DRIVE THE INFLORA SINGAPORE 506863
60093862,Celadon View,Sale,1700000.0,3,2,1346,Yuna Lim,25 Sep 2025,45 Jalan Loyang Besar,,,1263.0,https://www.propertyguru.com.sg/listing/for-sale-celadon-view-60093862,1.37834985706372,103.95659135188,45 JALAN LOYANG BESAR CELADON VIEW SINGAPORE 507029
60038246,Hedges Park Condominium,Sale,1800000.0,4,4,1346,Dylan Seng æä¼æ´,25 Sep 2025,83 Flora Drive,,,1337.3,https://www.propertyguru.com.sg/listing/for-sale-hedges-park-condominium-60038246,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883
60018934,The Gale,Sale,1328888.0,2,2,936,Melvin Heng,25 Sep 2025,78 Flora Road,,,1419.75,https://www.propertyguru.com.sg/listing/for-sale-the-gale-60018934,1.35850037030514,103.967530428228,70 FLORA ROAD THE GALE SINGAPORE 506914
60083293,Parc Olympia,Sale,1320000.0,3,3,1163,Zee Koh,25 Sep 2025,66 Flora Drive,,,1135.0,https://www.propertyguru.com.sg/listing/for-sale-parc-olympia-60083293,1.35577257355415,103.964916673398,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860
60019338,Azalea Park Condo,Sale,1650000.0,3,2,1335,Sha Angullia,25 Sep 2025,14 Flora Road,,,1235.96,https://www.propertyguru.com.sg/listing/for-sale-azalea-park-condo-60019338,1.36024858909181,103.963296618871,14 FLORA ROAD AZALEA PARK CONDOMINIUM SINGAPORE 509731
25311454,Parc Komo,Sale,1300000.0,2,2,732,Shane Julian Valerio,25 Sep 2025,971 Upper Changi Road North,,,1775.96,https://www.propertyguru.com.sg/listing/for-sale-parc-komo-25311454,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666
60076967,Ferraria Park Condo,Sale,1320000.0,2,2,915,Genevieve Dong,24 Sep 2025,8 Flora Drive,,,1442.62,https://www.propertyguru.com.sg/listing/for-sale-ferraria-park-condo-60076967,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951
60083184,Avila Gardens,Sale,1588888.0,3,3,1281,Champa Murjani,24 Sep 2025,17 Flora Road,,,1240.35,https://www.propertyguru.com.sg/listing/for-sale-avila-gardens-60083184,1.36135616719598,103.966002456249,13 FLORA ROAD AVILA GARDENS SINGAPORE 509733
25480714,Parc Komo,Sale,1158000.0,2,1,657,Vevien Ong,24 Sep 2025,963A Upper Changi Road North,,,1762.56,https://www.propertyguru.com.sg/listing/for-sale-parc-komo-25480714,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666
60075405,Ferraria Park Condo,Sale,1388000.0,3,2,1023,Shelby Lai,24 Sep 2025,14 Flora Drive,,,1356.79,https://www.propertyguru.com.sg/listing/for-sale-ferraria-park-condo-60075405,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951
60026141,Ferraria Park Condo,Sale,1388000.0,3,2,1023,Maureen Kang,24 Sep 2025,14 Flora Drive,,,1356.79,https://www.propertyguru.com.sg/listing/for-sale-ferraria-park-condo-60026141,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951
25520465,Hedges Park Condominium,Sale,1080000.0,2,2,797,Ruth Ho,24 Sep 2025,83 Flora Drive,,,1355.08,https://www.propertyguru.com.sg/listing/for-sale-hedges-park-condominium-25520465,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883
60077201,The Jovell,Sale,799999.0,1,1,527,Grace Yow,24 Sep 2025,19 Flora Drive,,,1518.02,https://www.propertyguru.com.sg/listing/for-sale-the-jovell-60077201,1.35800736226486,103.966834515637,21 FLORA DRIVE THE JOVELL SINGAPORE 506761
25505781,Estella Gardens,Sale,800000.0,1,1,657,Jason Seah,24 Sep 2025,21 - 27 Flora Road,,,1217.66,https://www.propertyguru.com.sg/listing/for-sale-estella-gardens-25505781,1.36040837316816,103.967088767874,23 FLORA ROAD ESTELLA GARDENS SINGAPORE 509739
60114012,Hedges Park Condominium,Sale,1300000.0,3,3,1076,Salihin .,24 Sep 2025,71 Flora Drive,,,1208.18,https://www.propertyguru.com.sg/listing/for-sale-hedges-park-condominium-60114012,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883
