Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE GLADES,"1,188,000",688.9,"1,724",Nov-23,BEDOK RISE,Resale,Strata,64,"18,563",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
KERRISDALE,"1,950,000","1,270.15","1,535",Nov-23,STURDEE ROAD,Resale,Strata,118,"16,525",-,Condominium,1,99 yrs lease commencing from 1998,08,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,195,000",678.13,"1,762",Nov-23,TAMPINES LANE,Sub Sale,Strata,63,"18,968",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE PARC CONDOMINIUM,"2,450,000","1,420.85","1,724",Nov-23,WEST COAST WALK,Resale,Strata,132,"18,561",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
LAKE GRANDE,"1,180,000",624.31,"1,890",Nov-23,JURONG LAKE LINK,Resale,Strata,58,"20,345",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,06 to 10
THE TAPESTRY,"760,000",441.32,"1,722",Nov-23,TAMPINES STREET 86,Resale,Strata,41,"18,537",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
EON SHENTON,"1,790,000","1,130.22","1,584",Nov-23,SHENTON WAY,Resale,Strata,105,"17,048",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,31 to 35
MIDTOWN RESIDENCES,"955,000",645.84,"1,479",Nov-23,UPPER SERANGOON ROAD,Resale,Strata,60,"15,917",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
THE BENCOOLEN,"1,587,500","1,270.15","1,250",Nov-23,BENCOOLEN STREET,Resale,Strata,118,"13,453",-,Apartment,1,99 yrs lease commencing from 1995,07,Rest of Central Region,01 to 05
THE INFLORA,"1,300,000","1,108.69","1,173",Nov-23,FLORA DRIVE,Resale,Strata,103,"12,621",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
MAYFAIR MODERN,"2,420,000","1,140.98","2,121",Nov-23,RIFLE RANGE ROAD,Sub Sale,Strata,106,"22,830",-,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,06 to 10
LAKE GRANDE,"875,000",473.62,"1,847",Nov-23,JURONG LAKE LINK,Resale,Strata,44,"19,886",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,11 to 15
STIRLING RESIDENCES,"1,550,000",688.9,"2,250",Nov-23,STIRLING ROAD,Resale,Strata,64,"24,219",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
TRILIVE,"1,610,000",904.18,"1,781",Nov-23,TAMPINES ROAD,Resale,Strata,84,"19,167",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
LE QUEST,"1,075,000",613.55,"1,752",Nov-23,BUKIT BATOK STREET 41,Resale,Strata,57,"18,860",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
PARC CLEMATIS,"1,320,000",688.9,"1,916",Nov-23,JALAN LEMPENG,Sub Sale,Strata,64,"20,625",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
PARC ROSEWOOD,"815,000",753.48,"1,082",Nov-23,ROSEWOOD DRIVE,Resale,Strata,70,"11,643",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
JADESCAPE,"1,668,000",764.24,"2,183",Nov-23,SHUNFU ROAD,Resale,Strata,71,"23,493",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15
THE SIENA,"1,750,000",979.52,"1,787",Nov-23,TAN KIM CHENG ROAD,Resale,Strata,91,"19,231",-,Apartment,1,99 yrs lease commencing from 2013,10,Core Central Region,01 to 05
THOMSON THREE,"2,020,000","1,044.11","1,935",Nov-23,BRIGHT HILL DRIVE,Resale,Strata,97,"20,825",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,638,888",688.9,"2,379",Nov-23,STIRLING ROAD,Resale,Strata,64,"25,608",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
NIN RESIDENCE,"835,000",527.44,"1,583",Nov-23,PHENG GECK AVENUE,Resale,Strata,49,"17,041",-,Apartment,1,99 yrs lease commencing from 2010,13,Rest of Central Region,11 to 15
AFFINITY AT SERANGOON,"1,010,000",613.55,"1,646",Nov-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,57,"17,719",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"985,000",581.26,"1,695",Nov-23,TAMPINES LANE,Sub Sale,Strata,54,"18,241",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARC VISTA,"2,300,000","2,378.84",967,Nov-23,CORPORATION ROAD,Resale,Strata,221,"10,407",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"2,680,000","1,485.43","1,804",Nov-23,HOUGANG AVENUE 7,Sub Sale,Strata,138,"19,420",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
CAPE ROYALE,"4,204,000","1,905.23","2,207",Nov-23,COVE WAY,Resale,Strata,177,"23,751",-,Condominium,1,99 yrs lease commencing from 2008,04,Core Central Region,11 to 15
MIDTOWN RESIDENCES,"1,020,000",656.6,"1,553",Oct-23,UPPER SERANGOON ROAD,Resale,Strata,61,"16,721",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
GRAND DUNMAN,"3,462,000","1,431.61","2,418",Oct-23,DUNMAN ROAD,New Sale,Strata,133,"26,030",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
THE RESERVE RESIDENCES,"3,458,499","1,474.67","2,345",Oct-23,JALAN ANAK BUKIT,New Sale,Strata,137,"25,245",-,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,11 to 15
THE RESERVE RESIDENCES,"3,307,282","1,323.97","2,498",Oct-23,JALAN ANAK BUKIT,New Sale,Strata,123,"26,888",-,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,26 to 30
BALLOTA PARK CONDOMINIUM,"1,420,000","1,431.61",992,Oct-23,MARIAM WAY,Resale,Strata,133,"10,677",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,500,000",850.36,"1,764",Oct-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,79,"18,987",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
PARKSUITES,"1,443,321",635.08,"2,273",Oct-23,HOLLAND GROVE ROAD,New Sale,Strata,59,"24,463",-,Apartment,1,110 yrs lease commencing from 2017,10,Core Central Region,01 to 05
3@PHILLIPS,"1,400,000","1,022.58","1,369",Oct-23,PHILLIPS AVENUE,Resale,Strata,95,"14,737",-,Apartment,1,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05
THE M,"2,136,000",839.59,"2,544",Oct-23,MIDDLE ROAD,New Sale,Strata,78,"27,385",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
VALLEY PARK,"4,060,000","1,808.35","2,245",Oct-23,RIVER VALLEY ROAD,Resale,Strata,168,"24,167",-,Condominium,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
GRAND DUNMAN,"2,557,000","1,162.51","2,200",Oct-23,DUNMAN ROAD,New Sale,Strata,108,"23,676",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20
THE LAKEGARDEN RESIDENCES,"1,508,000",731.95,"2,060",Oct-23,YUAN CHING ROAD,New Sale,Strata,68,"22,176",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,01 to 05
PARC CLEMATIS,"860,000",452.09,"1,902",Oct-23,JALAN LEMPENG,Sub Sale,Strata,42,"20,476",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
COASTAL BREEZE RESIDENCES,"1,268,000","1,151.75","1,101",Oct-23,LOYANG BESAR CLOSE,Resale,Strata,107,"11,850",-,Condominium,1,99 yrs lease commencing from 2008,17,Outside Central Region,01 to 05
REGENT RESIDENCES,"1,100,000",688.9,"1,597",Oct-23,SERANGOON ROAD,Resale,Strata,64,"17,188",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
D'NEST,"1,268,000",936.47,"1,354",Oct-23,PASIR RIS GROVE,Resale,Strata,87,"14,575",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
WALLICH RESIDENCE,"5,210,000","1,668.42","3,123",Oct-23,WALLICH STREET,Resale,Strata,155,"33,613",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,46 to 50
THE BAYSHORE,"1,200,000",947.23,"1,267",Oct-23,BAYSHORE ROAD,Resale,Strata,88,"13,636",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05
FABER CREST,"1,700,888","1,377.79","1,235",Oct-23,FABER HEIGHTS,Resale,Strata,128,"13,288",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
MILLAGE,"733,000",462.85,"1,584",Oct-23,CHANGI ROAD,Resale,Strata,43,"17,047",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
TRIBECA,"1,330,000",516.67,"2,574",Oct-23,KIM SENG ROAD,Resale,Strata,48,"27,708",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
RIVER ISLES,"1,160,000",893.41,"1,298",Oct-23,EDGEDALE PLAINS,Resale,Strata,83,"13,976",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,750,000",968.76,"1,806",Oct-23,SERANGOON NORTH VIEW,Resale,Strata,90,"19,444",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05
THE NAUTICAL,"950,000",785.77,"1,209",Oct-23,JALAN SENDUDOK,Resale,Strata,73,"13,014",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
TURQUOISE,"4,610,000","2,680.24","1,720",Oct-23,COVE DRIVE,Resale,Strata,249,"18,514",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
KINGSFORD WATERBAY,"970,000",678.13,"1,430",Oct-23,UPPER SERANGOON VIEW,Resale,Strata,63,"15,397",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"2,000,000","1,162.51","1,720",Oct-23,LORONG HOW SUN,Resale,Strata,108,"18,519",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVERSAILS,"1,250,000",947.23,"1,320",Oct-23,UPPER SERANGOON CRESCENT,Resale,Strata,88,"14,205",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
ONE SHENTON,"2,550,000","1,539.25","1,657",Oct-23,SHENTON WAY,Resale,Strata,143,"17,832",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,11 to 15
THE GARDEN RESIDENCES,"2,300,000","1,194.8","1,925",Oct-23,SERANGOON NORTH VIEW,Resale,Strata,111,"20,721",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
OLEANAS RESIDENCE,"3,200,000","1,668.42","1,918",Oct-23,KIM YAM ROAD,Resale,Strata,155,"20,645",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
J GATEWAY,"1,060,000",527.44,"2,010",Oct-23,GATEWAY DRIVE,Resale,Strata,49,"21,633",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,800,000",904.18,"1,991",Oct-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,84,"21,429",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
