Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HILLHAVEN,"1,748,004",796.54,"2,195",Dec-24,HILLVIEW RISE,New Sale,Strata,74,"23,622",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25
THE TAPESTRY,"1,908,888","1,130.22","1,689",Dec-24,TAMPINES STREET 86,Resale,Strata,105,"18,180",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
THE TROPICA,"1,508,000","1,237.86","1,218",Dec-24,TAMPINES AVENUE 1,Resale,Strata,115,"13,113",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
LENTOR MANSION,"2,840,000","1,227.1","2,314",Dec-24,LENTOR GARDENS,New Sale,Strata,114,"24,912",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,16 to 20
THE GARDEN RESIDENCES,"1,375,000",796.54,"1,726",Dec-24,SERANGOON NORTH VIEW,Resale,Strata,74,"18,581",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05
MEYER BLUE,"3,108,000",990.29,"3,138",Dec-24,MEYER ROAD,New Sale,Strata,92,"33,783",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SOUTHBANK,"1,150,000",613.55,"1,874",Dec-24,NORTH BRIDGE ROAD,Resale,Strata,57,"20,175",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,16 to 20
PARC ESTA,"1,608,000",742.72,"2,165",Dec-24,SIMS AVENUE,Resale,Strata,69,"23,304",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
TREESCAPE,"1,588,000",871.88,"1,821",Dec-24,LORONG N TELOK KURAU,Resale,Strata,81,"19,605",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SOUTHAVEN II,"2,300,000","1,302.44","1,766",Dec-24,HINDHEDE WALK,Resale,Strata,121,"19,008",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05
ORCHID PARK CONDOMINIUM,"1,260,000","1,151.75","1,094",Dec-24,YISHUN STREET 81,Resale,Strata,107,"11,776",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,06 to 10
PANDAN VALLEY,"3,103,800","2,217.38","1,400",Dec-24,PANDAN VALLEY,Resale,Strata,206,"15,067",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
BUTTERWORTH 8,"1,950,000","1,022.58","1,907",Dec-24,BUTTERWORTH LANE,Resale,Strata,95,"20,526",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
HORIZON RESIDENCES,"1,980,000","1,001.05","1,978",Dec-24,PASIR PANJANG HILL,Resale,Strata,93,"21,290",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
SUITES @ EASTCOAST,"975,000",570.49,"1,709",Dec-24,UPPER EAST COAST ROAD,Resale,Strata,53,"18,396",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"2,854,000","1,367.03","2,088",Dec-24,KEPPEL BAY VIEW,Resale,Strata,127,"22,472",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,16 to 20
THE MINTON,"1,415,000",979.52,"1,445",Dec-24,HOUGANG STREET 11,Resale,Strata,91,"15,549",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
THE PALETTE,"1,150,000",731.95,"1,571",Dec-24,PASIR RIS GROVE,Resale,Strata,68,"16,912",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
LE QUEST,"1,250,000",828.83,"1,508",Dec-24,BUKIT BATOK STREET 41,Resale,Strata,77,"16,234",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,16 to 20
LA CRYSTAL,"1,888,888",936.47,"2,017",Dec-24,KILLINEY ROAD,Resale,Strata,87,"21,711",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE HILLIER,"805,000",505.91,"1,591",Dec-24,HILLVIEW RISE,Resale,Strata,47,"17,128",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20
ARCHIPELAGO,"1,330,000",828.83,"1,605",Dec-24,BEDOK RESERVOIR ROAD,Resale,Strata,77,"17,273",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
CRAIG PLACE,"1,450,000",731.95,"1,981",Dec-24,CRAIG ROAD,Resale,Strata,68,"21,324",-,Apartment,1,99 yrs lease commencing from 1997,02,Rest of Central Region,11 to 15
RIVERSOUND RESIDENCE,"1,660,000","1,291.68","1,285",Dec-24,SENGKANG EAST AVENUE,Resale,Strata,120,"13,833",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
KOPAR AT NEWTON,"1,730,000",688.9,"2,511",Dec-24,MAKEWAY AVENUE,Resale,Strata,64,"27,031",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,06 to 10
MANDALAY MANSION,"2,800,000","2,088.22","1,341",Dec-24,MINBU ROAD,Resale,Strata,194,"14,433",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
ASPEN HEIGHTS,"2,500,000","1,044.11","2,394",Dec-24,RIVER VALLEY ROAD,Resale,Strata,97,"25,773",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
ALEX RESIDENCES,"1,485,000",678.13,"2,190",Dec-24,ALEXANDRA VIEW,Resale,Strata,63,"23,571",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
THE EQUATORIAL,"3,360,000","1,377.79","2,439",Dec-24,STEVENS ROAD,Resale,Strata,128,"26,250",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
COASTLINE RESIDENCES,"3,000,000","1,108.69","2,706",Dec-24,AMBER ROAD,Sub Sale,Strata,103,"29,126",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MARINA ONE RESIDENCES,"2,300,000","1,119.46","2,055",Dec-24,MARINA WAY,Resale,Strata,104,"22,115",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
M5,"1,489,000",742.72,"2,005",Dec-24,JALAN MUTIARA,Resale,Strata,69,"21,580",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
AVA TOWERS,"1,788,000","1,280.92","1,396",Dec-24,AVA ROAD,Resale,Strata,119,"15,025",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
KINGSFORD WATERBAY,"975,000",678.13,"1,438",Dec-24,UPPER SERANGOON VIEW,Resale,Strata,63,"15,476",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
MAYA,"2,016,888","1,280.92","1,575",Dec-24,STILL ROAD,Resale,Strata,119,"16,949",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAKEPOINT CONDOMINIUM,"980,000","1,001.05",979,Dec-24,LAKEPOINT DRIVE,Resale,Strata,93,"10,538",-,Condominium,1,99 yrs lease commencing from 1983,22,Outside Central Region,06 to 10
MEIER SUITES,"4,528,000","2,206.62","2,052",Dec-24,MARGATE ROAD,Resale,Strata,205,"22,088",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
