ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL
25637019,Costa Del Sol,Sale,2368000.0,3,3,1313,Manuel Wong,25 Sep 2025,68 Bayshore Road,TE29 Bayshore MRT Station,200.0,1803.5,https://www.propertyguru.com.sg/listing/for-sale-costa-del-sol-25637019
25534098,eCO,Sale,840000.0,1,1,549,Siok Xue Qian,25 Sep 2025,283 Bedok South Avenue 3,EW4 Tanah Merah MRT Station,790.0,1530.05,https://www.propertyguru.com.sg/listing/for-sale-eco-25534098
60109582,The Tanamera,Sale,1780000.0,3,3,1324,Velisa Leong,25 Sep 2025,3 Tanah Merah Kechil Road,EW4 Tanah Merah MRT Station,390.0,1344.41,https://www.propertyguru.com.sg/listing/for-sale-the-tanamera-60109582
60084211,Sceneca Residence,Sale,5188000.0,4,5,2400,Rita King,25 Sep 2025,Tanah Merah Kechil Link,CG Tanah Merah MRT Station,650.0,2161.67,https://www.propertyguru.com.sg/listing/for-sale-sceneca-residence-60084211
60069431,Archipelago,Sale,870000.0,1,1,527,Grace Tan 陈丽玲,25 Sep 2025,509 Bedok Reservoir,DT29 Bedok North MRT Station,510.0,1650.85,https://www.propertyguru.com.sg/listing/for-sale-archipelago-60069431
60060000,Tanamera Crest,Sale,1428888.0,3,2,1163,Amy Tan,25 Sep 2025,8 Pari Dedap Walk,,,1228.62,https://www.propertyguru.com.sg/listing/for-sale-tanamera-crest-60060000
60102914,Laguna Green,Sale,1600000.0,2,2,1023,Joy Wong,25 Sep 2025,20 Jalan Hajijah,TE28 Siglap MRT Station,730.0,1564.03,https://www.propertyguru.com.sg/listing/for-sale-laguna-green-60102914
25594123,Baywater,Sale,2880000.0,3,3,2400,Daron Ang,25 Sep 2025,808 Bedok Reservoir Road,DT30 Bedok Reservoir MRT Station,70.0,1200.0,https://www.propertyguru.com.sg/listing/for-sale-baywater-25594123
60082366,Bedok Court,Sale,1450000.0,1,1,1195,Bernard Lee,25 Sep 2025,295 Bedok South Avenue 3,EW4 Tanah Merah MRT Station,790.0,1213.39,https://www.propertyguru.com.sg/listing/for-sale-bedok-court-60082366
60123244,The Bayshore,Sale,1890000.0,3,3,1238,Chester Chong,25 Sep 2025,22 Bayshore Road,TE29 Bayshore MRT Station,240.0,1526.66,https://www.propertyguru.com.sg/listing/for-sale-the-bayshore-60123244
