ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL
60073494,High Park Residences,Sale,760000.0,1,1,441,Ryan Lee 李嘉杰,25 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1723.36,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60073494
60094982,Serenity Park,Sale,2400000.0,3,2,1593,George Peng,25 Sep 2025,157C Tamarind Road,,,1506.59,https://www.propertyguru.com.sg/listing/for-sale-serenity-park-60094982
25523841,High Park Residences,Sale,1379413.0,3,2,893,Jet Lee,25 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1544.7,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25523841
25638962,High Park Residences,Sale,678000.0,-1,1,398,Kay Fong 冯筠棋,24 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1703.52,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25638962
60133331,H2O Residences,Sale,860000.0,1,1,527,Brandon Choi Yong Suk,24 Sep 2025,30 Fernvale Link,SW6 Layar LRT Station,120.0,1631.88,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60133331
60086376,Parc Botannia,Sale,1098000.0,2,2,667,Kelly Tan,24 Sep 2025,12 Fernvale Street,SW4 Thanggam LRT Station,180.0,1646.18,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60086376
60048022,Parc Botannia,Sale,1399000.0,2,2,786,Jessie Tan 陈杰识,24 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1779.9,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60048022
60094925,Serenity Park,Sale,2400000.0,3,2,1593,Angela Yee,24 Sep 2025,157C Tamarind Road,,,1506.59,https://www.propertyguru.com.sg/listing/for-sale-serenity-park-60094925
60059925,H2O Residences,Sale,1200000.0,2,2,797,Jemaine Ng,24 Sep 2025,38 Fernvale Link,SW6 Layar LRT Station,120.0,1505.65,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60059925
60099117,Parc Botannia,Sale,1250000.0,2,2,667,Nisi Lee 李宜禧,24 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1874.06,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60099117
60095267,Parc Botannia,Sale,1800000.0,3,2,979,Damian Toh  卓犹祥,23 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1838.61,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60095267
60134162,Parc Botannia,Sale,1730000.0,3,2,1023,Alyssa Chia,23 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1691.1,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60134162
25621864,High Park Residences,Sale,979000.0,2,1,581,JORDAN TAY,23 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1685.03,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25621864
60075854,H2O Residences,Sale,2399888.0,4,4,1389,CY Chan,23 Sep 2025,38 Fernvale Link,SW6 Layar LRT Station,120.0,1727.78,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60075854
60047247,H2O Residences,Sale,1150000.0,2,2,753,Isaac Ng,23 Sep 2025,30 Fernvale Link,SW6 Layar LRT Station,120.0,1527.22,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60047247
25589822,High Park Residences,Sale,1100000.0,2,2,667,LING WANG,23 Sep 2025,29 Fernvale Road,SW4 Thanggam LRT Station,450.0,1649.18,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25589822
60127570,High Park Residences,Sale,1430000.0,3,2,872,Tania Lam,23 Sep 2025,21 Fernvale Road,SW4 Thanggam LRT Station,450.0,1639.91,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60127570
60126489,H2O Residences,Sale,2099000.0,3,3,1195,David Puah 潘基文,23 Sep 2025,38 Fernvale Link,SW6 Layar LRT Station,120.0,1756.49,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60126489
60109088,Parc Botannia,Sale,1150000.0,2,2,667,Kylie Chua,23 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1724.14,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60109088
60131251,High Park Residences,Sale,1250000.0,2,2,710,Kelly Tay Kailin 郑凯琳,23 Sep 2025,25 Fernvale Road,SW4 Thanggam LRT Station,450.0,1760.56,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60131251
60083186,The Greenwich,Sale,1380000.0,2,2,1044,Noviana Santoso,22 Sep 2025,3 Seletar Road,,,1321.84,https://www.propertyguru.com.sg/listing/for-sale-the-greenwich-60083186
60087278,Parc Botannia,Sale,1360000.0,3,2,786,Jess Chaim,24 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1730.28,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60087278
60106440,Seletar Park Residence,Sale,788000.0,1,1,527,Mikaela Joy,21 Sep 2025,17 Seletar Road,,,1495.26,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-60106440
60123816,Mimosa Park,Sale,3300000.0,4,4,3046,Ernest Liew,20 Sep 2025,15 Mimosa Road,,,1083.39,https://www.propertyguru.com.sg/listing/for-sale-mimosa-park-60123816
60122165,High Park Residences,Sale,1380000.0,3,2,872,ADRIAN LIM,20 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1582.57,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60122165
60057823,Riverbank at Fernvale,Sale,1618000.0,3,3,1044,Bolin Ng,20 Sep 2025,13 Fernvale Close,SW6 Layar LRT Station,410.0,1549.81,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60057823
60072434,Riverbank at Fernvale,Sale,1650000.0,3,3,1044,Bobby Chen,19 Sep 2025,17 Fernvale Close,SW6 Layar LRT Station,410.0,1580.46,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60072434
60131373,RiverTrees Residences,Sale,1450000.0,2,2,861,Joshua Soh,19 Sep 2025,23 Fernvale Close,SW6 Layar LRT Station,410.0,1684.09,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-60131373
25579209,Seletar Park Residence,Sale,1999999.0,3,3,1292,Gilbert Tiew,19 Sep 2025,17 Seletar Road,,,1547.99,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-25579209
60111962,Parc Botannia,Sale,888000.0,1,1,506,Rayne Chua 蔡美慧,19 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1754.94,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60111962
60068530,Seletar Springs Condominium,Sale,1080000.0,2,2,1012,Julie Loy,19 Sep 2025,106 Gerald Drive,SW6 Layar LRT Station,860.0,1067.19,https://www.propertyguru.com.sg/listing/for-sale-seletar-springs-condominium-60068530
60128950,High Park Residences,Sale,1130000.0,2,2,667,Leon Khiu,25 Sep 2025,29 Fernvale Road,SW4 Thanggam LRT Station,450.0,1694.15,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60128950
60093445,RiverTrees Residences,Sale,1280000.0,2,2,710,Candice Chua,25 Sep 2025,21 Fernvale Close,SW6 Layar LRT Station,410.0,1802.82,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-60093445
60134946,High Park Residences,Sale,1280000.0,2,2,667,Sherry Ang,25 Sep 2025,21 Fernvale Road,SW4 Thanggam LRT Station,450.0,1919.04,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60134946
60072445,Serenity Park,Sale,2050000.0,3,3,1582,Michael Chen,25 Sep 2025,157E Tamarind Road,,,1295.83,https://www.propertyguru.com.sg/listing/for-sale-serenity-park-60072445
60126473,Parc Botannia,Sale,1488000.0,2,2,786,Loh Audrey,25 Sep 2025,12 Fernvale Street,SW4 Thanggam LRT Station,180.0,1893.13,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60126473
60019767,The Greenwich,Sale,800000.0,1,1,603,Persis Tai 戴君如,25 Sep 2025,1 Seletar Road,,,1326.7,https://www.propertyguru.com.sg/listing/for-sale-the-greenwich-60019767
60125498,H2O Residences,Sale,2366888.0,4,3,1378,Lim Geok Hwee,24 Sep 2025,32 Fernvale Link,SW6 Layar LRT Station,120.0,1717.63,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-60125498
22947679,High Park Residences,Sale,1218000.0,2,2,710,Leon Hoon,24 Sep 2025,25 Fernvale Road,SW4 Thanggam LRT Station,450.0,1715.49,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-22947679
25642524,RiverTrees Residences,Sale,999999.0,2,1,721,Kensy .,23 Sep 2025,27 Fernvale Close,SW6 Layar LRT Station,410.0,1386.96,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-25642524
60021585,Parc Botannia,Sale,1339999.0,2,2,786,Iainrick Hu,25 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1704.83,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60021585
60125485,Riverbank at Fernvale,Sale,1450000.0,3,2,947,John Lee,24 Sep 2025,15 Fernvale Close,SW6 Layar LRT Station,410.0,1531.15,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60125485
60081248,Riverbank at Fernvale,Sale,1500000.0,3,2,947,Bolin Ng,20 Sep 2025,Sengkang West Way/Fernvale,SW6 Layar LRT Station,410.0,1583.95,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60081248
60089893,Parc Botannia,Sale,1800000.0,3,3,980,Doris Cheng,19 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1836.73,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60089893
25594986,The Greenwich,Sale,1800000.0,3,3,1227,Chris Tan,19 Sep 2025,11 Seletar Road,,,1466.99,https://www.propertyguru.com.sg/listing/for-sale-the-greenwich-25594986
60122437,Riverbank at Fernvale,Sale,1618000.0,3,3,1044,Desmond Seow,20 Sep 2025,13 Fernvale Close,SW6 Layar LRT Station,410.0,1549.81,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60122437
25554354,High Park Residences,Sale,1188000.0,2,2,710,Jacki Moon,24 Sep 2025,25 Fernvale Road,SW4 Thanggam LRT Station,450.0,1673.24,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25554354
60070890,Seletar Park Residence,Sale,1450000.0,2,2,1076,Jen Tan,21 Sep 2025,19 Seletar Road,,,1347.58,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-60070890
60038458,High Park Residences,Sale,1380000.0,3,2,893,Jessica Chan,25 Sep 2025,27 Fernvale Road,SW4 Thanggam LRT Station,450.0,1545.35,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60038458
60087635,Parc Botannia,Sale,1800000.0,3,2,979,Nichole Thor,25 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1838.61,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60087635
24325987,The Greenwich,Sale,845000.0,1,1,603,Benson Yan,25 Sep 2025,1 Seletar Road,,,1401.33,https://www.propertyguru.com.sg/listing/for-sale-the-greenwich-24325987
25612990,Seletar Park Residence,Sale,778888.0,1,1,581,Jason Yong 楊偉勝,25 Sep 2025,17 Seletar Road,,,1340.6,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-25612990
25492586,Riverbank at Fernvale,Sale,825000.0,1,1,527,Jay Chua,25 Sep 2025,11 Fernvale Close,SW6 Layar LRT Station,410.0,1565.46,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-25492586
25621170,Parc Botannia,Sale,818000.0,1,1,506,Serene Hoe,25 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1616.6,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-25621170
60137857,High Park Residences,Sale,1350000.0,2,2,947,Vinay Gulab Khanchandani ( Vincent ),25 Sep 2025,29 Fernvale Road,SW4 Thanggam LRT Station,450.0,1425.55,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60137857
25357768,Parc Botannia,Sale,1120000.0,2,2,667,Faris Rosli,25 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1679.16,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-25357768
60005389,High Park Residences,Sale,2285000.0,4,4,1367,Kenneth Yeo,25 Sep 2025,21 Fernvale Road,SW4 Thanggam LRT Station,450.0,1671.54,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60005389
60008198,Parc Botannia,Sale,1250000.0,2,2,667,Alson Ong,25 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1874.06,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60008198
60005935,RiverTrees Residences,Sale,2100000.0,4,3,1270,Jerry Lim,25 Sep 2025,29 Fernvale Close,SW6 Layar LRT Station,410.0,1653.54,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-60005935
25464248,Seletar Park Residence,Sale,800000.0,1,1,646,Galvin Pang 冯俊国,25 Sep 2025,17 Seletar Road,,,1238.39,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-25464248
25565431,High Park Residences,Sale,1378000.0,3,2,872,Stella Poh,25 Sep 2025,21 Fernvale Road,SW4 Thanggam LRT Station,450.0,1580.28,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-25565431
25610818,Sunrise Gardens,Sale,2200000.0,4,3,2034,Sunny Ng,25 Sep 2025,57 Sunrise Gardens,,,1081.61,https://www.propertyguru.com.sg/listing/for-sale-sunrise-gardens-25610818
60074148,Parc Botannia,Sale,1345000.0,2,2,786,Bryan Neo,25 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1711.2,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60074148
60007149,Grande Vista,Sale,2750000.0,4,3,2024,Fion Cai,25 Sep 2025,8 Cactus Drive,,,1358.7,https://www.propertyguru.com.sg/listing/for-sale-grande-vista-60007149
60073381,Sunrise Gardens,Sale,999000.0,2,2,829,Kavin Kuah,25 Sep 2025,53 Sunrise Gardens,,,1205.07,https://www.propertyguru.com.sg/listing/for-sale-sunrise-gardens-60073381
60032437,Parc Botannia,Sale,1150000.0,2,2,667,Kavin Kuah,25 Sep 2025,12 Fernvale Street,SW4 Thanggam LRT Station,180.0,1724.14,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60032437
24292274,Seletar Park Residence,Sale,810000.0,1,1,592,Kavin Kuah,25 Sep 2025,17 Seletar Road,,,1368.24,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-24292274
60137341,High Park Residences,Sale,1380000.0,3,2,872,Shaun Tham,24 Sep 2025,27 Fernvale Road,SW4 Thanggam LRT Station,450.0,1582.57,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60137341
60136031,High Park Residences,Sale,1180000.0,2,2,667,Stacey Ang,24 Sep 2025,27 Fernvale Road,SW4 Thanggam LRT Station,450.0,1769.12,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60136031
25576347,RiverTrees Residences,Sale,1000000.0,2,1,581,Nora Lam,24 Sep 2025,25 Fernvale Close,SW6 Layar LRT Station,410.0,1721.17,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-25576347
60077919,High Park Residences,Sale,1350000.0,2,2,947,Keigo Tham,24 Sep 2025,29 Fernvale Road,SW4 Thanggam LRT Station,450.0,1425.55,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60077919
60122896,High Park Residences,Sale,1380000.0,3,2,872,Irene TSL 陈秀玲,24 Sep 2025,31 Fernvale Road,SW4 Thanggam LRT Station,450.0,1582.57,https://www.propertyguru.com.sg/listing/for-sale-high-park-residences-60122896
60106149,Seletar Park Residence,Sale,788000.0,1,1,527,Irene TSL 陈秀玲,24 Sep 2025,17 Seletar Road,,,1495.26,https://www.propertyguru.com.sg/listing/for-sale-seletar-park-residence-60106149
23955716,Riverbank at Fernvale,Sale,1600000.0,3,2,947,Jeremy Tan,24 Sep 2025,13 Fernvale Close,SW6 Layar LRT Station,410.0,1689.55,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-23955716
24389287,Parc Botannia,Sale,868000.0,1,1,506,Lawrence Ng 黄启恒,24 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1715.42,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-24389287
25630502,Parc Botannia,Sale,1380000.0,2,2,786,Kayden Siow,24 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1755.73,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-25630502
60110876,Parc Botannia,Sale,1290000.0,2,2,667,Wayne Koh,24 Sep 2025,12 Fernvale Street,SW4 Thanggam LRT Station,180.0,1934.03,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60110876
60048380,Parc Botannia,Sale,1130000.0,2,2,667,Lydia Hanim,24 Sep 2025,18 Fernvale Street,SW4 Thanggam LRT Station,180.0,1694.15,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60048380
60033348,Sunrise Gardens,Sale,1550000.0,3,3,1292,Lucia Jacky,24 Sep 2025,51 Sunrise Gardens,,,1199.69,https://www.propertyguru.com.sg/listing/for-sale-sunrise-gardens-60033348
60089745,RiverTrees Residences,Sale,2450000.0,4,3,1410,Jeanice Ong,23 Sep 2025,25 Fernvale Close,SW6 Layar LRT Station,410.0,1737.59,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-60089745
25399979,The Greenwich,Sale,870000.0,1,1,603,John Cheng,23 Sep 2025,5 Seletar Road,,,1442.79,https://www.propertyguru.com.sg/listing/for-sale-the-greenwich-25399979
60069180,"Huge 1 Bedder built up loft, high ceiling, under-valued, renovated",Sale,935000.0,2,1,868,John Lim Hong Kai,23 Sep 2025,,,,1077.19,https://www.propertyguru.com.sg/listing/for-sale-huge-1-bedder-built-up-loft-high-ceiling-under-valued-renovated-60069180
60030466,Parc Botannia,Sale,1399999.0,2,2,786,Lester See,23 Sep 2025,10 Fernvale Street,SW4 Thanggam LRT Station,180.0,1781.17,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-60030466
60063646,Riverbank at Fernvale,Sale,788000.0,1,1,495,Wendi Sim,23 Sep 2025,13 Fernvale Close,SW6 Layar LRT Station,410.0,1591.92,https://www.propertyguru.com.sg/listing/for-sale-riverbank-at-fernvale-60063646
25514047,RiverTrees Residences,Sale,1200000.0,2,2,700,Charmaine Yee,23 Sep 2025,21 Fernvale Close,SW6 Layar LRT Station,410.0,1714.29,https://www.propertyguru.com.sg/listing/for-sale-rivertrees-residences-25514047
25608905,Grande Vista,Sale,1880000.0,3,2,1238,Lydia Shi,23 Sep 2025,24 Cactus Drive,,,1518.58,https://www.propertyguru.com.sg/listing/for-sale-grande-vista-25608905
60085331,Grande Vista,Sale,2500000.0,4,3,2024,Lisa Chin,25 Sep 2025,8 Cactus Drive,,,1235.18,https://www.propertyguru.com.sg/listing/for-sale-grande-vista-60085331
25625700,H2O Residences,Sale,1600000.0,3,2,1206,Judy Foo,23 Sep 2025,30 Fernvale Link,SW6 Layar LRT Station,120.0,1326.7,https://www.propertyguru.com.sg/listing/for-sale-h2o-residences-25625700
