ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL
24952179,Marina Collection,Sale,3280000.0,3,3,1873,Desmond Chan,24 Sep 2025,17 Cove Drive,,,1751.2,https://www.propertyguru.com.sg/listing/for-sale-marina-collection-24952179
25589602,Corals at Keppel Bay,Sale,2299999.0,2,2,1012,Joanne Ang,24 Sep 2025,21 Keppel Bay Drive,NE1 HarbourFront MRT Station,870.0,2272.73,https://www.propertyguru.com.sg/listing/for-sale-corals-at-keppel-bay-25589602
24909620,Harbour Suites @ Kampong Bahru,Sale,900000.0,1,1,527,Alvin Cheong,24 Sep 2025,522 KAMPONG BAHRU ROAD,,,1707.78,https://www.propertyguru.com.sg/listing/for-sale-harbour-suites-kampong-bahru-24909620
25304171,The Residences at W Sentosa Cove,Sale,3560400.0,4,4,2067,Philip Choo,24 Sep 2025,1 Ocean Way,,,1722.5,https://www.propertyguru.com.sg/listing/for-sale-the-residences-at-w-sentosa-cove-25304171
24507666,Caribbean at Keppel Bay,Sale,4850000.0,4,4,3122,Gina Tng,24 Sep 2025,46 Keppel Bay Drive,NE1 HarbourFront MRT Station,650.0,1553.49,https://www.propertyguru.com.sg/listing/for-sale-caribbean-at-keppel-bay-24507666
25115399,Cape Royale,Sale,4328000.0,3,4,1905,Tan Soo Cheng,24 Sep 2025,11-25 Cove Way,,,2271.92,https://www.propertyguru.com.sg/listing/for-sale-cape-royale-25115399
25115325,Cape Royale,Sale,5963000.0,4,5,2508,Tan Soo Cheng,24 Sep 2025,25 cove way,,,2377.59,https://www.propertyguru.com.sg/listing/for-sale-cape-royale-25115325
25544905,Reflections at Keppel Bay,Sale,3880000.0,3,3,2056,Tan Soo Cheng,24 Sep 2025,23 Keppel Bay View,,,1887.16,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-25544905
25592759,Caribbean at Keppel Bay,Sale,1780000.0,2,2,883,Seah Wan Peng (Gilda),24 Sep 2025,46 Keppel Bay Drive,NE1 HarbourFront MRT Station,650.0,2015.86,https://www.propertyguru.com.sg/listing/for-sale-caribbean-at-keppel-bay-25592759
60061021,The Interlace,Sale,3250000.0,4,3,1873,Derrick Ang,24 Sep 2025,222 Depot Road,,,1735.18,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60061021
19069148,Reflections at Keppel Bay,Sale,1800000.0,2,2,1076,Ryan Lee 李嘉杰,24 Sep 2025,1 Keppel Bay View,,,1672.86,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-19069148
25100619,The Residences at W Sentosa Cove,Sale,3560000.0,4,4,2131,Cara Loke,24 Sep 2025,1 Ocean Way,,,1670.58,https://www.propertyguru.com.sg/listing/for-sale-the-residences-at-w-sentosa-cove-25100619
25571605,Caribbean at Keppel Bay,Sale,2499999.0,3,2,1249,Nicole Lim,24 Sep 2025,46 Keppel Bay Drive,NE1 HarbourFront MRT Station,650.0,2001.6,https://www.propertyguru.com.sg/listing/for-sale-caribbean-at-keppel-bay-25571605
25517667,The Coast at Sentosa Cove,Sale,3250000.0,3,3,2024,Grace  LIONG 梁礜從,24 Sep 2025,276 Ocean Drive,,,1605.73,https://www.propertyguru.com.sg/listing/for-sale-the-coast-at-sentosa-cove-25517667
25360291,The Reef at King's Dock,Sale,2000000.0,2,2,721,Irene Pok,24 Sep 2025,2 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2773.93,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-25360291
25328588,The Reef at King's Dock,Sale,1188000.0,1,1,431,Linda Chow,24 Sep 2025,10 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2756.38,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-25328588
25603627,Reflections at Keppel Bay,Sale,7800000.0,4,6,2939,Esther Sim,24 Sep 2025,21 Keppel Bay View,,,2653.96,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-25603627
60126204,Reflections at Keppel Bay,Sale,3800000.0,3,4,2057,Vienn Leow,24 Sep 2025,23 Keppel Bay View,,,1847.35,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-60126204
60123774,The Oceanfront @ Sentosa Cove,Sale,2070000.0,2,2,1216,Brenda Tan,24 Sep 2025,281 Ocean Drive,,,1702.3,https://www.propertyguru.com.sg/listing/for-sale-the-oceanfront-sentosa-cove-60123774
25512364,The Reef at King's Dock,Sale,3480000.0,3,3,1249,Brian Yee,24 Sep 2025,6 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2786.23,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-25512364
25090279,Reflections at Keppel Bay,Sale,4500000.0,4,4,2648,LESTER CHEN,24 Sep 2025,23 Keppel Bay View,,,1699.4,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-25090279
23792868,Corals at Keppel Bay,Sale,8998000.0,4,5,3186,Sheminn Ooi,24 Sep 2025,3 Keppel Bay Drive,NE1 HarbourFront MRT Station,870.0,2824.23,https://www.propertyguru.com.sg/listing/for-sale-corals-at-keppel-bay-23792868
60041833,The Azure,Sale,2950000.0,3,3,1690,Tyler Lee,24 Sep 2025,201 Ocean Drive,,,1745.56,https://www.propertyguru.com.sg/listing/for-sale-the-azure-60041833
60048649,The Berth by the Cove,Sale,2850000.0,3,2,2045,Milton Chee,23 Sep 2025,222 Ocean Drive,,,1393.64,https://www.propertyguru.com.sg/listing/for-sale-the-berth-by-the-cove-60048649
60115170,The Interlace,Sale,4200000.0,4,4,5608,Alice Cai,23 Sep 2025,196 Depot Road,,,748.93,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60115170
60135715,The Reef at King's Dock,Sale,1260000.0,1,1,431,Jane Fong,23 Sep 2025,10 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2923.43,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-60135715
24414487,Cape Royale,Sale,3450000.0,3,3,1679,Cara Loke,23 Sep 2025,11-25 Cove Way,,,2054.79,https://www.propertyguru.com.sg/listing/for-sale-cape-royale-24414487
60081458,The Interlace,Sale,2880000.0,3,3,1464,Gelene Ong,23 Sep 2025,180 Depot Road,,,1967.21,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60081458
60047140,The Interlace,Sale,3088000.0,3,3,1615,Gelene Ong,23 Sep 2025,180 Depot Road,,,1912.07,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60047140
24414810,Cape Royale,Sale,5325000.0,4,4,2637,Cara Loke,23 Sep 2025,11-25 Cove Way,,,2019.34,https://www.propertyguru.com.sg/listing/for-sale-cape-royale-24414810
25497905,The Interlace,Sale,3300000.0,3,4,2056,Zan Chia,23 Sep 2025,198 Depot Road,,,1605.06,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-25497905
60104039,Reflections at Keppel Bay,Sale,3480000.0,3,3,1690,Yen Neo L Y,23 Sep 2025,3 Keppel Bay View,,,2059.17,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-60104039
60006468,Caribbean at Keppel Bay,Sale,4850000.0,4,5,3122,Calvin Cheong,23 Sep 2025,46 Keppel Bay Drive,NE1 HarbourFront MRT Station,650.0,1553.49,https://www.propertyguru.com.sg/listing/for-sale-caribbean-at-keppel-bay-60006468
60118250,Turquoise,Sale,13388000.0,5,6,7987,Felicia Tan Yi Jie,23 Sep 2025,"Cove Drive,Sentosa",,,1676.22,https://www.propertyguru.com.sg/listing/for-sale-turquoise-60118250
24393237,Reflections at Keppel Bay,Sale,2680000.0,3,2,1528,Huey Ling,23 Sep 2025,29 Keppel Bay View,,,1753.93,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-24393237
25610866,Turquoise,Sale,13388000.0,5,7,7987,Tan Soo Cheng,23 Sep 2025,55 Cove Drive,,,1676.22,https://www.propertyguru.com.sg/listing/for-sale-turquoise-25610866
23702786,Turquoise,Sale,4388000.0,4,5,3111,Tan Soo Cheng,23 Sep 2025,55 Cove Drive,,,1410.48,https://www.propertyguru.com.sg/listing/for-sale-turquoise-23702786
23173509,Reflections at Keppel Bay,Sale,23500000.0,5,6,8277,Tan Soo Cheng,23 Sep 2025,25 Keppel Bay View,,,2839.19,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-23173509
60112822,Turquoise,Sale,3980000.0,4,4,2422,Jessica Siow,23 Sep 2025,"Cove Drive,Sentosa",,,1643.27,https://www.propertyguru.com.sg/listing/for-sale-turquoise-60112822
23896032,Turquoise,Sale,13388000.0,5,5,7999,Jessica Siow,23 Sep 2025,55 Cove Drive,,,1673.71,https://www.propertyguru.com.sg/listing/for-sale-turquoise-23896032
23624750,Turquoise,Sale,4388000.0,3,4,3111,Jessica Siow,23 Sep 2025,55 Cove Drive,,,1410.48,https://www.propertyguru.com.sg/listing/for-sale-turquoise-23624750
20418248,Corals at Keppel Bay,Sale,1390000.0,1,1,570,Vernis Goh,23 Sep 2025,1 Keppel Bay Drive,NE1 HarbourFront MRT Station,870.0,2438.6,https://www.propertyguru.com.sg/listing/for-sale-corals-at-keppel-bay-20418248
60068450,The Interlace,Sale,3800000.0,4,4,2067,Nicolette Ho,23 Sep 2025,198 Depot Road,,,1838.41,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60068450
60121429,The Interlace,Sale,4500000.0,3,2,4478,Tricia Ong,23 Sep 2025,182 Depot Road,,,1004.91,https://www.propertyguru.com.sg/listing/for-sale-the-interlace-60121429
25148529,The Oceanfront @ Sentosa Cove,Sale,2990000.0,3,3,1711,Jason Chen,23 Sep 2025,281 Ocean Drive,,,1747.52,https://www.propertyguru.com.sg/listing/for-sale-the-oceanfront-sentosa-cove-25148529
25339168,The Reef at King's Dock,Sale,1350000.0,1,1,484,Irene Pok,23 Sep 2025,2 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2789.26,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-25339168
25213396,The Reef at King's Dock,Sale,1388000.0,1,1,538,Bryan Koh,23 Sep 2025,12 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2579.93,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-25213396
24679233,The Coast at Sentosa Cove,Sale,3480000.0,3,3,2024,Wes Peh,22 Sep 2025,278 Ocean Drive,,,1719.37,https://www.propertyguru.com.sg/listing/for-sale-the-coast-at-sentosa-cove-24679233
60084714,The Reef at King's Dock,Sale,1955000.0,2,2,764,Denise Tan,22 Sep 2025,16 Harbourfront Avenue,NE1 HarbourFront MRT Station,450.0,2558.9,https://www.propertyguru.com.sg/listing/for-sale-the-reef-at-king-s-dock-60084714
25628564,The Coast at Sentosa Cove,Sale,3250000.0,3,4,2025,Fion Tan,22 Sep 2025,278 Ocean Drive,,,1604.94,https://www.propertyguru.com.sg/listing/for-sale-the-coast-at-sentosa-cove-25628564
