ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL
24917072,Parc Clematis,Sale,3850000.0,5,5,1711,Terrance Wong,24 Sep 2025,6 Jalan Lempeng,,,2250.15,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-24917072
24965815,Seahill,Sale,3800500.0,4,4,3648,Eileen Leong,24 Sep 2025,95 West Coast Crescent,,,1041.8,https://www.propertyguru.com.sg/listing/for-sale-seahill-24965815
60062737,Dover Parkview,Sale,1430000.0,2,2,936,Esther Wang 王芝茵,24 Sep 2025,34 Dover Rise,EW22 Dover MRT Station,880.0,1527.78,https://www.propertyguru.com.sg/listing/for-sale-dover-parkview-60062737
25532701,Normanton Park,Sale,1830000.0,2,2,829,Paul Tan,24 Sep 2025,49 Normanton Park,,,2207.48,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-25532701
60133622,Faber Residence,Sale,2200000.0,3,2,1033,Jaslyn Kee,24 Sep 2025,,EW15 Tanjong Pagar MRT Station,140.0,2129.72,https://www.propertyguru.com.sg/listing/for-sale-faber-residence-60133622
60133640,Faber Residence,Sale,2450000.0,4,3,1119,Jaslyn Kee,24 Sep 2025,,EW15 Tanjong Pagar MRT Station,140.0,2189.45,https://www.propertyguru.com.sg/listing/for-sale-faber-residence-60133640
25181805,Normanton Park,Sale,1699000.0,3,2,829,Jensen Lee,24 Sep 2025,47 Normanton Park,,,2049.46,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-25181805
60098178,The Trilinq,Sale,1090000.0,1,1,603,Frederick Neo,24 Sep 2025,28B Jalan Lempeng,EW23 Clementi MRT Station,640.0,1807.63,https://www.propertyguru.com.sg/listing/for-sale-the-trilinq-60098178
25527695,Normanton Park,Sale,1299999.0,2,1,667,Kelvin Sin,24 Sep 2025,49 Normanton Park,,,1949.02,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-25527695
25601739,Normanton Park,Sale,990000.0,1,1,527,Summer Xia,24 Sep 2025,59 Normanton Park,,,1878.56,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-25601739
24357136,Terra Hill,Sale,5567000.0,5,0,2142,Yeo Shu Qian,24 Sep 2025,20 Yew Siang Road,CC26 Pasir Panjang MRT Station,790.0,2598.97,https://www.propertyguru.com.sg/listing/for-sale-terra-hill-24357136
60030816,Normanton Park,Sale,2900000.0,4,3,1313,Yvonne Lai,24 Sep 2025,45 Normanton Park,,,2208.68,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-60030816
25607380,Varsity Park Condominium,Sale,3000000.0,3,3,2013,Joylyn Ho,24 Sep 2025,38 West Coast Road,,,1490.31,https://www.propertyguru.com.sg/listing/for-sale-varsity-park-condominium-25607380
24816275,Parc Clematis,Sale,938888.0,1,1,452,Alvin Cheong,24 Sep 2025,8E Jalan Lempeng,,,2077.19,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-24816275
60107268,Normanton Park,Sale,1200000.0,1,1,678,Jaxon Ng,24 Sep 2025,55 Normanton Park,,,1769.91,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-60107268
23717478,Normanton Park,Sale,1548888.0,2,2,764,Kevin Tang,24 Sep 2025,47 Normanton Park,,,2027.34,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-23717478
