Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
AMBER PARK,"5,393,000","2,142.04","2,518",May-22,AMBER GARDENS,New Sale,Strata,199,"27,101",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,1.30037788595042,103.899209385533,16 AMBER GARDENS AMBER PARK SINGAPORE 439961,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
AMBER PARK,"5,645,000","2,142.04","2,635",May-22,AMBER GARDENS,New Sale,Strata,199,"28,367",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1.30037788595042,103.899209385533,16 AMBER GARDENS AMBER PARK SINGAPORE 439961,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
SANCTUARY GREEN,"2,200,000","1,743.77","1,262",May-22,TANJONG RHU ROAD,Resale,Strata,162,"13,580",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,16 to 20,1.29599148822782,103.870659351612,187 TANJONG RHU ROAD SANCTUARY GREEN SINGAPORE 436925,TANJONG RHU MRT STATION; NICOLL HIGHWAY MRT STATION; STADIUM MRT STATION,,Kallang Wave Mall; Leisure Park Kallang
INFINI AT EAST COAST,"2,416,400","1,248.62","1,935",May-22,EAST COAST ROAD,New Sale,Strata,116,"20,831",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.30917604327401,103.911351983658,363 EAST COAST ROAD INFINI AT EAST COAST SINGAPORE 428978,MARINE TERRACE MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Marine Terrace Blk 50A (50A Marine Terrace),Katong Square; i12 Katong; Roxy Square
LAGOON VIEW,"1,800,000","1,646.89","1,093",May-22,MARINE PARADE ROAD,Resale,Strata,153,"11,765",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25,1.31071549002397,103.933972129966,5000N MARINE PARADE ROAD LAGOON VIEW SINGAPORE 449295,SIGLAP MRT STATION; BAYSHORE MRT STATION,East Coast Lagoon Food Village,
MEYER MANSION,"1,888,000",688.9,"2,741",May-22,MEYER ROAD,New Sale,Strata,64,"29,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.29647219511777,103.891034649257,79 MEYER ROAD MEYER MANSION SINGAPORE 437906,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,,
833 M B RESIDENCES,"830,000",538.2,"1,542",May-22,MOUNTBATTEN ROAD,Resale,Strata,50,"16,600",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30263281181216,103.898397980442,833 MOUNTBATTEN ROAD 833 M B RESIDENCES SINGAPORE 437826,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
LIV @ MB,"3,267,000","1,302.44","2,508",May-22,ARTHUR ROAD,New Sale,Strata,121,"27,000",-,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,06 to 10,1.29958935305958,103.888033424335,114D ARTHUR ROAD LIV @ MB SINGAPORE 439837,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION; DAKOTA MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
PEBBLE BAY,"3,150,000","1,894.46","1,663",May-22,TANJONG RHU ROAD,Resale,Strata,176,"17,898",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10,1.298089024558,103.871049333284,136 TANJONG RHU ROAD PEBBLE BAY SINGAPORE 436921,TANJONG RHU MRT STATION; STADIUM MRT STATION; NICOLL HIGHWAY MRT STATION,Golden Mile Food Centre,Kallang Wave Mall; Leisure Park Kallang
THE ARIEL,"930,000",667.37,"1,394",May-22,LORONG 105 CHANGI,Resale,Strata,62,"15,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.31592532071717,103.902987460361,31 LORONG 105 CHANGI THE ARIEL SINGAPORE 426536,EUNOS MRT STATION,Eunos Crescent Blk 4A; Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Singpost Centre
