Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
SPRING @ KATONG,"2,400,000","1,119.46","2,144",Sep-25,CEYLON ROAD,Resale,Strata,104,"23,077",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30560970882214,103.903400896749,18 CEYLON ROAD SPRING @ KATONG SINGAPORE 429748,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE SEA VIEW,"3,423,700","1,216.33","2,815",Sep-25,AMBER ROAD,Resale,Strata,113,"30,298",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
FORTUNE JADE,"2,200,000","1,140.98","1,928",Sep-25,DUNMAN ROAD,Resale,Strata,106,"20,755",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.309917518417,103.894838452185,501 DUNMAN ROAD FORTUNE JADE SINGAPORE 439193,DAKOTA MRT STATION; PAYA LEBAR MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; City Plaza
IDYLLIC RESIDENCES,"1,800,000","1,097.93","1,639",Sep-25,LORONG M TELOK KURAU,Resale,Strata,102,"17,647",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31067589387575,103.912760068148,52 LORONG M TELOK KURAU IDYLLIC RESIDENCES SINGAPORE 425346,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
GRAND DUNMAN,"2,582,000","1,044.11","2,473",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"26,619",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
MEYER BLUE,"3,797,000","1,140.98","3,328",Sep-25,MEYER ROAD,New Sale,Strata,106,"35,821",-,Apartment,1,Freehold,15,Rest of Central Region,21 to 25,1.29658307180925,103.891682981836,83 MEYER ROAD MEYER BLUE (U/C) SINGAPORE 437910,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,,
AMBER HOUSE,"1,950,824",635.08,"3,072",Sep-25,AMBER GARDENS,New Sale,Strata,59,"33,065",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30158520286259,103.900558767807,30 AMBER GARDENS AMBER HOUSE (U/C) SINGAPORE 439964,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
BLU CORAL,"905,000",505.91,"1,789",Sep-25,LORONG L TELOK KURAU,Resale,Strata,47,"19,255",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.31269286351102,103.91441930412,127 LORONG L TELOK KURAU BLU CORAL SINGAPORE 425562,MARINE TERRACE MRT STATION; KEMBANGAN MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE SEA VIEW,"3,860,000","1,410.08","2,737",Sep-25,AMBER ROAD,Resale,Strata,131,"29,466",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE LINE @ TANJONG RHU,"2,780,000","1,216.33","2,286",Sep-25,TANJONG RHU ROAD,Resale,Strata,113,"24,602",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1.29843730060613,103.884408021083,6 TANJONG RHU ROAD THE LINE @ TANJONG RHU SINGAPORE 436883,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
GRAND DUNMAN,"2,622,000","1,044.11","2,511",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"27,031",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
THE CONTINUUM,"3,901,000","1,270.15","3,071",Sep-25,THIAM SIEW AVENUE,New Sale,Strata,118,"33,059",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.31099710605752,103.895720193717,3 THIAM SIEW AVENUE THE CONTINUUM (U/C) SINGAPORE 436841,PAYA LEBAR MRT STATION; DAKOTA MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Paya Lebar Square; Singpost Centre; City Plaza
TEMBUSU GRAND,"4,124,000","1,711.48","2,410",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"25,937",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
TEMBUSU GRAND,"4,100,000","1,711.48","2,396",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"25,786",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
TIVOLI GRANDE,"1,140,000",699.66,"1,629",Sep-25,KOON SENG ROAD,Resale,Strata,65,"17,538",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.31265222713663,103.906189486223,126 KOON SENG ROAD TIVOLI GRANDE SINGAPORE 427059,EUNOS MRT STATION,Eunos Crescent Blk 4A; Geylang Serai Market; Dunman Food Centre,Katong Square; i12 Katong; Roxy Square
AMBER HOUSE,"3,854,606","1,237.86","3,114",Sep-25,AMBER GARDENS,New Sale,Strata,115,"33,518",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1.30158520286259,103.900558767807,30 AMBER GARDENS AMBER HOUSE (U/C) SINGAPORE 439964,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
GRAND DUNMAN,"2,628,000","1,044.11","2,517",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"27,093",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
GRAND DUNMAN,"2,690,000","1,044.11","2,576",Sep-25,DUNMAN ROAD,New Sale,Strata,97,"27,732",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
8M RESIDENCES,"1,975,000","1,334.74","1,480",Sep-25,MARGATE ROAD,Resale,Strata,124,"15,927",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.29928948887162,103.888693485053,8 MARGATE ROAD 8M RESIDENCES SINGAPORE 438049,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),
TEMBUSU GRAND,"4,148,000","1,711.48","2,424",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"26,088",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
TEMBUSU GRAND,"4,220,000","1,711.48","2,466",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"26,541",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
SANTA FE MANSIONS,"2,100,000","1,162.51","1,806",Sep-25,MARGATE ROAD,Resale,Strata,108,"19,444",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30013291374093,103.88876823652,2A MARGATE ROAD SANTA FE MANSIONS SINGAPORE 438073,KATONG PARK MRT STATION; DAKOTA MRT STATION; TANJONG KATONG MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
GRAND DUNMAN,"3,594,000","1,431.61","2,510",Sep-25,DUNMAN ROAD,New Sale,Strata,133,"27,023",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
EAST GALLERIA,"1,950,000",904.18,"2,157",Sep-25,SEA AVENUE,Resale,Strata,84,"23,214",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.3057998737184,103.907284703752,19 SEA AVENUE EAST GALLERIA SINGAPORE 424239,MARINE PARADE MRT STATION; MARINE TERRACE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Marine Terrace Blk 50A (50A Marine Terrace); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE MAKENA,"2,510,000","1,151.75","2,179",Sep-25,MEYER ROAD,Resale,Strata,107,"23,458",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,1.2976926630287,103.89444607007,121 MEYER ROAD THE MAKENA SINGAPORE 437932,TANJONG KATONG MRT STATION; KATONG PARK MRT STATION,,
CRYSTAL RHU,"1,750,000","1,054.87","1,659",Sep-25,TANJONG RHU ROAD,Resale,Strata,98,"17,857",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.29884376283001,103.883834793855,8A TANJONG RHU ROAD CRYSTAL RHU SINGAPORE 436889,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,Leisure Park Kallang
GRAND DUNMAN,"2,684,000","1,044.11","2,571",Aug-25,DUNMAN ROAD,New Sale,Strata,97,"27,670",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
GRAND DUNMAN,"2,696,000","1,044.11","2,582",Aug-25,DUNMAN ROAD,New Sale,Strata,97,"27,794",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
TEMBUSU GRAND,"4,196,000","1,711.48","2,452",Aug-25,JALAN TEMBUSU,New Sale,Strata,159,"26,390",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
HERITAGE RESIDENCES,"2,000,000","1,291.68","1,548",Aug-25,LORONG L TELOK KURAU,Resale,Strata,120,"16,667",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31255760997324,103.912955503031,101 LORONG L TELOK KURAU HERITAGE RESIDENCES SINGAPORE 425537,MARINE TERRACE MRT STATION; KEMBANGAN MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE CONTINUUM,"2,150,000",807.3,"2,663",Aug-25,THIAM SIEW AVENUE,New Sale,Strata,75,"28,667",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.31099710605752,103.895720193717,3 THIAM SIEW AVENUE THE CONTINUUM (U/C) SINGAPORE 436841,PAYA LEBAR MRT STATION; DAKOTA MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Paya Lebar Square; Singpost Centre; City Plaza
GRAND DUNMAN,"2,702,000","1,044.11","2,588",Aug-25,DUNMAN ROAD,New Sale,Strata,97,"27,856",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
OLA RESIDENCES,"4,000,000","3,229.2","1,239",Aug-25,MOUNTBATTEN ROAD,Resale,Strata,300,"13,333",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30303635048621,103.898813054006,839 MOUNTBATTEN ROAD OLA RESIDENCES SINGAPORE 437831,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
TEMBUSU GRAND,"4,208,000","1,711.48","2,459",Aug-25,JALAN TEMBUSU,New Sale,Strata,159,"26,465",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
TIERRA VUE,"3,500,000","1,915.99","1,827",Aug-25,ST. PATRICK'S ROAD,Resale,Strata,178,"19,663",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.30773844361744,103.913791889509,38 SAINT PATRICK'S ROAD TIERRA VUE SINGAPORE 424162,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE ATRIA AT MEYER,"3,498,000","1,474.67","2,372",Aug-25,MEYER ROAD,Resale,Strata,137,"25,533",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,1.29668185515836,103.889100113074,61 MEYER ROAD THE ATRIA AT MEYER SINGAPORE 437885,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),
HAIG COURT,"3,300,000","1,550.02","2,129",Aug-25,HAIG ROAD,Resale,Strata,144,"22,917",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30634911317443,103.897807932637,160 HAIG ROAD HAIG COURT SINGAPORE 438795,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
AMBER HOUSE,"5,305,608","1,743.77","3,043",Aug-25,AMBER GARDENS,New Sale,Strata,162,"32,751",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1.30158520286259,103.900558767807,30 AMBER GARDENS AMBER HOUSE (U/C) SINGAPORE 439964,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
MEYER BLUE,"3,658,000","1,140.98","3,206",Aug-25,MEYER ROAD,New Sale,Strata,106,"34,509",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1.29658307180925,103.891682981836,83 MEYER ROAD MEYER BLUE (U/C) SINGAPORE 437910,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,,
TIERRA VUE,"3,630,000","1,915.99","1,895",Aug-25,ST. PATRICK'S ROAD,Resale,Strata,178,"20,393",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.30773844361744,103.913791889509,38 SAINT PATRICK'S ROAD TIERRA VUE SINGAPORE 424162,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE GERANIUM,"2,300,000","1,582.31","1,454",Aug-25,MANGIS ROAD,Resale,Strata,147,"15,646",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.31332303646481,103.904360402368,31 MANGIS ROAD THE GERANIUM SINGAPORE 424980,EUNOS MRT STATION,Eunos Crescent Blk 4A; Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Square; i12 Katong
GRAND DUNMAN,"3,714,000","1,474.67","2,519",Aug-25,DUNMAN ROAD,New Sale,Strata,137,"27,109",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,DAKOTA MRT STATION; MOUNTBATTEN MRT STATION,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall); Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Kallang Estate Fresh Market and Food Centre,City Plaza
FULCRUM,"1,820,000",828.83,"2,196",Aug-25,FORT ROAD,Resale,Strata,77,"23,636",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1.29868831359876,103.884853403453,33 FORT ROAD FULCRUM SINGAPORE 439092,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
8M RESIDENCES,"1,560,000",645.84,"2,415",Aug-25,MARGATE ROAD,Resale,Strata,60,"26,000",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.29928948887162,103.888693485053,8 MARGATE ROAD 8M RESIDENCES SINGAPORE 438049,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),
ONE AMBER,"3,638,888","1,657.66","2,195",Aug-25,AMBER GARDENS,Resale,Strata,154,"23,629",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30137638010264,103.898166752118,1 AMBER GARDENS ONE AMBER SINGAPORE 439957,TANJONG KATONG MRT STATION; MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE LINE @ TANJONG RHU,"3,328,000","1,377.79","2,415",Aug-25,TANJONG RHU ROAD,Resale,Strata,128,"26,000",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,1.29843730060613,103.884408021083,6 TANJONG RHU ROAD THE LINE @ TANJONG RHU SINGAPORE 436883,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
MANDARIN GARDENS,"2,010,000","1,571.54","1,279",Aug-25,SIGLAP ROAD,Resale,Strata,146,"13,767",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15,1.3074064044012,103.923481752402,5 SIGLAP ROAD MANDARIN GARDENS SINGAPORE 448908,SIGLAP MRT STATION; MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
THE SEA VIEW,"4,428,000","1,646.89","2,689",Aug-25,AMBER ROAD,Resale,Strata,153,"28,941",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE CONTINUUM,"3,165,000","1,087.16","2,911",Aug-25,THIAM SIEW AVENUE,New Sale,Strata,101,"31,337",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1.31099710605752,103.895720193717,3 THIAM SIEW AVENUE THE CONTINUUM (U/C) SINGAPORE 436841,PAYA LEBAR MRT STATION; DAKOTA MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Paya Lebar Square; Singpost Centre; City Plaza
MANDARIN GARDENS,"980,000",731.95,"1,339",Aug-25,SIGLAP ROAD,Resale,Strata,68,"14,412",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20,1.3074064044012,103.923481752402,5 SIGLAP ROAD MANDARIN GARDENS SINGAPORE 448908,SIGLAP MRT STATION; MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
91 MARSHALL,"705,000",376.74,"1,871",Aug-25,MARSHALL ROAD,Resale,Strata,35,"20,143",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.30653182398713,103.900986985644,91 MARSHALL ROAD 91 MARSHALL SINGAPORE 424887,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
GRAND DUCHESS AT ST PATRICK'S,"3,118,888","1,356.26","2,300",Aug-25,ST. PATRICK'S ROAD,Resale,Strata,126,"24,753",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1.3073937730944,103.916059969778,136 SAINT PATRICK'S ROAD GRAND DUCHESS AT SAINT PATRICK'S SINGAPORE 424214,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
8M RESIDENCES,"1,538,000",645.84,"2,381",Aug-25,MARGATE ROAD,Resale,Strata,60,"25,633",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,1.29928948887162,103.888693485053,8 MARGATE ROAD 8M RESIDENCES SINGAPORE 438049,KATONG PARK MRT STATION; TANJONG KATONG MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),
GOODWILL COURT,"2,180,000","1,496.2","1,457",Aug-25,UPPER EAST COAST ROAD,Resale,Strata,139,"15,683",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31337428440382,103.927628915233,81 UPPER EAST COAST ROAD GOODWILL COURT SINGAPORE 455220,SIGLAP MRT STATION,,
THE CONTINUUM,"3,388,000","1,087.16","3,116",Aug-25,THIAM SIEW AVENUE,New Sale,Strata,101,"33,545",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20,1.31099710605752,103.895720193717,3 THIAM SIEW AVENUE THE CONTINUUM (U/C) SINGAPORE 436841,PAYA LEBAR MRT STATION; DAKOTA MRT STATION; PAYA LEBAR MRT STATION,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre); Geylang Serai Market; Dunman Food Centre,Katong Shopping Centre; Paya Lebar Square; Singpost Centre; City Plaza
TEMBUSU GRAND,"4,184,000","1,711.48","2,445",Aug-25,JALAN TEMBUSU,New Sale,Strata,159,"26,314",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1.30564484991169,103.896865551663,92 JALAN TEMBUSU TEMBUSU GRAND (U/C) SINGAPORE 439142,TANJONG KATONG MRT STATION; DAKOTA MRT STATION,Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Roxy Square
CASUARINA COVE,"2,400,000","1,496.2","1,604",Aug-25,TANJONG RHU ROAD,Resale,Strata,139,"17,266",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,06 to 10,1.29751430565974,103.874514479809,120 TANJONG RHU ROAD CASUARINA COVE SINGAPORE 436904,TANJONG RHU MRT STATION; STADIUM MRT STATION,,Kallang Wave Mall; Leisure Park Kallang
