Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
AFFINITY AT SERANGOON,"805,000",473.62,"1,700",Sep-25,SERANGOON NORTH AVENUE 1,Resale,Strata,44,"18,295",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1.36618702976306,103.873674807486,26 SERANGOON NORTH AVENUE 1 AFFINITY AT SERANGOON SINGAPORE 554340,,Serangoon Garden Market; Chomp Chomp Food Centre,myVillage At Serangoon Garden
BOTANIQUE AT BARTLEY,"1,465,000",731.95,"2,001",Sep-25,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"21,544",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15,1.34286199004577,103.88260647489,223 UPPER PAYA LEBAR ROAD BOTANIQUE AT BARTLEY SINGAPORE 533874,BARTLEY MRT STATION,,
THE SPRINGBLOOM,"1,800,000","1,119.46","1,608",Sep-25,SERANGOON AVENUE 3,Resale,Strata,104,"17,308",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15,1.35108426226767,103.864274038787,139 SERANGOON AVENUE 3 THE SPRINGBLOOM SINGAPORE 556119,LORONG CHUAN MRT STATION; SERANGOON MRT STATION,,NEX
RIO VISTA,"2,451,688","2,271.2","1,079",Sep-25,UPPER SERANGOON VIEW,Resale,Strata,211,"11,619",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20,1.37261431320348,103.901044407254,24 UPPER SERANGOON VIEW RIO VISTA SINGAPORE 534205,HOUGANG MRT STATION,,Hougang Mall
WATERTOWN,"1,818,000","1,054.87","1,723",Sep-25,PUNGGOL CENTRAL,Resale,Strata,98,"18,551",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1.40592308489822,103.901923944038,71 PUNGGOL CENTRAL WATERTOWN SINGAPORE 828755,PUNGGOL LRT STATION; PUNGGOL MRT STATION; SUMANG LRT STATION; SOO TECK LRT STATION; SAM KEE LRT STATION; NIBONG LRT STATION; DAMAI LRT STATION; COVE LRT STATION; TECK LEE LRT STATION,One Punggol Hawker Centre,Waterway Point
AFFINITY AT SERANGOON,"892,000",538.2,"1,657",Sep-25,SERANGOON NORTH AVENUE 1,Resale,Strata,50,"17,840",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1.36618702976306,103.873674807486,26 SERANGOON NORTH AVENUE 1 AFFINITY AT SERANGOON SINGAPORE 554340,,Serangoon Garden Market; Chomp Chomp Food Centre,myVillage At Serangoon Garden
WATERTOWN,"2,328,888","1,216.33","1,915",Sep-25,PUNGGOL CENTRAL,Resale,Strata,113,"20,610",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1.40592308489822,103.901923944038,71 PUNGGOL CENTRAL WATERTOWN SINGAPORE 828755,PUNGGOL LRT STATION; PUNGGOL MRT STATION; SUMANG LRT STATION; SOO TECK LRT STATION; SAM KEE LRT STATION; NIBONG LRT STATION; DAMAI LRT STATION; COVE LRT STATION; TECK LEE LRT STATION,One Punggol Hawker Centre,Waterway Point
THE GARDEN RESIDENCES,"1,810,000",904.18,"2,002",Sep-25,SERANGOON NORTH VIEW,Resale,Strata,84,"21,548",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10,1.36620695987025,103.870405307735,1 SERANGOON NORTH VIEW THE GARDEN RESIDENCES SINGAPORE 554343,,Serangoon Garden Market; Chomp Chomp Food Centre,myVillage At Serangoon Garden
RIVERFRONT RESIDENCES,"1,090,000",613.55,"1,777",Sep-25,HOUGANG AVENUE 7,Resale,Strata,57,"19,123",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1.37017075252236,103.899998611766,41 HOUGANG AVENUE 7 RIVERFRONT RESIDENCES SINGAPORE 533813,HOUGANG MRT STATION,,Hougang Mall
GLASGOW RESIDENCE,"1,280,000",882.65,"1,450",Sep-25,GLASGOW ROAD,Resale,Strata,82,"15,610",-,Apartment,1,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05,1.36189921422964,103.87861280778,23 GLASGOW ROAD GLASGOW RESIDENCE SINGAPORE 549338,KOVAN MRT STATION,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Heartland Mall; Upper Serangoon Shopping Centre
