Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
THE METROPOLITAN CONDOMINIUM,"2,615,000","1,356.26","1,928",Sep-25,ALEXANDRA VIEW,Resale,Strata,126,"20,754",-,Condominium,1,99 yrs lease commencing from 2006,3,Rest of Central Region,11 to 15,1.2904773422307,103.81601645096,8 ALEXANDRA VIEW THE METROPOLITAN CONDOMINIUM SINGAPORE 158747,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre); Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),
AVENUE SOUTH RESIDENCE,"1,730,000",721.19,"2,399",Sep-25,SILAT AVENUE,Resale,Strata,67,"25,821",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
THE ANCHORAGE,"3,080,000","1,506.96","2,044",Sep-25,ALEXANDRA ROAD,Resale,Strata,140,"22,000",-,Condominium,1,Freehold,3,Rest of Central Region,06 to 10,1.28900346226494,103.804329262814,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
ONE PEARL BANK,"2,980,000","1,151.75","2,587",Sep-25,PEARL BANK,Sub Sale,Strata,107,"27,850",-,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,06 to 10,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION; CHINATOWN MRT STATION; MAXWELL MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; TELOK AYER MRT STATION; TANJONG PAGAR MRT STATION; CLARKE QUAY MRT STATION,Amoy Street Food Centre (Telok Ayer Food Centre); Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre); Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Maxwell Food Centre (Kim Hua Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),People's Park Centre; People's Park Complex; Singapore Shopping Centre; Tanjong Pagar Centre
REGENCY SUITES,"2,240,000",979.52,"2,287",Sep-25,KIM TIAN ROAD,Resale,Strata,91,"24,615",-,Apartment,1,Freehold,3,Rest of Central Region,11 to 15,1.28434104617281,103.829138450421,36 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169279,TIONG BAHRU MRT STATION; HAVELOCK MRT STATION,Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
COMMONWEALTH TOWERS,"1,680,000",699.66,"2,401",Sep-25,COMMONWEALTH AVENUE,Resale,Strata,65,"25,846",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
RIVER PLACE,"2,604,000","1,302.44","1,999",Sep-25,HAVELOCK ROAD,Resale,Strata,121,"21,521",-,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,01 to 05,1.2896097164683,103.841276389346,60 HAVELOCK ROAD RIVER PLACE SINGAPORE 169658,FORT CANNING MRT STATION; CLARKE QUAY MRT STATION; CHINATOWN MRT STATION; CHINATOWN MRT STATION; HAVELOCK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market); Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Smith Street Blk 335 (Chinatown Complex Market); New Market Road Blk 32 (People's Park Food Centre),Funan; People's Park Centre; People's Park Complex; Singapore Shopping Centre
THE CREST,"1,590,000",796.54,"1,996",Sep-25,PRINCE CHARLES CRESCENT,Resale,Strata,74,"21,486",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,16 to 20,1.29281920942183,103.819293138156,105 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159019,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market,
AVENUE SOUTH RESIDENCE,"2,178,000",947.23,"2,299",Sep-25,SILAT AVENUE,Resale,Strata,88,"24,750",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
PROMENADE PEAK,"3,028,800","1,033.34","2,931",Aug-25,ZION PROMENADE,New Sale,Strata,96,"31,550",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,26 to 30,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
