Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE ARCADY AT BOON KENG,"3,258,000","1,280.92","2,543",Jun-25,SAINT BARNABAS LANE,New Sale,Strata,119,"27,378",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
CHUAN PARK,"2,886,900","1,205.57","2,395",Jun-25,LORONG CHUAN,New Sale,Strata,112,"25,776",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,21 to 25
ONE MARINA GARDENS,"1,233,105",430.56,"2,864",Jun-25,MARINA GARDENS LANE,New Sale,Strata,40,"30,828",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,01 to 05
AMBER HOUSE,"1,912,925",635.08,"3,012",Jun-25,AMBER GARDENS,New Sale,Strata,59,"32,422",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,175,405",731.95,"2,972",Jun-25,AMBER GARDENS,New Sale,Strata,68,"31,991",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,177,837",753.48,"2,890",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,112",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"2,199,168",753.48,"2,919",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,417",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,230,389",419.8,"2,931",Jun-25,MARINA GARDENS LANE,New Sale,Strata,39,"31,548",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,965,870",656.6,"2,994",Jun-25,MARINA GARDENS LANE,New Sale,Strata,61,"32,227",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
BLOOMSBURY RESIDENCES,"1,744,000",688.9,"2,532",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"27,250",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,01 to 05
BLOOMSBURY RESIDENCES,"1,804,000",688.9,"2,619",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"28,188",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,11 to 15
THE LAKEGARDEN RESIDENCES,"2,799,000","1,237.86","2,261",Jun-25,YUAN CHING ROAD,New Sale,Strata,115,"24,339",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,01 to 05
GRAND DUNMAN,"4,395,000","1,689.95","2,601",Jun-25,DUNMAN ROAD,New Sale,Strata,157,"27,994",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
SANCTUARY@NEWTON,"2,748,240","1,022.58","2,688",Jun-25,SURREY ROAD,New Sale,Strata,95,"28,929",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
GRAND DUNMAN,"3,733,000","1,474.67","2,531",Jun-25,DUNMAN ROAD,New Sale,Strata,137,"27,248",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,223,901",419.8,"2,915",Jun-25,MARINA GARDENS LANE,New Sale,Strata,39,"31,382",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,01 to 05
PARKTOWN RESIDENCE,"2,578,000","1,162.51","2,218",Jun-25,TAMPINES STREET 62,New Sale,Strata,108,"23,870",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
AMBER HOUSE,"3,699,625","1,237.86","2,989",Jun-25,AMBER GARDENS,New Sale,Strata,115,"32,171",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"3,750,370","1,237.86","3,030",Jun-25,AMBER GARDENS,New Sale,Strata,115,"32,612",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"2,261,255",753.48,"3,001",Jun-25,AMBER GARDENS,New Sale,Strata,70,"32,304",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"3,780,035","1,237.86","3,054",Jun-25,AMBER GARDENS,New Sale,Strata,115,"32,870",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
PINETREE HILL,"3,214,000","1,291.68","2,488",Jun-25,PINE GROVE,New Sale,Strata,120,"26,783",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,01 to 05
NAVA GROVE,"2,524,300",947.23,"2,665",Jun-25,PINE GROVE,New Sale,Strata,88,"28,685",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"3,049,406","1,011.82","3,014",Jun-25,MARINA GARDENS LANE,New Sale,Strata,94,"32,440",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,41 to 45
GRAND DUNMAN,"2,644,000","1,044.11","2,532",Jun-25,DUNMAN ROAD,New Sale,Strata,97,"27,258",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
BLOOMSBURY RESIDENCES,"1,828,000",688.9,"2,654",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"28,563",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,16 to 20
SORA,"1,754,000",731.95,"2,396",Jun-25,YUAN CHING ROAD,New Sale,Strata,68,"25,794",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10
THE LAKEGARDEN RESIDENCES,"2,480,000","1,097.93","2,259",Jun-25,YUAN CHING ROAD,New Sale,Strata,102,"24,314",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
DUO RESIDENCES,"1,360,000",592.02,"2,297",Jun-25,FRASER STREET,Resale,Strata,55,"24,727",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,01 to 05
10 SHELFORD,"930,000",796.54,"1,168",Jun-25,SHELFORD ROAD,Resale,Strata,74,"12,568",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
BRADDELL VIEW,"1,610,000","1,453.14","1,108",Jun-25,BRADDELL HILL,Resale,Strata,135,"11,926",-,Apartment,1,103 yrs lease commencing from 1975,20,Rest of Central Region,16 to 20
AVENUE SOUTH RESIDENCE,"1,720,000",688.9,"2,497",Jun-25,SILAT AVENUE,Resale,Strata,64,"26,875",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
MIDTOWN RESIDENCES,"746,000",484.38,"1,540",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,45,"16,578",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
THE ORIE,"3,862,000","1,453.14","2,658",Jun-25,LORONG 1 TOA PAYOH,New Sale,Strata,135,"28,607",-,Condominium,1,99 yrs lease commencing from 2024,12,Rest of Central Region,26 to 30
THE WHARF RESIDENCE,"2,470,000","1,033.34","2,390",Jun-25,TONG WATT ROAD,Resale,Strata,96,"25,729",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
THE HILL @ONE-NORTH,"2,487,380","1,140.98","2,180",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,106,"23,466",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,11 to 15
PARKTOWN RESIDENCE,"2,753,000","1,076.4","2,558",Jun-25,TAMPINES STREET 62,New Sale,Strata,100,"27,530",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
THE HILL @ONE-NORTH,"2,460,315","1,022.58","2,406",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,95,"25,898",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,01 to 05
KI RESIDENCES AT BROOKVALE,"1,500,000",742.72,"2,020",Jun-25,BROOKVALE DRIVE,Sub Sale,Strata,69,"21,739",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,01 to 05
ARDOR RESIDENCE,"2,158,000",861.12,"2,506",Jun-25,HAIG ROAD,New Sale,Strata,80,"26,975",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,500,000","1,022.58","1,467",Jun-25,TANJONG KATONG ROAD,Resale,Strata,95,"15,789",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HILLOCK GREEN,"2,385,000","1,184.04","2,014",Jun-25,LENTOR CENTRAL,New Sale,Strata,110,"21,682",-,Apartment,1,99 years leasehold,26,Outside Central Region,01 to 05
TEMBELING CENTRE,"3,100,000","2,152.8","1,440",Jun-25,TEMBELING ROAD,Resale,Strata,200,"15,500",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WAN THO LODGE,"1,750,000","1,194.8","1,465",Jun-25,WAN THO AVENUE,Resale,Strata,111,"15,766",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
AMBER HOUSE,"2,179,248",731.95,"2,977",Jun-25,AMBER GARDENS,New Sale,Strata,68,"32,048",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MY MANHATTAN,"825,000",505.91,"1,631",Jun-25,SIMEI STREET 3,Resale,Strata,47,"17,553",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
