Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LE CRESCENDO,"1,070,000",914.94,"1,169",Dec-20,PAYA LEBAR ROAD,Resale,Strata,85,"12,588",-,Condominium,1,Freehold,14,Rest of Central Region,01 to 05
THE JOVELL,"725,000",527.44,"1,375",Dec-20,FLORA DRIVE,New Sale,Strata,49,"14,796",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
THE LUXURIE,"929,000",796.54,"1,166",Dec-20,COMPASSVALE ROAD,Resale,Strata,74,"12,554",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
NEU AT NOVENA,"1,680,000",645.84,"2,601",Dec-20,MOULMEIN RISE,New Sale,Strata,60,"28,000",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
TREASURE AT TAMPINES,"1,693,000","1,237.86","1,368",Dec-20,TAMPINES LANE,New Sale,Strata,115,"14,722",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,243,500",828.83,"1,500",Dec-20,SERANGOON NORTH VIEW,New Sale,Strata,77,"16,149",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,556,400","1,065.64","1,461",Dec-20,SERANGOON NORTH VIEW,New Sale,Strata,99,"15,721",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
VERTICUS,"1,880,000",936.47,"2,008",Dec-20,JALAN KEMAMAN,New Sale,Strata,87,"21,609",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
DUCHESS ROYALE,"2,350,000","1,582.31","1,485",Dec-20,DUCHESS AVENUE,Resale,Strata,147,"15,986",-,Apartment,1,999 yrs lease commencing from 1875,10,Core Central Region,01 to 05
CAIRNHILL RESIDENCES,"2,550,000","1,162.51","2,194",Dec-20,CAIRNHILL CIRCLE,Resale,Strata,108,"23,611",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
FORETT@BUKIT TIMAH,"2,038,000","1,033.34","1,972",Dec-20,TOH TUCK ROAD,New Sale,Strata,96,"21,229",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
FORETT@BUKIT TIMAH,"2,520,000","1,302.44","1,935",Dec-20,TOH TUCK ROAD,New Sale,Strata,121,"20,826",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
CASTLE GREEN,"1,130,000","1,216.33",929,Dec-20,YIO CHU KANG ROAD,Resale,Strata,113,"10,000",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,06 to 10
CANBERRA RESIDENCES,"1,540,000","1,937.52",795,Dec-20,CANBERRA DRIVE,Resale,Strata,180,"8,556",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CLAVON,"1,455,000",958,"1,519",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,89,"16,348",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
HERITAGE VIEW,"2,838,000","2,583.36","1,099",Dec-20,DOVER RISE,Resale,Strata,240,"11,825",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
CARABELLE,"1,258,000",947.23,"1,328",Dec-20,WEST COAST WAY,Resale,Strata,88,"14,295",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
CLAVON,"1,734,000","1,130.22","1,534",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,105,"16,514",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
JADESCAPE,"2,467,000","1,420.85","1,736",Dec-20,SHUNFU ROAD,New Sale,Strata,132,"18,689",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
HUNDRED TREES,"1,200,000",914.94,"1,312",Dec-20,WEST COAST DRIVE,Resale,Strata,85,"14,118",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,469,000",893.41,"1,644",Dec-20,HOUGANG AVENUE 2,New Sale,Strata,83,"17,699",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
PARC CLEMATIS,"1,178,500",688.9,"1,711",Dec-20,JALAN LEMPENG,New Sale,Strata,64,"18,414",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
SOPHIA RESIDENCE,"3,470,000","2,045.16","1,697",Dec-20,SOPHIA ROAD,Resale,Strata,190,"18,263",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
THE SPRINGBLOOM,"1,718,000","1,646.89","1,043",Dec-20,SERANGOON AVENUE 3,Resale,Strata,153,"11,229",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
FLO RESIDENCE,"850,000",925.7,918,Dec-20,PUNGGOL FIELD WALK,Resale,Strata,86,"9,884",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
REGENT GROVE,"712,000",925.7,769,Dec-20,CHOA CHU KANG NORTH 7,Resale,Strata,86,"8,279",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10
RIVER PLACE,"1,030,000",721.19,"1,428",Dec-20,HAVELOCK ROAD,Resale,Strata,67,"15,373",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"960,000","1,076.4",892,Dec-20,FLORA DRIVE,Resale,Strata,100,"9,600",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
OPTIMA @ TANAH MERAH,"1,033,000",861.12,"1,200",Dec-20,TANAH MERAH KECHIL AVENUE,Resale,Strata,80,"12,913",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05
THE CASCADIA,"1,850,000","1,679.18","1,102",Dec-20,BUKIT TIMAH ROAD,Resale,Strata,156,"11,859",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
THOMSON IMPRESSIONS,"1,850,000","1,194.8","1,548",Dec-20,LORONG PUNTONG,Resale,Strata,111,"16,667",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,11 to 15
PARKSHORE,"4,200,000","2,325.02","1,806",Dec-20,TANJONG RHU ROAD,Resale,Strata,216,"19,444",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
EUHABITAT,"670,000",538.2,"1,245",Dec-20,JALAN EUNOS,Resale,Strata,50,"13,400",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
THE INFINITI,"1,310,000","1,237.86","1,058",Dec-20,WEST COAST PARK,Resale,Strata,115,"11,391",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
BAYWATER,"1,220,000","1,280.92",952,Dec-20,BEDOK RESERVOIR ROAD,Resale,Strata,119,"10,252",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,11 to 15
ADRIA,"1,220,000",688.9,"1,771",Dec-20,DERBYSHIRE ROAD,Resale,Strata,64,"19,063",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
CARIBBEAN AT KEPPEL BAY,"1,870,000","1,227.1","1,524",Dec-20,KEPPEL BAY DRIVE,Resale,Strata,114,"16,404",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,06 to 10
SAVANNAH CONDOPARK,"1,240,000","1,453.14",853,Dec-20,SIMEI RISE,Resale,Strata,135,"9,185",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
GRANDEUR 8,"1,580,000","1,420.85","1,112",Dec-20,ANG MO KIO CENTRAL 3,Resale,Strata,132,"11,970",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,11 to 15
