Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE WARREN,1220000.0,1044.11,1168.0,2025-09-01,Resale,Strata,97.0,12577.0,Condominium,99 yrs lease commencing from 2001,23,Outside Central Region,06 to 10,1.38584604953958,103.742424246557,39 CHOA CHU KANG LOOP THE WARREN SINGAPORE 689676,16.593185275385142,61.0,3,0,4,1,16,1
MERALODGE,2358000.0,1636.13,1441.0,2025-09-01,Resale,Strata,152.0,15513.0,Condominium,Freehold,23,Outside Central Region,01 to 05,1.35416438712436,103.761454232116,83 HILLVIEW AVENUE MERALODGE SINGAPORE 669583,12.697777829545776,61.0,0,0,2,3,11,8
THE SKYWOODS,1680000.0,1011.82,1660.0,2025-09-01,Resale,Strata,94.0,17872.0,Condominium,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05,1.36572851408377,103.771413333255,9 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677670,12.733037014509984,61.0,2,0,2,3,6,10
THE MYST,1595000.0,678.13,2352.0,2025-09-01,New Sale,Strata,63.0,25317.0,Condominium,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25,1.37349863800841,103.764142243891,800 UPPER BUKIT TIMAH ROAD THE MYST (U/C) SINGAPORE 678139,13.913175341498713,61.0,6,0,3,3,16,8
THE TENNERY,825000.0,613.55,1345.0,2025-09-01,Resale,Strata,57.0,14474.0,Apartment,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15,1.37972709158017,103.760191017381,3 WOODLANDS ROAD THE TENNERY SINGAPORE 677901,14.714916751826824,61.0,7,1,5,1,18,2
THE TENNERY,868000.0,624.31,1390.0,2025-09-01,Resale,Strata,58.0,14966.0,Apartment,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15,1.37972709158017,103.760191017381,3 WOODLANDS ROAD THE TENNERY SINGAPORE 677901,14.714916751826824,61.0,7,1,5,1,18,2
MIDWOOD,1340000.0,699.66,1915.0,2025-09-01,Resale,Strata,65.0,20615.0,Condominium,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05,1.36286208839026,103.763433915546,8 HILLVIEW RISE MIDWOOD SINGAPORE 667971,13.151101825546984,61.0,2,0,2,3,10,9
MIDWOOD,870000.0,484.38,1796.0,2025-09-01,Resale,Strata,45.0,19333.0,Condominium,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10,1.36286208839026,103.763433915546,8 HILLVIEW RISE MIDWOOD SINGAPORE 667971,13.151101825546984,61.0,2,0,2,3,10,9
NATURA@HILLVIEW,1485000.0,1248.62,1189.0,2025-09-01,Resale,Strata,116.0,12802.0,Apartment,Freehold,23,Outside Central Region,06 to 10,1.35300842405369,103.759134678556,18 HILLVIEW TERRACE NATURA@HILLVIEW SINGAPORE 669229,12.82380769894757,61.0,0,0,0,3,12,7
HILLION RESIDENCES,820000.0,473.62,1731.0,2025-09-01,Resale,Strata,44.0,18636.0,Apartment,99 yrs lease commencing from 2013,23,Outside Central Region,11 to 15,1.37842918995762,103.763427108552,10 JELEBU ROAD HILLION RESIDENCES SINGAPORE 677672,14.36418723182728,61.0,7,0,4,1,16,6
THE TENNERY,805000.0,613.55,1312.0,2025-09-01,Resale,Strata,57.0,14123.0,Apartment,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10,1.37972709158017,103.760191017381,3 WOODLANDS ROAD THE TENNERY SINGAPORE 677901,14.714916751826824,61.0,7,1,5,1,18,2
NORTHVALE,1150000.0,1087.16,1058.0,2025-09-01,Resale,Strata,101.0,11386.0,Apartment,99 yrs lease commencing from 1995,23,Outside Central Region,11 to 15,1.3875905760788,103.745442249639,71 CHOA CHU KANG LOOP NORTHVALE SINGAPORE 689673,16.484969495038918,61.0,3,0,2,1,16,2
HILLSTA,738000.0,538.2,1371.0,2025-09-01,Resale,Strata,50.0,14760.0,Condominium,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10,1.37652535037895,103.756538865376,70 PHOENIX ROAD HILLSTA SINGAPORE 667973,14.746574873664857,61.0,6,0,4,2,19,4
THE TENNERY,850000.0,613.55,1385.0,2025-08-01,Resale,Strata,57.0,14912.0,Apartment,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15,1.37972709158017,103.760191017381,3 WOODLANDS ROAD THE TENNERY SINGAPORE 677901,14.714916751826824,60.0,7,1,5,1,18,2
NORTHVALE,1488000.0,1270.15,1172.0,2025-08-01,Resale,Strata,118.0,12610.0,Apartment,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10,1.3875905760788,103.745442249639,71 CHOA CHU KANG LOOP NORTHVALE SINGAPORE 689673,16.484969495038918,60.0,3,0,2,1,16,2
HILLHAVEN,1736301.0,699.66,2482.0,2025-08-01,New Sale,Strata,65.0,26712.0,Condominium,99 yrs lease commencing from 2023,23,Outside Central Region,26 to 30,1.36208663809612,103.763521075858,7 HILLVIEW RISE HILLHAVEN (U/C) SINGAPORE 669810,13.086462731347622,60.0,2,0,2,3,9,9
THE SKYWOODS,1688000.0,947.23,1782.0,2025-08-01,Resale,Strata,88.0,19182.0,Condominium,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15,1.36572851408377,103.771413333255,9 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677670,12.733037014509984,60.0,2,0,2,3,6,10
LE QUEST,780000.0,495.14,1575.0,2025-08-01,Resale,Strata,46.0,16957.0,Apartment,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15,1.35594171176111,103.741127005764,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,14.648252479613628,60.0,0,1,0,3,15,0
DAIRY FARM RESIDENCES,1075000.0,624.31,1722.0,2025-08-01,Sub Sale,Strata,58.0,18534.0,Apartment,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05,1.36681214110944,103.774500573666,8 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677624,12.584454829347116,60.0,1,0,0,3,7,8
THE TENNERY,820000.0,613.55,1336.0,2025-08-01,Resale,Strata,57.0,14386.0,Apartment,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10,1.37972709158017,103.760191017381,3 WOODLANDS ROAD THE TENNERY SINGAPORE 677901,14.714916751826824,60.0,7,1,5,1,18,2
THE MYST,3400000.0,1689.95,2012.0,2025-08-01,New Sale,Strata,157.0,21656.0,Condominium,99 yrs lease commencing from 2023,23,Outside Central Region,11 to 15,1.37349863800841,103.764142243891,800 UPPER BUKIT TIMAH ROAD THE MYST (U/C) SINGAPORE 678139,13.913175341498713,60.0,6,0,3,3,16,8
PALM GARDENS,1310000.0,1205.57,1087.0,2025-08-01,Resale,Strata,112.0,11696.0,Condominium,99 yrs lease commencing from 1996,23,Outside Central Region,16 to 20,1.37866305595577,103.746563110704,2C HONG SAN WALK PALM GARDENS SINGAPORE 689049,15.715623228686663,60.0,5,0,4,1,16,2
THE HILLIER,930000.0,624.31,1490.0,2025-08-01,Resale,Strata,58.0,16034.0,Apartment,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15,1.36393203094063,103.764583569188,2 HILLVIEW RISE THE HILLER SINGAPORE 667978,13.13687969882636,60.0,2,0,2,3,10,9
LE QUEST,1500000.0,936.47,1602.0,2025-08-01,Resale,Strata,87.0,17241.0,Apartment,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15,1.35594171176111,103.741127005764,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,14.648252479613628,60.0,0,1,0,3,15,0
DAIRY FARM RESIDENCES,1800000.0,936.47,1922.0,2025-08-01,Sub Sale,Strata,87.0,20690.0,Apartment,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,1.36681214110944,103.774500573666,8 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677624,12.584454829347116,60.0,1,0,0,3,7,8
THE HILLIER,865000.0,592.02,1461.0,2025-08-01,Resale,Strata,55.0,15727.0,Apartment,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20,1.36393203094063,103.764583569188,2 HILLVIEW RISE THE HILLER SINGAPORE 667978,13.13687969882636,60.0,2,0,2,3,10,9
REGENT GROVE,1170000.0,1173.28,997.0,2025-08-01,Resale,Strata,109.0,10734.0,Condominium,99 yrs lease commencing from 1997,23,Outside Central Region,01 to 05,1.39931151971397,103.748806666421,50 CHOA CHU KANG NORTH 7 REGENT GROVE SINGAPORE 689527,17.168405515665786,60.0,1,1,2,0,12,1
