Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE WOODGROVE,860000.0,828.83,1038.0,2025-09-01,Resale,Strata,77.0,11169.0,Apartment,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,1.42879898582682,103.781495092242,3 WOODGROVE DRIVE THE WOODGROVE SINGAPORE 738230,61.0,1,1,3,2,16,1
CASABLANCA,1331000.0,1194.8,1114.0,2025-09-01,Resale,Strata,111.0,11991.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,01 to 05,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,61.0,3,1,4,2,17,1
CASABLANCA,1241000.0,1119.46,1109.0,2025-09-01,Resale,Strata,104.0,11933.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,61.0,3,1,4,2,17,1
THE WOODGROVE,900555.0,893.41,1008.0,2025-08-01,Resale,Strata,83.0,10850.0,Apartment,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,1.42879898582682,103.781495092242,3 WOODGROVE DRIVE THE WOODGROVE SINGAPORE 738230,60.0,1,1,3,2,16,1
NORWOOD GRAND,2739000.0,1334.74,2052.0,2025-08-01,New Sale,Strata,124.0,22089.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,60.0,2,0,3,2,19,1
THE WOODGROVE,862888.0,871.88,990.0,2025-08-01,Resale,Strata,81.0,10653.0,Apartment,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,1.42879898582682,103.781495092242,3 WOODGROVE DRIVE THE WOODGROVE SINGAPORE 738230,60.0,1,1,3,2,16,1
NORWOOD GRAND,2756000.0,1313.21,2099.0,2025-08-01,New Sale,Strata,122.0,22590.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,60.0,2,0,3,2,19,1
PARC ROSEWOOD,663000.0,430.56,1540.0,2025-08-01,Resale,Strata,40.0,16575.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,60.0,2,1,4,2,16,1
CASABLANCA,1059000.0,947.23,1118.0,2025-08-01,Resale,Strata,88.0,12034.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,01 to 05,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,60.0,3,1,4,2,17,1
NORWOOD GRAND,2752000.0,1334.74,2062.0,2025-08-01,New Sale,Strata,124.0,22194.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,60.0,2,0,3,2,19,1
ROSEWOOD SUITES,805000.0,656.6,1226.0,2025-07-01,Resale,Strata,61.0,13197.0,Condominium,99 yrs lease commencing from 2008,25,Outside Central Region,01 to 05,1.4294460758585,103.786304785772,63 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737874,59.0,3,1,4,2,17,1
THE WOODGROVE,843000.0,871.88,967.0,2025-07-01,Resale,Strata,81.0,10407.0,Apartment,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,1.42879898582682,103.781495092242,3 WOODGROVE DRIVE THE WOODGROVE SINGAPORE 738230,59.0,1,1,3,2,16,1
PARC ROSEWOOD,665000.0,430.56,1545.0,2025-07-01,Resale,Strata,40.0,16625.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,59.0,2,1,4,2,16,1
NORWOOD GRAND,2671000.0,1313.21,2034.0,2025-07-01,New Sale,Strata,122.0,21893.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,59.0,2,0,3,2,19,1
NORWOOD GRAND,2658000.0,1313.21,2024.0,2025-07-01,New Sale,Strata,122.0,21787.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,59.0,2,0,3,2,19,1
PARC ROSEWOOD,815000.0,581.26,1402.0,2025-07-01,Resale,Strata,54.0,15093.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,59.0,2,1,4,2,16,1
PARC ROSEWOOD,650000.0,430.56,1510.0,2025-07-01,Resale,Strata,40.0,16250.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,59.0,2,1,4,2,16,1
PARC ROSEWOOD,650000.0,430.56,1510.0,2025-06-01,Resale,Strata,40.0,16250.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,58.0,2,1,4,2,16,1
WOODHAVEN,988000.0,731.95,1350.0,2025-06-01,Resale,Strata,68.0,14529.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.43004999083757,103.784677595901,73 WOODGROVE AVENUE WOODHAVEN SINGAPORE 737809,58.0,2,1,3,2,17,1
PARC ROSEWOOD,675000.0,430.56,1568.0,2025-06-01,Resale,Strata,40.0,16875.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,58.0,2,1,4,2,16,1
PARC ROSEWOOD,1150000.0,1323.97,869.0,2025-06-01,Resale,Strata,123.0,9350.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,58.0,2,1,4,2,16,1
PARC ROSEWOOD,668000.0,430.56,1551.0,2025-06-01,Resale,Strata,40.0,16700.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,58.0,2,1,4,2,16,1
ROSEWOOD,1928000.0,2152.8,896.0,2025-06-01,Resale,Strata,200.0,9640.0,Condominium,99 yrs lease commencing from 2000,25,Outside Central Region,16 to 20,1.43111592652524,103.785617730116,3 ROSEWOOD DRIVE ROSEWOOD SINGAPORE 737935,58.0,2,1,4,2,17,1
ROSEWOOD SUITES,1108000.0,1065.64,1040.0,2025-06-01,Resale,Strata,99.0,11192.0,Condominium,99 yrs lease commencing from 2008,25,Outside Central Region,01 to 05,1.4294460758585,103.786304785772,63 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737874,58.0,3,1,4,2,17,1
CASABLANCA,1380000.0,1184.04,1166.0,2025-06-01,Resale,Strata,110.0,12545.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,58.0,3,1,4,2,17,1
WOODGROVE CONDOMINIUM,1240000.0,1237.86,1002.0,2025-05-01,Resale,Strata,115.0,10783.0,Condominium,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05,1.4290046460223,103.7823694182,2 WOODGROVE DRIVE WOODGROVE CONDOMINIUM SINGAPORE 738207,57.0,1,1,3,2,16,1
WOODGROVE CONDOMINIUM,1630000.0,1614.6,1010.0,2025-05-01,Resale,Strata,150.0,10867.0,Condominium,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05,1.4290046460223,103.7823694182,2 WOODGROVE DRIVE WOODGROVE CONDOMINIUM SINGAPORE 738207,57.0,1,1,3,2,16,1
WOODHAVEN,1520000.0,1119.46,1358.0,2025-05-01,Resale,Strata,104.0,14615.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.43004999083757,103.784677595901,73 WOODGROVE AVENUE WOODHAVEN SINGAPORE 737809,57.0,2,1,3,2,17,1
PARC ROSEWOOD,630000.0,430.56,1463.0,2025-05-01,Resale,Strata,40.0,15750.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,57.0,2,1,4,2,16,1
CASABLANCA,1320000.0,1194.8,1105.0,2025-05-01,Resale,Strata,111.0,11892.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,01 to 05,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,57.0,3,1,4,2,17,1
NORWOOD GRAND,2707000.0,1313.21,2061.0,2025-05-01,New Sale,Strata,122.0,22189.0,Apartment,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05,1.42853654796474,103.79083669818,8 CHAMPIONS WAY NORWOOD GRAND (U/C) SINGAPORE 738974,57.0,2,0,3,2,19,1
ROSEWOOD SUITES,1400000.0,1270.15,1102.0,2025-05-01,Resale,Strata,118.0,11864.0,Condominium,99 yrs lease commencing from 2008,25,Outside Central Region,01 to 05,1.4294460758585,103.786304785772,63 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737874,57.0,3,1,4,2,17,1
PARC ROSEWOOD,650000.0,430.56,1510.0,2025-05-01,Resale,Strata,40.0,16250.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,57.0,2,1,4,2,16,1
WOODHAVEN,938000.0,699.66,1341.0,2025-04-01,Resale,Strata,65.0,14431.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.43004999083757,103.784677595901,73 WOODGROVE AVENUE WOODHAVEN SINGAPORE 737809,56.0,2,1,3,2,17,1
ROSEWOOD SUITES,1488000.0,1550.02,960.0,2025-04-01,Resale,Strata,144.0,10333.0,Condominium,99 yrs lease commencing from 2008,25,Outside Central Region,01 to 05,1.4294460758585,103.786304785772,63 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737874,56.0,3,1,4,2,17,1
PARC ROSEWOOD,668000.0,505.91,1320.0,2025-04-01,Resale,Strata,47.0,14213.0,Condominium,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,1.42728727458399,103.786050332413,99 ROSEWOOD DRIVE PARC ROSEWOOD SINGAPORE 737797,56.0,2,1,4,2,16,1
ROSEWOOD,1085000.0,1011.82,1072.0,2025-04-01,Resale,Strata,94.0,11543.0,Condominium,99 yrs lease commencing from 2000,25,Outside Central Region,11 to 15,1.43111592652524,103.785617730116,3 ROSEWOOD DRIVE ROSEWOOD SINGAPORE 737935,56.0,2,1,4,2,17,1
CASABLANCA,1288000.0,1184.04,1088.0,2025-04-01,Resale,Strata,110.0,11709.0,Condominium,99 yrs lease commencing from 2001,25,Outside Central Region,06 to 10,1.43060312864496,103.786524230753,25 ROSEWOOD DRIVE CASABLANCA SINGAPORE 737919,56.0,3,1,4,2,17,1
