Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
ONE MARINA GARDENS,1883403.0,656.6,2868.0,2025-09-01,61.0,30875.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,0.0,7,0,0,7,0,0,1,0,0,1
ONE MARINA GARDENS,2055683.0,656.6,3131.0,2025-09-01,61.0,33700.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,0.0,7,0,0,7,0,0,8,0,0,1
MARINA BAY RESIDENCES,1755000.0,731.95,2398.0,2025-09-01,68.0,25809.0,1.279625798918,103.854987203774,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,0.579752502595426,0.0,8,2,4,10,2,8,5,1,1,0
ONE MARINA GARDENS,2038262.0,667.37,3054.0,2025-09-01,62.0,32875.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,0.0,7,0,0,7,0,0,6,0,0,1
MARINA ONE RESIDENCES,4260000.0,2249.68,1894.0,2025-09-01,209.0,20383.0,1.27722425616283,103.853694940241,23 MARINA WAY MARINA ONE RESIDENCES SINGAPORE 018979,0.7055715754014449,0.0,10,2,3,8,2,7,1,1,0,0
THE SAIL @ MARINA BAY,1620000.0,861.12,1881.0,2025-09-01,80.0,20250.0,1.28076943476846,103.852658562152,2 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018987,0.3080663028688748,0.0,11,4,3,11,4,12,6,1,0,0
ONE MARINA GARDENS,3806562.0,1237.86,3075.0,2025-09-01,115.0,33101.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,0.0,7,0,0,7,0,0,6,0,0,1
ONE MARINA GARDENS,2156029.0,710.42,3035.0,2025-08-01,66.0,32667.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,8,0,0,1
MARINA ONE RESIDENCES,3220000.0,1539.25,2092.0,2025-08-01,143.0,22517.0,1.27722425616283,103.853694940241,23 MARINA WAY MARINA ONE RESIDENCES SINGAPORE 018979,0.7055715754014449,1.0,10,2,3,8,2,7,3,1,0,0
ONE MARINA GARDENS,1799999.0,645.84,2787.0,2025-08-01,60.0,30000.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,1,0,0,1
ONE MARINA GARDENS,1799999.0,645.84,2787.0,2025-08-01,60.0,30000.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,1,0,0,1
ONE MARINA GARDENS,1799999.0,645.84,2787.0,2025-08-01,60.0,30000.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,1,0,0,1
ONE MARINA GARDENS,2094151.0,721.19,2904.0,2025-08-01,67.0,31256.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,1,0,0,1
ONE MARINA GARDENS,2760168.0,968.76,2849.0,2025-08-01,90.0,30669.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,2,0,0,1
ONE SHENTON,2778000.0,1485.43,1870.0,2025-08-01,138.0,20130.0,1.27929478959373,103.850552555075,1 SHENTON WAY ONE SHENTON SINGAPORE 068803,0.412718182611924,1.0,13,6,4,11,4,11,2,1,0,0
MARINA BAY RESIDENCES,1730000.0,731.95,2364.0,2025-08-01,68.0,25441.0,1.279625798918,103.854987203774,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,0.579752502595426,1.0,8,2,4,10,2,8,7,1,1,0
MARINA BAY RESIDENCES,2320000.0,1076.4,2155.0,2025-08-01,100.0,23200.0,1.279625798918,103.854987203774,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,0.579752502595426,1.0,8,2,4,10,2,8,8,1,1,0
THE SAIL @ MARINA BAY,2260000.0,936.47,2413.0,2025-08-01,87.0,25977.0,1.28076943476846,103.852658562152,2 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018987,0.3080663028688748,1.0,11,4,3,11,4,12,8,1,0,0
V ON SHENTON,1065000.0,484.38,2199.0,2025-08-01,45.0,23667.0,1.27708340707631,103.849181343548,5A SHENTON WAY V ON SHENTON SINGAPORE 068814,0.6848200152650349,1.0,11,6,4,9,3,9,5,1,0,0
ONE MARINA GARDENS,2635221.0,904.18,2915.0,2025-08-01,84.0,31372.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,3,0,0,1
ONE MARINA GARDENS,5144355.0,1646.89,3124.0,2025-08-01,153.0,33623.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,5,0,0,1
ONE MARINA GARDENS,2137854.0,721.19,2964.0,2025-08-01,67.0,31908.0,1.27580060851268,103.862936192351,3 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019916,1.5486707863458422,1.0,7,0,0,7,0,0,2,0,0,1
MARINA BAY RESIDENCES,5100000.0,2378.84,2144.0,2025-08-01,221.0,23077.0,1.279625798918,103.854987203774,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,0.579752502595426,1.0,8,2,4,10,2,8,4,1,1,0
