Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
SPRING @ KATONG,2400000.0,1119.46,2144.0,2025-09-01,Resale,Strata,104.0,23077.0,Apartment,Freehold,15,Rest of Central Region,01 to 05,1.30560970882214,103.903400896749,18 CEYLON ROAD SPRING @ KATONG SINGAPORE 429748,6.345059648112653,61.0,2,2,5,1,12,9
THE SEA VIEW,3423700.0,1216.33,2815.0,2025-09-01,Resale,Strata,113.0,30298.0,Condominium,Freehold,15,Rest of Central Region,16 to 20,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,6.079709945009326,61.0,2,2,5,1,11,7
FORTUNE JADE,2200000.0,1140.98,1928.0,2025-09-01,Resale,Strata,106.0,20755.0,Apartment,Freehold,15,Rest of Central Region,16 to 20,1.309917518417,103.894838452185,501 DUNMAN ROAD FORTUNE JADE SINGAPORE 439193,5.715065453567629,61.0,3,3,2,3,11,11
IDYLLIC RESIDENCES,1800000.0,1097.93,1639.0,2025-09-01,Resale,Strata,102.0,17647.0,Apartment,Freehold,15,Outside Central Region,01 to 05,1.31067589387575,103.912760068148,52 LORONG M TELOK KURAU IDYLLIC RESIDENCES SINGAPORE 425346,7.523836661173498,61.0,1,1,0,1,12,5
GRAND DUNMAN,2582000.0,1044.11,2473.0,2025-09-01,New Sale,Strata,97.0,26619.0,Apartment,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05,1.30793011957246,103.890384748086,2 DUNMAN ROAD GRAND DUNMAN (U/C) SINGAPORE 439188,5.177965497038236,61.0,2,4,1,5,10,7
MEYER BLUE,3797000.0,1140.98,3328.0,2025-09-01,New Sale,Strata,106.0,35821.0,Apartment,Freehold,15,Rest of Central Region,21 to 25,1.29658307180925,103.891682981836,83 MEYER ROAD MEYER BLUE (U/C) SINGAPORE 437910,4.770286022410277,61.0,2,0,0,3,7,6
AMBER HOUSE,1950824.0,635.08,3072.0,2025-09-01,New Sale,Strata,59.0,33065.0,Apartment,Freehold,15,Rest of Central Region,01 to 05,1.30158520286259,103.900558767807,30 AMBER GARDENS AMBER HOUSE (U/C) SINGAPORE 439964,5.885880240471186,61.0,2,2,5,2,11,7
BLU CORAL,905000.0,505.91,1789.0,2025-09-01,Resale,Strata,47.0,19255.0,Condominium,Freehold,15,Outside Central Region,01 to 05,1.31269286351102,103.91441930412,127 LORONG L TELOK KURAU BLU CORAL SINGAPORE 425562,7.784304406273771,61.0,2,1,0,2,11,5
THE SEA VIEW,3860000.0,1410.08,2737.0,2025-09-01,Resale,Strata,131.0,29466.0,Condominium,Freehold,15,Rest of Central Region,01 to 05,1.30146373788307,103.902456466126,31 AMBER ROAD THE SEA VIEW SINGAPORE 439943,6.079709945009326,61.0,2,2,5,1,11,7
THE LINE @ TANJONG RHU,2780000.0,1216.33,2286.0,2025-09-01,Resale,Strata,113.0,24602.0,Condominium,Freehold,15,Rest of Central Region,11 to 15,1.29843730060613,103.884408021083,6 TANJONG RHU ROAD THE LINE @ TANJONG RHU SINGAPORE 436883,4.091148044178251,61.0,2,2,0,5,7,4
