Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE TIER,860000.0,538.2,1598.0,2025-09-01,Resale,Strata,50.0,17200.0,Apartment,Freehold,12,Rest of Central Region,06 to 10,1.32302236265371,103.851021455853,28 PEGU ROAD THE TIER SINGAPORE 328373,61.0,1,3,3,12,18,4
PAPILLON,1856000.0,1227.1,1513.0,2025-09-01,Resale,Strata,114.0,16281.0,Apartment,Freehold,12,Rest of Central Region,11 to 15,1.3269225590077,103.849241627567,8 JALAN RAMA RAMA PAPILLON SINGAPORE 329089,61.0,2,3,4,12,21,3
GEM RESIDENCES,2650000.0,1248.62,2122.0,2025-09-01,Resale,Strata,116.0,22845.0,Condominium,99 yrs lease commencing from 2015,12,Rest of Central Region,06 to 10,1.33933820986766,103.851224736347,3 LORONG 5 TOA PAYOH GEM RESIDENCES SINGAPORE 319459,61.0,2,6,1,12,19,0
CITY REGENCY,743000.0,484.38,1534.0,2025-09-01,Resale,Strata,45.0,16511.0,Apartment,Freehold,12,Rest of Central Region,11 to 15,1.32638091456349,103.86384065497,18 SAINT MICHAEL'S ROAD CITY REGENCY SINGAPORE 327977,61.0,2,2,1,10,11,4
THE ARCADY AT BOON KENG,2456000.0,968.76,2535.0,2025-09-01,New Sale,Strata,90.0,27289.0,Apartment,Freehold,12,Rest of Central Region,06 to 10,1.32327389691932,103.86384639614,2 SAINT BARNABAS LANE THE ARCADY AT BOON KENG (U/C) SINGAPORE 329353,61.0,2,3,0,10,11,4
GEM RESIDENCES,2080000.0,1011.82,2056.0,2025-09-01,Resale,Strata,94.0,22128.0,Condominium,99 yrs lease commencing from 2015,12,Rest of Central Region,11 to 15,1.33933820986766,103.851224736347,3 LORONG 5 TOA PAYOH GEM RESIDENCES SINGAPORE 319459,61.0,2,6,1,12,19,0
BEACON HEIGHTS,1700000.0,1076.4,1579.0,2025-09-01,Resale,Strata,100.0,17000.0,Condominium,999 yrs lease commencing from 1882,12,Rest of Central Region,06 to 10,1.32637508646677,103.8621423703,8 MAR THOMA ROAD BEACON HEIGHTS SINGAPORE 328689,61.0,2,3,1,10,11,4
AIRSTREAM,720000.0,473.62,1520.0,2025-09-01,Resale,Strata,44.0,16364.0,Apartment,Freehold,12,Rest of Central Region,01 to 05,1.32732661439014,103.864035551424,26 SAINT MICHAEL'S ROAD AIRSTREAM SINGAPORE 327994,61.0,2,2,1,10,11,4
THE RIVERINE BY THE PARK,1750000.0,979.52,1787.0,2025-08-01,Resale,Strata,91.0,19231.0,Apartment,Freehold,12,Rest of Central Region,06 to 10,1.30963804234283,103.869220196792,398 KALLANG ROAD THE RIVERINE BY THE PARK SINGAPORE 339098,60.0,3,3,2,11,8,2
JUI RESIDENCES,1340000.0,710.42,1886.0,2025-08-01,Resale,Strata,66.0,20303.0,Apartment,Freehold,12,Rest of Central Region,06 to 10,1.32626870727644,103.866142673614,1177 SERANGOON ROAD JUI RESIDENCES SINGAPORE 328231,60.0,3,2,1,11,12,5
THE ORIE,3628000.0,1367.03,2654.0,2025-08-01,New Sale,Strata,127.0,28567.0,Condominium,99 yrs lease commencing from 2024,12,Rest of Central Region,26 to 30,1.33970675433727,103.850057290416,10 LORONG 1 TOA PAYOH THE ORIE (U/C) SINGAPORE 319974,60.0,2,6,1,12,17,0
THE ORIE,3562000.0,1367.03,2606.0,2025-08-01,New Sale,Strata,127.0,28047.0,Condominium,99 yrs lease commencing from 2024,12,Rest of Central Region,21 to 25,1.33970675433727,103.850057290416,10 LORONG 1 TOA PAYOH THE ORIE (U/C) SINGAPORE 319974,60.0,2,6,1,12,17,0
OKIO,968000.0,570.49,1697.0,2025-08-01,Resale,Strata,53.0,18264.0,Apartment,Freehold,12,Rest of Central Region,06 to 10,1.32213342822747,103.853199661872,262 BALESTIER ROAD OKIO SINGAPORE 329714,60.0,1,3,1,12,16,1
EIGHT RIVERSUITES,1755000.0,936.47,1874.0,2025-08-01,Resale,Strata,87.0,20172.0,Condominium,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25,1.32161511306166,103.864370653972,10 WHAMPOA EAST EIGHT RIVERSUITES SINGAPORE 338521,60.0,3,2,0,10,10,4
RAJAH TOWERS,2965000.0,2088.22,1420.0,2025-08-01,Resale,Strata,194.0,15284.0,Apartment,Freehold,12,Rest of Central Region,11 to 15,1.32755515564555,103.848878899043,32 JALAN RAJAH RAJAH TOWER SINGAPORE 329141,60.0,2,3,3,12,21,3
EIGHT RIVERSUITES,1942500.0,1194.8,1626.0,2025-08-01,Resale,Strata,111.0,17500.0,Condominium,99 yrs lease commencing from 2011,12,Rest of Central Region,06 to 10,1.32161511306166,103.864370653972,10 WHAMPOA EAST EIGHT RIVERSUITES SINGAPORE 338521,60.0,3,2,0,10,10,4
GLOBAL VILLE,970000.0,678.13,1430.0,2025-08-01,Resale,Strata,63.0,15397.0,Apartment,Freehold,12,Rest of Central Region,16 to 20,1.32751668761838,103.842603758766,20 JALAN RAJA UDANG GLOBAL VILLE SINGAPORE 329192,60.0,3,0,4,12,15,4
