Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
HIGHGATE,2250000.0,1474.67,1526.0,2025-09-01,Resale,Strata,137.0,16423.0,Condominium,Freehold,21,Rest of Central Region,01 to 05,1.34183859405778,103.766292641702,66 TOH TUCK ROAD HIGHGATE SINGAPORE 596730,61.0,0,1,0,3,7,10
THE BLOSSOMVALE,3200000.0,1399.32,2287.0,2025-09-01,Resale,Strata,130.0,24615.0,Condominium,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05,1.33673935083253,103.782820735846,900 DUNEARN ROAD THE BLOSSOMVALE SINGAPORE 589473,61.0,2,2,3,5,2,4
THE STERLING,1690000.0,753.48,2243.0,2025-09-01,Resale,Strata,70.0,24143.0,Condominium,Freehold,21,Rest of Central Region,01 to 05,1.33575596517088,103.782110387097,1001 BUKIT TIMAH ROAD THE STERLING SINGAPORE 596288,61.0,2,2,3,5,2,6
SHERWOOD CONDOMINIUM,1380000.0,893.41,1545.0,2025-09-01,Resale,Strata,83.0,16627.0,Condominium,Freehold,21,Rest of Central Region,06 to 10,1.34502932055631,103.76800045525,169 JALAN JURONG KECHIL SHERWOOD CONDOMINIUM SINGAPORE 598669,61.0,1,1,2,3,7,6
SOUTHAVEN II,2750000.0,1539.25,1787.0,2025-09-01,Resale,Strata,143.0,19231.0,Condominium,999 yrs lease commencing from 1877,21,Outside Central Region,06 to 10,1.34694658217219,103.772158776058,33 HINDHEDE WALK SOUTHAVEN II SINGAPORE 587968,61.0,1,2,2,3,3,4
PINETREE HILL,3153000.0,1216.33,2592.0,2025-09-01,New Sale,Strata,113.0,27903.0,Condominium,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20,1.31987177689792,103.776658479925,36 PINE GROVE PINETREE HILL (U/C) SINGAPORE 598444,61.0,1,1,0,6,10,5
PINETREE HILL,4651000.0,1733.0,2684.0,2025-09-01,New Sale,Strata,161.0,28888.0,Condominium,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20,1.31987177689792,103.776658479925,36 PINE GROVE PINETREE HILL (U/C) SINGAPORE 598444,61.0,1,1,0,6,10,5
NAVA GROVE,3621000.0,1463.9,2474.0,2025-09-01,New Sale,Strata,136.0,26625.0,Condominium,99 yrs lease commencing from 2024,21,Rest of Central Region,06 to 10,1.31971103411894,103.775102771247,40 PINE GROVE NAVA GROVE (U/C) SINGAPORE 597775,61.0,1,1,0,6,10,4
SOUTHAVEN II,1618000.0,958.0,1689.0,2025-09-01,Resale,Strata,89.0,18180.0,Condominium,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05,1.34694658217219,103.772158776058,33 HINDHEDE WALK SOUTHAVEN II SINGAPORE 587968,61.0,1,2,2,3,3,4
VERDALE,1340000.0,731.95,1831.0,2025-09-01,Resale,Strata,68.0,19706.0,Apartment,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,1.34487621617488,103.769099813375,12 DE SOUZA AVENUE VERDALE SINGAPORE 599462,61.0,1,1,2,3,7,6
KI RESIDENCES AT BROOKVALE,1920000.0,861.12,2230.0,2025-09-01,Sub Sale,Strata,80.0,24000.0,Condominium,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10,1.32939185596503,103.769843706752,20 BROOKVALE DRIVE KI RESIDENCES AT BROOKVALE SINGAPORE 599982,61.0,0,0,0,5,7,10
HUME PARK II,1815000.0,1022.58,1775.0,2025-09-01,Resale,Strata,95.0,19105.0,Condominium,Freehold,21,Outside Central Region,06 to 10,1.35341263561796,103.768701565397,1 HUME AVENUE HUME PARK I SINGAPORE 598718,61.0,0,0,1,3,9,6
SIGNATURE PARK,1750000.0,1044.11,1676.0,2025-09-01,Resale,Strata,97.0,18041.0,Condominium,Freehold,21,Rest of Central Region,01 to 05,1.34159407830701,103.769364834248,54 TOH TUCK ROAD SIGNATURE PARK SINGAPORE 596745,61.0,1,2,2,3,5,10
SPRINGDALE CONDOMINIUM,1515000.0,925.7,1637.0,2025-09-01,Resale,Strata,86.0,17616.0,Condominium,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05,1.34845492707782,103.771463266561,49 HINDHEDE WALK SPRINGDALE CONDOMINIUM SINGAPORE 587976,61.0,1,1,2,3,4,4
PINETREE HILL,3022000.0,1216.33,2485.0,2025-09-01,New Sale,Strata,113.0,26743.0,Condominium,99 yrs lease commencing from 2022,21,Rest of Central Region,06 to 10,1.31987177689792,103.776658479925,36 PINE GROVE PINETREE HILL (U/C) SINGAPORE 598444,61.0,1,1,0,6,10,5
SPRINGDALE CONDOMINIUM,2030000.0,1151.75,1763.0,2025-09-01,Resale,Strata,107.0,18972.0,Condominium,999 yrs lease commencing from 1877,21,Outside Central Region,06 to 10,1.34845492707782,103.771463266561,49 HINDHEDE WALK SPRINGDALE CONDOMINIUM SINGAPORE 587976,61.0,1,1,2,3,4,4
PANDAN VALLEY,2200000.0,1463.9,1503.0,2025-09-01,Resale,Strata,136.0,16176.0,Condominium,Freehold,21,Rest of Central Region,01 to 05,1.31914163941165,103.777127110124,PANDAN VALLEY,61.0,1,1,0,6,10,7
PINETREE HILL,1974000.0,796.54,2478.0,2025-08-01,New Sale,Strata,74.0,26676.0,Condominium,99 yrs lease commencing from 2022,21,Rest of Central Region,01 to 05,1.31987177689792,103.776658479925,36 PINE GROVE PINETREE HILL (U/C) SINGAPORE 598444,60.0,1,1,0,6,10,5
NAVA GROVE,3202300.0,1334.74,2399.0,2025-08-01,New Sale,Strata,124.0,25825.0,Condominium,99 yrs lease commencing from 2024,21,Rest of Central Region,01 to 05,1.31971103411894,103.775102771247,40 PINE GROVE NAVA GROVE (U/C) SINGAPORE 597775,60.0,1,1,0,6,10,4
THE CASCADIA,3481000.0,1496.2,2327.0,2025-08-01,Resale,Strata,139.0,25043.0,Condominium,Freehold,21,Rest of Central Region,01 to 05,1.33380822615437,103.787778146771,921 BUKIT TIMAH ROAD THE CASCADIA SINGAPORE 589624,60.0,1,0,0,5,5,5
