Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE METROPOLITAN CONDOMINIUM,2615000.0,1356.26,1928.0,2025-09-01,Resale,Strata,126.0,20754.0,Condominium,99 yrs lease commencing from 2006,3,Rest of Central Region,11 to 15,1.2904773422307,103.81601645096,8 ALEXANDRA VIEW THE METROPOLITAN CONDOMINIUM SINGAPORE 158747,61.0,1,5,0,15,12,1
AVENUE SOUTH RESIDENCE,1730000.0,721.19,2399.0,2025-09-01,Resale,Strata,67.0,25821.0,Apartment,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,61.0,2,3,0,9,9,2
THE ANCHORAGE,3080000.0,1506.96,2044.0,2025-09-01,Resale,Strata,140.0,22000.0,Condominium,Freehold,3,Rest of Central Region,06 to 10,1.28900346226494,103.804329262814,370G ALEXANDRA ROAD THE ANCHORAGE SINGAPORE 159960,61.0,1,4,3,8,9,0
ONE PEARL BANK,2980000.0,1151.75,2587.0,2025-09-01,Sub Sale,Strata,107.0,27850.0,Apartment,99 yrs lease commencing from 2019,3,Rest of Central Region,06 to 10,1.28296148659589,103.839814598308,1 PEARL BANK ONE PEARL BANK SINGAPORE 169016,61.0,10,8,4,13,8,8
REGENCY SUITES,2240000.0,979.52,2287.0,2025-09-01,Resale,Strata,91.0,24615.0,Apartment,Freehold,3,Rest of Central Region,11 to 15,1.28434104617281,103.829138450421,36 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169279,61.0,2,6,1,13,12,4
COMMONWEALTH TOWERS,1680000.0,699.66,2401.0,2025-09-01,Resale,Strata,65.0,25846.0,Condominium,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,61.0,1,3,3,9,8,0
RIVER PLACE,2604000.0,1302.44,1999.0,2025-09-01,Resale,Strata,121.0,21521.0,Condominium,99 yrs lease commencing from 1995,3,Rest of Central Region,01 to 05,1.2896097164683,103.841276389346,60 HAVELOCK ROAD RIVER PLACE SINGAPORE 169658,61.0,7,4,4,13,9,8
THE CREST,1590000.0,796.54,1996.0,2025-09-01,Resale,Strata,74.0,21486.0,Condominium,99 yrs lease commencing from 2012,3,Rest of Central Region,16 to 20,1.29281920942183,103.819293138156,105 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159019,61.0,1,4,0,15,10,1
AVENUE SOUTH RESIDENCE,2178000.0,947.23,2299.0,2025-09-01,Resale,Strata,88.0,24750.0,Apartment,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,61.0,2,3,0,9,9,2
PROMENADE PEAK,3028800.0,1033.34,2931.0,2025-08-01,New Sale,Strata,96.0,31550.0,Condominium,99 yrs lease commencing from 2024,3,Rest of Central Region,26 to 30,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,60.0,3,5,2,14,10,3
