Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
CANBERRA CRESCENT RESIDENCES,1609100.0,796.54,2020.0,2025-09-01,New Sale,Strata,74.0,21745.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,1989900.0,990.29,2009.0,2025-09-01,New Sale,Strata,92.0,21629.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,2019800.0,990.29,2040.0,2025-09-01,New Sale,Strata,92.0,21954.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,1369100.0,667.37,2051.0,2025-09-01,New Sale,Strata,62.0,22082.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,2431900.0,1216.33,1999.0,2025-09-01,New Sale,Strata,113.0,21521.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,1574700.0,796.54,1977.0,2025-09-01,New Sale,Strata,74.0,21280.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
CANBERRA CRESCENT RESIDENCES,2425800.0,1216.33,1994.0,2025-09-01,New Sale,Strata,113.0,21467.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
NORTH PARK RESIDENCES,1150000.0,624.31,1842.0,2025-09-01,Resale,Strata,58.0,19828.0,Apartment,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10,1.42740015326275,103.835692955414,21 YISHUN CENTRAL 1 NORTH PARK RESIDENCES SINGAPORE 768800,61.0,1,2,2,5,19,2
THE MILTONIA RESIDENCES,980000.0,839.59,1167.0,2025-09-01,Resale,Strata,78.0,12564.0,Condominium,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,1.41682040436462,103.848959192623,556 MILTONIA CLOSE THE MILTONIA RESIDENCES SINGAPORE 768122,61.0,0,0,1,3,7,0
CANBERRA CRESCENT RESIDENCES,1589600.0,796.54,1996.0,2025-09-01,New Sale,Strata,74.0,21481.0,Apartment,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10,1.44992123026952,103.829397162646,51 CANBERRA CRESCENT CANBERRA CRESCENT RESIDENCES (U/C) SINGAPORE 759827,61.0,1,1,1,4,12,4
