Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
NORMANTON PARK,2830000.0,1313.21,2155.0,2025-09-01,Sub Sale,Strata,122.0,23197.0,Apartment,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,1.28736530376366,103.792142440238,61 NORMANTON PARK NORMANTON PARK SINGAPORE 117286,6.568117035220756,61.0,0,0,0,6,6,4
CLAVON,2950000.0,1356.26,2175.0,2025-09-01,Sub Sale,Strata,126.0,23413.0,Apartment,99 yrs lease commencing from 2019,5,Outside Central Region,21 to 25,1.30851237701867,103.767085975457,8 CLEMENTI AVENUE 1 CLAVON SINGAPORE 129964,9.755671661178775,61.0,1,5,4,4,11,3
THE PEAK@BALMEG,1965000.0,990.29,1984.0,2025-09-01,Resale,Strata,92.0,21359.0,Condominium,Freehold,5,Rest of Central Region,01 to 05,1.28278472053125,103.784045865274,15 BALMEG HILL THE PEAK@BALMEG SINGAPORE 119918,7.451482456279635,61.0,1,0,0,3,0,4
WHISTLER GRAND,1120000.0,613.55,1825.0,2025-09-01,Resale,Strata,57.0,19649.0,Apartment,99 yrs lease commencing from 2018,5,Outside Central Region,01 to 05,1.31961164929376,103.754330936499,109 WEST COAST VALE WHISTLER GRAND SINGAPORE 126752,11.494868248120447,61.0,0,0,0,4,6,6
NORMANTON PARK,2038000.0,936.47,2176.0,2025-09-01,Sub Sale,Strata,87.0,23425.0,Apartment,99 yrs lease commencing from 2019,5,Rest of Central Region,21 to 25,1.28736530376366,103.792142440238,61 NORMANTON PARK NORMANTON PARK SINGAPORE 117286,6.568117035220756,61.0,0,0,0,6,6,4
TERRA HILL,5290000.0,1894.46,2792.0,2025-09-01,New Sale,Strata,176.0,30057.0,Apartment,Freehold,5,Rest of Central Region,01 to 05,1.2779499342871,103.79332825563,18 YEW SIANG ROAD TERRA HILL (U/C) SINGAPORE 117755,6.4426422271154005,61.0,1,1,0,5,1,5
BLOOMSBURY RESIDENCES,2467000.0,979.52,2519.0,2025-09-01,New Sale,Strata,91.0,27110.0,Apartment,99 yrs lease commencing from 2024,5,Rest of Central Region,16 to 20,1.29444235984052,103.79512874632,63 MEDIA CIRCLE BLOOMSBURY RESIDENCES (U/C) SINGAPORE 139816,6.345416409037568,61.0,1,3,0,8,7,0
THE TRILINQ,2330000.0,1345.5,1732.0,2025-09-01,Resale,Strata,125.0,18640.0,Condominium,99 yrs lease commencing from 2012,5,Outside Central Region,31 to 35,1.31882205054253,103.761925431231,28A JALAN LEMPENG THE TRILINQ SINGAPORE 128808,10.675257958544092,61.0,1,3,3,4,11,5
ELTA,3384000.0,1313.21,2577.0,2025-09-01,New Sale,Strata,122.0,27738.0,Apartment,99 yrs lease commencing from 2024,5,Outside Central Region,26 to 30,1.30755639835754,103.767613229026,10 CLEMENTI AVENUE 1 ELTA (U/C) SINGAPORE 129633,9.669301178869278,61.0,1,4,4,4,12,4
BLOOMSBURY RESIDENCES,2248000.0,904.18,2486.0,2025-09-01,New Sale,Strata,84.0,26762.0,Apartment,99 yrs lease commencing from 2024,5,Rest of Central Region,11 to 15,1.29444235984052,103.79512874632,63 MEDIA CIRCLE BLOOMSBURY RESIDENCES (U/C) SINGAPORE 139816,6.345416409037568,61.0,1,3,0,8,7,0
