Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
RIVER GREEN,2926000.0,882.65,3315.0,2025-09-01,New Sale,Strata,82.0,35683.0,Apartment,99 yrs lease commencing from 2024,9,Core Central Region,26 to 30,1.29477065384575,103.833209033497,11 RIVER VALLEY GREEN RIVER GREEN (U/C) SINGAPORE 239637,61.0,4,3,9,14,10,3
RIVER GREEN,1480000.0,452.09,3274.0,2025-09-01,New Sale,Strata,42.0,35238.0,Apartment,99 yrs lease commencing from 2024,9,Core Central Region,26 to 30,1.29477065384575,103.833209033497,11 RIVER VALLEY GREEN RIVER GREEN (U/C) SINGAPORE 239637,61.0,4,3,9,14,10,3
ST THOMAS SUITES,6000000.0,2604.89,2303.0,2025-09-01,Resale,Strata,242.0,24793.0,Condominium,Freehold,9,Core Central Region,26 to 30,1.29841036087496,103.835898341989,31 SAINT THOMAS WALK SAINT THOMAS SUITES SINGAPORE 238141,61.0,4,1,17,15,9,5
THE QUAYSIDE,2068888.0,1130.22,1831.0,2025-09-01,Resale,Strata,105.0,19704.0,Apartment,99 yrs lease commencing from 1994,9,Core Central Region,06 to 10,1.29008339576408,103.839199219609,60 ROBERTSON QUAY THE QUAYSIDE SINGAPORE 238252,61.0,8,6,4,14,9,6
RIVER GREEN,1819000.0,527.44,3449.0,2025-09-01,New Sale,Strata,49.0,37122.0,Apartment,99 yrs lease commencing from 2024,9,Core Central Region,31 to 35,1.29477065384575,103.833209033497,11 RIVER VALLEY GREEN RIVER GREEN (U/C) SINGAPORE 239637,61.0,4,3,9,14,10,3
THE ROBERTSON OPUS,3569000.0,1044.11,3418.0,2025-09-01,New Sale,Strata,97.0,36794.0,Apartment,999 yrs lease commencing from 1841,9,Core Central Region,06 to 10,1.29192554149368,103.841540921931,15 UNITY STREET THE ROBERTSON OPUS (U/C) SINGAPORE 239594,61.0,10,3,4,14,10,12
IRWELL HILL RESIDENCES,1985000.0,656.6,3023.0,2025-09-01,Resale,Strata,61.0,32541.0,Apartment,99 yrs lease commencing from 2020,9,Core Central Region,11 to 15,1.29666872281334,103.831612635106,6 IRWELL HILL IRWELL HILL RESIDENCES SINGAPORE 239590,61.0,5,3,14,14,9,3
IRWELL HILL RESIDENCES,2678000.0,861.12,3110.0,2025-09-01,Sub Sale,Strata,80.0,33475.0,Apartment,99 yrs lease commencing from 2020,9,Core Central Region,11 to 15,1.29666872281334,103.831612635106,6 IRWELL HILL IRWELL HILL RESIDENCES SINGAPORE 239590,61.0,5,3,14,14,9,3
RIVER GREEN,1459000.0,452.09,3227.0,2025-09-01,New Sale,Strata,42.0,34738.0,Apartment,99 yrs lease commencing from 2024,9,Core Central Region,26 to 30,1.29477065384575,103.833209033497,11 RIVER VALLEY GREEN RIVER GREEN (U/C) SINGAPORE 239637,61.0,4,3,9,14,10,3
ORCHARD SOPHIA,1735020.0,645.84,2686.0,2025-09-01,New Sale,Strata,60.0,28917.0,Apartment,Freehold,9,Core Central Region,01 to 05,1.30314396399284,103.846281830817,130 SOPHIA ROAD ORCHARD SOPHIA (U/C) SINGAPORE 228185,61.0,9,2,10,14,8,9
