Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
SPOTTISWOODE PARK,1338000.0,1270.15,1053.0,2025-07-01,Resale,Strata,118.0,11339.0,Apartment,99 yrs lease commencing from 1976,2,Rest of Central Region,21 to 25,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,59.0,5,1,2,9,6,3
SPOTTISWOODE RESIDENCES,1900000.0,796.54,2385.0,2025-07-01,Resale,Strata,74.0,25676.0,Condominium,Freehold,2,Rest of Central Region,16 to 20,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,59.0,6,1,2,9,6,3
LUMIERE,1190000.0,678.13,1755.0,2025-07-01,Resale,Strata,63.0,18889.0,Apartment,99 yrs lease commencing from 2006,2,Core Central Region,31 to 35,1.27426245685335,103.846025087372,2 MISTRI ROAD LUMIERE SINGAPORE 079624,1.1135521240097797,59.0,8,4,3,8,3,6
ICON,1040000.0,570.49,1823.0,2025-06-01,Resale,Strata,53.0,19623.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,21 to 25,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,58.0,9,4,3,9,3,6
SKYSUITES@ANSON,1480000.0,699.66,2115.0,2025-06-01,Resale,Strata,65.0,22769.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,58.0,9,4,3,8,3,6
SKYSUITES@ANSON,1520000.0,699.66,2172.0,2025-06-01,Resale,Strata,65.0,23385.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,58.0,9,4,3,8,3,6
SPOTTISWOODE RESIDENCES,1850000.0,796.54,2323.0,2025-06-01,Resale,Strata,74.0,25000.0,Condominium,Freehold,2,Rest of Central Region,16 to 20,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,58.0,6,1,2,9,6,3
INTERNATIONAL PLAZA,1800000.0,1593.07,1130.0,2025-06-01,Resale,Strata,148.0,12162.0,Apartment,99 yrs lease commencing from 1970,2,Core Central Region,46 to 50,1.27588674266836,103.845923793168,10 ANSON ROAD INTERNATIONAL PLAZA SINGAPORE 079903,0.968408308391458,58.0,12,5,4,9,3,8
EON SHENTON,1155000.0,538.2,2146.0,2025-06-01,Resale,Strata,50.0,23100.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,21 to 25,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118,1.1387030521425856,58.0,8,4,3,8,2,6
SPOTTISWOODE PARK,965000.0,850.36,1135.0,2025-06-01,Resale,Strata,79.0,12215.0,Apartment,93 yrs lease commencing from 1979,2,Rest of Central Region,11 to 15,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,58.0,5,1,2,9,6,3
THE ARRIS,2250000.0,990.29,2272.0,2025-05-01,Resale,Strata,92.0,24457.0,Apartment,Freehold,2,Rest of Central Region,01 to 05,1.27550106882151,103.841596022941,28 YAN KIT ROAD THE ARRIS SINGAPORE 088271,1.3352546383521964,57.0,8,4,3,10,5,6
ICON,1920000.0,1108.69,1732.0,2025-05-01,Resale,Strata,103.0,18641.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,36 to 40,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,57.0,9,4,3,9,3,6
SPOTTISWOODE RESIDENCES,1840000.0,796.54,2310.0,2025-05-01,Resale,Strata,74.0,24865.0,Condominium,Freehold,2,Rest of Central Region,06 to 10,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,57.0,6,1,2,9,6,3
76 SHENTON,1135000.0,592.02,1917.0,2025-05-01,Resale,Strata,55.0,20636.0,Apartment,99 yrs lease commencing from 2007,2,Core Central Region,06 to 10,1.2734661134853,103.845580792511,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,1.214537395836928,57.0,6,3,3,8,3,6
WALLICH RESIDENCE,6030000.0,1657.66,3638.0,2025-05-01,Resale,Strata,154.0,39156.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,51 to 55,1.27711736000318,103.845790152215,3 WALLICH STREET WALLICH RESIDENCE SINGAPORE 078882,0.8713769583307371,57.0,13,7,6,9,4,9
SPOTTISWOODE SUITES,1085000.0,462.85,2344.0,2025-05-01,Resale,Strata,43.0,25233.0,Apartment,Freehold,2,Rest of Central Region,21 to 25,1.27603511606189,103.837502046362,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,1.688123616953561,57.0,6,3,2,10,6,5
SPOTTISWOODE PARK,940000.0,850.36,1105.0,2025-05-01,Resale,Strata,79.0,11899.0,Apartment,99 yrs lease commencing from 1973,2,Rest of Central Region,01 to 05,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,57.0,5,1,2,9,6,3
SKYSUITES@ANSON,930000.0,398.27,2335.0,2025-05-01,Resale,Strata,37.0,25135.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,46 to 50,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,57.0,9,4,3,8,3,6
LUMIERE,920000.0,505.91,1819.0,2025-05-01,Resale,Strata,47.0,19574.0,Apartment,99 yrs lease commencing from 2006,2,Core Central Region,36 to 40,1.27426245685335,103.846025087372,2 MISTRI ROAD LUMIERE SINGAPORE 079624,1.1135521240097797,57.0,8,4,3,8,3,6
SKY EVERTON,3980000.0,1345.5,2958.0,2025-05-01,Resale,Strata,125.0,31840.0,Apartment,Freehold,2,Rest of Central Region,31 to 35,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,57.0,6,3,2,10,6,6
SPOTTISWOODE RESIDENCES,2280000.0,925.7,2463.0,2025-04-01,Resale,Strata,86.0,26512.0,Condominium,Freehold,2,Rest of Central Region,16 to 20,1.27527115223131,103.83683222505,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,1.7934708849757457,56.0,6,1,2,9,6,3
ICON,1068000.0,581.26,1837.0,2025-04-01,Resale,Strata,54.0,19778.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,16 to 20,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,56.0,9,4,3,9,3,6
SKY EVERTON,1290000.0,462.85,2787.0,2025-04-01,Resale,Strata,43.0,30000.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,56.0,6,3,2,10,6,6
ICON,1500000.0,904.18,1659.0,2025-04-01,Resale,Strata,84.0,17857.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,26 to 30,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,56.0,9,4,3,9,3,6
ICON,1158000.0,699.66,1655.0,2025-04-01,Resale,Strata,65.0,17815.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,06 to 10,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,56.0,9,4,3,9,3,6
76 SHENTON,1320000.0,624.31,2114.0,2025-04-01,Resale,Strata,58.0,22759.0,Apartment,99 yrs lease commencing from 2007,2,Core Central Region,26 to 30,1.2734661134853,103.845580792511,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,1.214537395836928,56.0,6,3,3,8,3,6
SPOTTISWOODE 18,908000.0,387.5,2343.0,2025-04-01,Resale,Strata,36.0,25222.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27559528527257,103.837559859708,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,1.705211965159478,56.0,7,3,2,9,6,5
SPOTTISWOODE 18,903888.0,387.5,2333.0,2025-04-01,Resale,Strata,36.0,25108.0,Apartment,Freehold,2,Rest of Central Region,11 to 15,1.27559528527257,103.837559859708,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,1.705211965159478,56.0,7,3,2,9,6,5
76 SHENTON,2200000.0,968.76,2271.0,2025-04-01,Resale,Strata,90.0,24444.0,Apartment,99 yrs lease commencing from 2007,2,Core Central Region,31 to 35,1.2734661134853,103.845580792511,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,1.214537395836928,56.0,6,3,3,8,3,6
LUMIERE,1250000.0,678.13,1843.0,2025-04-01,Resale,Strata,63.0,19841.0,Apartment,99 yrs lease commencing from 2006,2,Core Central Region,41 to 45,1.27426245685335,103.846025087372,2 MISTRI ROAD LUMIERE SINGAPORE 079624,1.1135521240097797,56.0,8,4,3,8,3,6
SKYSUITES@ANSON,838000.0,365.98,2290.0,2025-04-01,Resale,Strata,34.0,24647.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,11 to 15,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,56.0,9,4,3,8,3,6
SPOTTISWOODE 18,930000.0,387.5,2400.0,2025-03-01,Resale,Strata,36.0,25833.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27559528527257,103.837559859708,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,1.705211965159478,55.0,7,3,2,9,6,5
THE BEACON,1570000.0,807.3,1945.0,2025-03-01,Resale,Strata,75.0,20933.0,Apartment,99 yrs lease commencing from 2004,2,Rest of Central Region,11 to 15,1.27587483521415,103.840480994349,130 CANTONMENT ROAD THE BEACON SINGAPORE 089775,1.4111066640715089,55.0,8,4,3,10,5,6
SPOTTISWOODE PARK,1240000.0,1313.21,944.0,2025-03-01,Resale,Strata,122.0,10164.0,Apartment,85 yrs lease commencing from 1990,2,Rest of Central Region,11 to 15,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,55.0,5,1,2,9,6,3
SPOTTISWOODE SUITES,1500000.0,581.26,2581.0,2025-03-01,Resale,Strata,54.0,27778.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27603511606189,103.837502046362,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,1.688123616953561,55.0,6,3,2,10,6,5
