Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
PALM SPRING,4250000.0,1872.94,2269.0,2025-09-01,Resale,Strata,174.0,24425.0,Condominium,Freehold,10,Core Central Region,01 to 05,1.31644975474134,103.832130325138,16 EWE BOON ROAD PALM SPRING SINGAPORE 259324,4.253292965507207,61.0,4,1,0,15,7,2
GRANGE RESIDENCES,10200000.0,2852.46,3576.0,2025-09-01,Resale,Strata,265.0,38491.0,Condominium,Freehold,10,Core Central Region,11 to 15,1.30437750284666,103.8226594615,95 GRANGE ROAD GRANGE RESIDENCES SINGAPORE 249616,3.941533049816905,61.0,3,0,4,16,7,1
FOURTH AVENUE RESIDENCES,1090000.0,484.38,2250.0,2025-09-01,Resale,Strata,45.0,24222.0,Apartment,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10,1.33005484677732,103.797015631221,4 FOURTH AVENUE FOURTH AVENUE RESIDENCES SINGAPORE 268672,7.947808383264067,61.0,1,0,0,6,6,4
D'LEEDON,4380000.0,3810.46,1149.0,2025-09-01,Resale,Strata,354.0,12373.0,Condominium,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05,1.31442165521267,103.803912974494,7 LEEDON HEIGHTS D'LEEDON SINGAPORE 267953,6.287543508981477,61.0,2,2,0,12,8,3
19 NASSIM,3390000.0,968.76,3499.0,2025-09-01,Resale,Strata,90.0,37667.0,Apartment,99 yrs lease commencing from 2019,10,Core Central Region,01 to 05,1.30656346400868,103.8213284336,19 NASSIM HILL 19 NASSIM SINGAPORE 258482,4.206328487032694,61.0,2,0,2,16,6,2
SPRING GROVE,2440000.0,1388.56,1757.0,2025-09-01,Resale,Strata,129.0,18915.0,Condominium,99 yrs lease commencing from 1991,10,Core Central Region,06 to 10,1.43141511321086,103.848888365067,482B YISHUN AVENUE 6 GROVE SPRING @ YISHUN SINGAPORE 762482,16.412668688855124,61.0,0,1,1,2,11,0
THE LEVELZ,1460000.0,871.88,1675.0,2025-09-01,Resale,Strata,81.0,18025.0,Condominium,Freehold,10,Core Central Region,01 to 05,1.31353233527505,103.804996735084,38 FARRER ROAD THE LEVELZ SINGAPORE 268836,6.132698403412455,61.0,2,2,0,12,8,2
THE FORD @ HOLLAND,2590000.0,1087.16,2382.0,2025-09-01,Resale,Strata,101.0,25644.0,Condominium,Freehold,10,Core Central Region,01 to 05,1.31388636929652,103.793589496713,3A FORD AVENUE THE FORD @ HOLLAND SINGAPORE 268725,7.244780332694564,61.0,3,3,1,5,10,3
REGENCY PARK,5300000.0,2260.44,2345.0,2025-09-01,Resale,Strata,210.0,25238.0,Condominium,Freehold,10,Core Central Region,01 to 05,1.29734373885047,103.825822314789,9 NATHAN ROAD REGENCY PARK SINGAPORE 248730,3.219801721428139,61.0,3,2,3,15,10,2
TANGLIN REGENCY,2200000.0,1291.68,1703.0,2025-09-01,Resale,Strata,120.0,18333.0,Condominium,99 yrs lease commencing from 1994,10,Core Central Region,11 to 15,1.2919741760279,103.816569751671,383 TANGLIN ROAD TANGLIN REGENCY SINGAPORE 247966,3.9582016152067183,61.0,1,4,0,15,11,1
RV RESIDENCES,1730000.0,688.9,2511.0,2025-09-01,Resale,Strata,64.0,27031.0,Condominium,999 yrs lease commencing from 1877,10,Core Central Region,01 to 05,1.29434105033385,103.828440282424,461 RIVER VALLEY ROAD RV RESIDENCES SINGAPORE 248346,2.806464784347093,61.0,3,3,2,15,10,3
SOMMERVILLE PARK,3160000.0,1302.44,2426.0,2025-09-01,Resale,Strata,121.0,26116.0,Condominium,Freehold,10,Core Central Region,11 to 15,1.31146324484129,103.805492439691,73 FARRER DRIVE SOMMERVILLE PARK SINGAPORE 259280,5.962857956507032,61.0,1,2,0,13,7,2
21 ANDERSON,23500000.0,4488.59,5235.0,2025-09-01,New Sale,Strata,417.0,56355.0,Condominium,Freehold,10,Core Central Region,06 to 10,1.31265215320452,103.828026963441,21 ANDERSON ROAD 21 ANDERSON SINGAPORE 259984,4.157776172670164,61.0,2,0,6,15,6,0
21 ANDERSON,24000000.0,4488.59,5347.0,2025-09-01,New Sale,Strata,417.0,57554.0,Condominium,Freehold,10,Core Central Region,06 to 10,1.31265215320452,103.828026963441,21 ANDERSON ROAD 21 ANDERSON SINGAPORE 259984,4.157776172670164,61.0,2,0,6,15,6,0
TANGLIN PARK,2680000.0,1022.58,2621.0,2025-09-01,Resale,Strata,95.0,28211.0,Condominium,Freehold,10,Core Central Region,01 to 05,1.29927195674912,103.816060842281,3B RIDLEY PARK TANGLIN PARK SINGAPORE 248473,4.284535445007524,61.0,2,0,0,15,9,1
SLOANE RESIDENCES,3600000.0,1248.62,2883.0,2025-09-01,Resale,Strata,116.0,31034.0,Apartment,Freehold,10,Core Central Region,01 to 05,1.31568887219293,103.832317948898,17 BALMORAL ROAD SLOANE RESIDENCES SINGAPORE 259803,4.169884851746922,61.0,4,1,1,15,7,2
PARVIS,4550000.0,1700.71,2675.0,2025-08-01,Resale,Strata,158.0,28797.0,Condominium,Freehold,10,Core Central Region,06 to 10,1.30985199862421,103.799889556558,18 HOLLAND HILL PARVIS SINGAPORE 278746,6.416450903812763,60.0,2,4,0,7,10,1
BOTANIC GARDENS MANSION,4125000.0,1754.53,2351.0,2025-08-01,Resale,Strata,163.0,25307.0,Apartment,Freehold,10,Core Central Region,06 to 10,1.30814098499831,103.819593691426,10 TAMAN SERASI BOTANIC GARDENS MANSION SINGAPORE 257721,4.465974499717598,60.0,2,0,1,16,7,3
