Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
CARISSA PARK CONDOMINIUM,1680000.0,1323.97,1269.0,2025-09-01,Resale,Strata,123.0,13659.0,Condominium,Freehold,17,Outside Central Region,06 to 10,1.35917121402077,103.963631516169,2 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507025,61.0,0,0,1,1,17,4
THE INFLORA,1775000.0,1463.9,1213.0,2025-09-01,Resale,Strata,136.0,13051.0,Condominium,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,1.35585579645519,103.966802887535,65 FLORA DRIVE THE INFLORA SINGAPORE 506849,61.0,0,0,0,1,13,5
FERRARIA PARK CONDOMINIUM,1550000.0,1194.8,1297.0,2025-09-01,Resale,Strata,111.0,13964.0,Condominium,Freehold,17,Outside Central Region,06 to 10,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951,61.0,0,0,1,1,17,4
PARC KOMO,1230000.0,721.19,1706.0,2025-09-01,Resale,Strata,67.0,18358.0,Apartment,Freehold,17,Outside Central Region,01 to 05,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666,61.0,0,0,1,1,11,5
THE JOVELL,1330000.0,904.18,1471.0,2025-09-01,Resale,Strata,84.0,15833.0,Condominium,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05,1.35800736226486,103.966834515637,21 FLORA DRIVE THE JOVELL SINGAPORE 506761,61.0,0,0,0,1,14,5
AZALEA PARK CONDOMINIUM,1450000.0,1334.74,1086.0,2025-09-01,Resale,Strata,124.0,11694.0,Condominium,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05,1.36024858909181,103.963296618871,14 FLORA ROAD AZALEA PARK CONDOMINIUM SINGAPORE 509731,61.0,0,0,1,1,17,4
COASTAL VIEW RESIDENCES,1430000.0,1140.98,1253.0,2025-09-01,Resale,Strata,106.0,13491.0,Apartment,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05,1.3794370861503,103.960978885551,179 JALAN LOYANG BESAR COASTAL VIEW RESIDENCES SINGAPORE 506926,61.0,0,0,1,1,8,1
FERRARIA PARK CONDOMINIUM,1250000.0,936.47,1335.0,2025-09-01,Resale,Strata,87.0,14368.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951,61.0,0,0,1,1,17,4
PARC KOMO,1950000.0,1033.34,1887.0,2025-09-01,Resale,Strata,96.0,20313.0,Apartment,Freehold,17,Outside Central Region,01 to 05,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666,61.0,0,0,1,1,11,5
THE JOVELL,950000.0,667.37,1424.0,2025-08-01,Resale,Strata,62.0,15323.0,Condominium,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10,1.35800736226486,103.966834515637,21 FLORA DRIVE THE JOVELL SINGAPORE 506761,60.0,0,0,0,1,14,5
FERRARIA PARK CONDOMINIUM,1735000.0,1399.32,1240.0,2025-08-01,Resale,Strata,130.0,13346.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951,60.0,0,0,1,1,17,4
PARC OLYMPIA,992000.0,796.54,1245.0,2025-08-01,Resale,Strata,74.0,13405.0,Condominium,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10,1.35577257355415,103.964916673398,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860,60.0,0,0,0,1,15,4
EDELWEISS PARK CONDOMINIUM,770000.0,688.9,1118.0,2025-08-01,Resale,Strata,64.0,12031.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35654031454878,103.967339106267,102 FLORA ROAD EDELWEISS PARK CONDOMINIUM SINGAPORE 509744,60.0,0,0,0,1,12,5
HEDGES PARK CONDOMINIUM,697000.0,484.38,1439.0,2025-08-01,Resale,Strata,45.0,15489.0,Condominium,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,60.0,0,0,0,1,12,4
CARISSA PARK CONDOMINIUM,1200000.0,925.7,1296.0,2025-08-01,Resale,Strata,86.0,13953.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35917121402077,103.963631516169,2 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507025,60.0,0,0,1,1,17,4
KASSIA,1591000.0,753.48,2112.0,2025-08-01,New Sale,Strata,70.0,22729.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35709630624257,103.965501900375,33 FLORA DRIVE KASSIA (U/C) SINGAPORE 509905,60.0,0,0,0,1,16,5
PARC OLYMPIA,1730000.0,1485.43,1165.0,2025-08-01,Resale,Strata,138.0,12536.0,Condominium,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,1.35577257355415,103.964916673398,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860,60.0,0,0,0,1,15,4
PARC KOMO,850000.0,484.38,1755.0,2025-08-01,Resale,Strata,45.0,18889.0,Apartment,Freehold,17,Outside Central Region,01 to 05,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666,60.0,0,0,1,1,11,5
HEDGES PARK CONDOMINIUM,700000.0,484.38,1445.0,2025-08-01,Resale,Strata,45.0,15556.0,Condominium,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,60.0,0,0,0,1,12,4
DAHLIA PARK CONDOMINIUM,1470000.0,1270.15,1157.0,2025-08-01,Resale,Strata,118.0,12458.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.3592743738191,103.965984765475,3 FLORA DRIVE DAHLIA PARK CONDOMINIUM SINGAPORE 507010,60.0,0,0,1,1,16,5
THE EDGEWATER,1248000.0,1001.05,1247.0,2025-08-01,Resale,Strata,93.0,13419.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.38029080909587,103.964674596342,211 JALAN LOYANG BESAR THE EDGEWATER SINGAPORE 509504,60.0,0,0,0,1,6,0
HEDGES PARK CONDOMINIUM,950000.0,796.54,1193.0,2025-08-01,Resale,Strata,74.0,12838.0,Condominium,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,60.0,0,0,0,1,12,4
AZALEA PARK CONDOMINIUM,1790000.0,1506.96,1188.0,2025-08-01,Resale,Strata,140.0,12786.0,Condominium,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10,1.36024858909181,103.963296618871,14 FLORA ROAD AZALEA PARK CONDOMINIUM SINGAPORE 509731,60.0,0,0,1,1,17,4
HEDGES PARK CONDOMINIUM,1395000.0,1076.4,1296.0,2025-08-01,Resale,Strata,100.0,13950.0,Condominium,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,60.0,0,0,0,1,12,4
COASTAL BREEZE RESIDENCES,1328000.0,1173.28,1132.0,2025-08-01,Resale,Strata,109.0,12183.0,Condominium,99 yrs lease commencing from 2008,17,Outside Central Region,01 to 05,1.37850903821221,103.957228197834,12 LOYANG BESAR CLOSE COASTAL BREEZE RESIDENCES SINGAPORE 509051,60.0,0,1,1,1,10,2
CARISSA PARK CONDOMINIUM,1075000.0,968.76,1110.0,2025-08-01,Resale,Strata,90.0,11944.0,Condominium,Freehold,17,Outside Central Region,06 to 10,1.35917121402077,103.963631516169,2 FLORA DRIVE CARISSA PARK CONDOMINIUM SINGAPORE 507025,60.0,0,0,1,1,17,4
PARC KOMO,792888.0,473.62,1674.0,2025-08-01,Resale,Strata,44.0,18020.0,Apartment,Freehold,17,Outside Central Region,01 to 05,1.36100611947819,103.969182044532,967 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507666,60.0,0,0,1,1,11,5
PARC OLYMPIA,1940000.0,1646.89,1178.0,2025-08-01,Resale,Strata,153.0,12680.0,Condominium,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10,1.35577257355415,103.964916673398,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860,60.0,0,0,0,1,15,4
PARC OLYMPIA,988000.0,796.54,1240.0,2025-08-01,Resale,Strata,74.0,13351.0,Condominium,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,1.35577257355415,103.964916673398,64 FLORA DRIVE PARC OLYMPIA SINGAPORE 506860,60.0,0,0,0,1,15,4
HEDGES PARK CONDOMINIUM,988000.0,764.24,1293.0,2025-08-01,Resale,Strata,71.0,13915.0,Condominium,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05,1.35538559292833,103.966993499552,75 FLORA DRIVE HEDGES PARK CONDOMINIUM SINGAPORE 506883,60.0,0,0,0,1,12,4
BALLOTA PARK CONDOMINIUM,1626000.0,1420.85,1144.0,2025-08-01,Resale,Strata,132.0,12318.0,Condominium,Freehold,17,Outside Central Region,01 to 05,1.35887799120341,103.96852443877,150 MARIAM WAY BALLOTA PARK CONDOMINIUM SINGAPORE 507079,60.0,0,0,0,1,11,5
BLUWATERS 2,1110000.0,871.88,1273.0,2025-08-01,Resale,Strata,81.0,13704.0,Condominium,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05,1.38005079580315,103.96390014473,205 JALAN LOYANG BESAR BLUWATERS 2 SINGAPORE 509456,60.0,0,0,1,1,6,0
FERRARIA PARK CONDOMINIUM,1632000.0,1248.62,1307.0,2025-08-01,Resale,Strata,116.0,14069.0,Condominium,Freehold,17,Outside Central Region,06 to 10,1.35834234109182,103.964400016572,28 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506951,60.0,0,0,1,1,17,4
THE GALE,1600000.0,1151.75,1389.0,2025-08-01,Resale,Strata,107.0,14953.0,Condominium,Freehold,17,Outside Central Region,06 to 10,1.35850037030514,103.967530428228,70 FLORA ROAD THE GALE SINGAPORE 506914,60.0,0,0,0,1,12,5
