Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE PANORAMA,2236899.0,1140.98,1960.0,2025-09-01,Resale,Strata,106.0,21103.0,Condominium,99 yrs lease commencing from 2013,20,Outside Central Region,01 to 05,1.37549641233976,103.833903324716,8 ANG MO KIO AVENUE 2 THE PANORAMA SINGAPORE 567695,10.403252986610669,61.0,1,3,0,2,12,12
THOMSON THREE,1520000.0,731.95,2077.0,2025-09-01,Resale,Strata,68.0,22353.0,Apartment,99 yrs lease commencing from 2012,20,Rest of Central Region,01 to 05,1.35741404537911,103.831363425076,45 BRIGHT HILL DRIVE THOMSON THREE SINGAPORE 573895,8.51358240629136,61.0,2,1,2,7,9,9
CENTRO RESIDENCES,1580000.0,871.88,1812.0,2025-09-01,Resale,Strata,81.0,19506.0,Condominium,99 yrs lease commencing from 2007,20,Outside Central Region,21 to 25,1.3703043031814,103.848386313887,59 ANG MO KIO AVENUE 8 CENTRO RESIDENCES SINGAPORE 567752,9.65804332327005,61.0,1,5,3,3,16,2
FAR HORIZON GARDENS,2250000.0,2002.1,1124.0,2025-09-01,Resale,Strata,186.0,12097.0,Condominium,99 yrs lease commencing from 1982,20,Outside Central Region,06 to 10,1.38320877445053,103.838551545698,1 ANG MO KIO AVENUE 9 FAR HORIZON GARDENS SINGAPORE 569758,11.166842966377288,61.0,2,2,0,4,10,13
THE PANORAMA,2150000.0,1011.82,2125.0,2025-09-01,Resale,Strata,94.0,22872.0,Condominium,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10,1.37549641233976,103.833903324716,8 ANG MO KIO AVENUE 2 THE PANORAMA SINGAPORE 567695,10.403252986610669,61.0,1,3,0,2,12,12
JADESCAPE,1050000.0,527.44,1991.0,2025-09-01,Resale,Strata,49.0,21429.0,Condominium,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15,1.35181485383899,103.838298222332,16 SHUNFU ROAD JADESCAPE SINGAPORE 575749,7.739382306950142,61.0,2,1,2,9,17,10
AMO RESIDENCE,2870000.0,1140.98,2515.0,2025-09-01,Sub Sale,Strata,106.0,27075.0,Apartment,99 yrs lease commencing from 2021,20,Outside Central Region,11 to 15,1.36928795201404,103.833369139218,23 ANG MO KIO RISE AMO RESIDENCE (U/C) SINGAPORE 569418,9.74094377768876,61.0,2,4,0,3,13,12
ARTISAN 8,1672000.0,721.19,2318.0,2025-08-01,New Sale,Strata,67.0,24955.0,Apartment,Freehold,20,Rest of Central Region,01 to 05,1.35371810230316,103.836117288176,8 SIN MING ROAD ARTISAN 8 SINGAPORE 575628,7.993132725598223,60.0,2,1,2,9,12,9
JADESCAPE,3000000.0,1259.39,2382.0,2025-08-01,Resale,Strata,117.0,25641.0,Condominium,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15,1.35181485383899,103.838298222332,16 SHUNFU ROAD JADESCAPE SINGAPORE 575749,7.739382306950142,60.0,2,1,2,9,17,10
GRANDEUR 8,2250000.0,1420.85,1584.0,2025-08-01,Resale,Strata,132.0,17045.0,Condominium,99 yrs lease commencing from 2002,20,Outside Central Region,11 to 15,1.37547054112948,103.847048878115,6 ANG MO KIO CENTRAL 3 GRANDEUR 8 SINGAPORE 567743,10.234369017514634,60.0,2,4,3,3,14,3
BRADDELL VIEW,1460000.0,1453.14,1005.0,2025-08-01,Resale,Strata,135.0,10815.0,Apartment,103 yrs lease commencing from 1975,20,Rest of Central Region,01 to 05,1.34206867721839,103.841077228125,10 BRADDELL HILL BRADDELL VIEW SINGAPORE 579719,6.624207996720036,60.0,4,1,0,13,14,2
BISHAN POINT,2158888.0,1184.04,1823.0,2025-08-01,Resale,Strata,110.0,19626.0,Condominium,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15,1.35965938478524,103.83269196692,61 BRIGHT HILL DRIVE BISHAN POINT SINGAPORE 579653,8.718037895035826,60.0,2,1,2,7,9,9
THOMSON GRAND,2500000.0,1506.96,1659.0,2025-08-01,Resale,Strata,140.0,17857.0,Condominium,99 yrs lease commencing from 2010,20,Rest of Central Region,01 to 05,1.36533679311412,103.829382151188,23 SIN MING WALK THOMSON GRAND SINGAPORE 573916,9.41689165006716,60.0,1,1,0,4,10,12
