Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
THE ALCOVE,1590000.0,1550.02,1026.0,2025-09-01,144.0,11042.0,1.31400655260741,103.884015328938,10 LORONG 27 GEYLANG THE ALCOVE SINGAPORE 388199,5.025483913717779,0.0,4,4,0,8,9,4,1.0,1.0,0,1
PARC ESTA,1975000.0,839.59,2352.0,2025-09-01,78.0,25321.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,0.0,1,4,0,1,13,16,3.0,1.0,0,1
SIMSVILLE,1400000.0,979.52,1429.0,2025-09-01,91.0,15385.0,1.31703114737635,103.890499582849,2 GEYLANG EAST AVENUE 2 SIMSVILLE SINGAPORE 389754,5.786575389274496,0.0,4,4,3,6,12,4,2.0,1.0,1,1
THE SUNFLOWER,2368000.0,1679.18,1410.0,2025-09-01,156.0,15179.0,1.31328282918802,103.885380308735,10 LORONG 28 GEYLANG THE SUNFLOWER SINGAPORE 398415,5.084541366217786,0.0,4,4,1,7,11,5,1.0,1.0,0,1
DAKOTA RESIDENCES,3950000.0,1829.88,2159.0,2025-09-01,170.0,23235.0,1.30637270876178,103.88708549006,34 DAKOTA CRESCENT DAKOTA RESIDENCES SINGAPORE 399936,4.7757251422267535,0.0,3,3,0,6,10,5,3.0,1.0,1,1
STARVILLE,1688000.0,1216.33,1388.0,2025-09-01,113.0,14938.0,1.32826483616522,103.912067534158,66 LENGKONG TIGA STARVILLE SINGAPORE 417471,8.44041551036464,0.0,3,1,0,2,7,15,2.0,1.0,1,2
WING FONG COURT,1065000.0,1054.87,1010.0,2025-09-01,98.0,10867.0,1.31173462254903,103.87881521885,10 LORONG 14 GEYLANG WING FONG COURT SINGAPORE 398922,4.435996550952671,0.0,3,4,0,10,9,1,1.0,1.0,0,1
EDENZ SUITES,648000.0,473.62,1368.0,2025-09-01,44.0,14727.0,1.31286931612854,103.885753141885,21 LORONG 28 GEYLANG EDENZ SUITES SINGAPORE 398425,5.086028153004915,0.0,5,4,1,7,11,4,2.0,1.0,0,1
KEMBANGAN SUITES,830000.0,430.56,1928.0,2025-09-01,40.0,20750.0,1.32015257058639,103.912727083961,16 JALAN MASJID KEMBANGAN SUITES SINGAPORE 418941,8.00431940901614,0.0,1,1,0,2,12,18,1.0,1.0,0,2
GEMS VILLE,1158000.0,516.67,2241.0,2025-09-01,48.0,24125.0,1.31297838670543,103.877757621351,8 LORONG 13 GEYLANG GEMS VILLE SINGAPORE 389901,4.456014953033219,0.0,3,3,0,10,8,0,2.0,1.0,0,1
SIMS URBAN OASIS,1980000.0,958.0,2067.0,2025-09-01,89.0,22247.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,0.0,3,4,0,8,9,1,4.0,1.0,1,1
SIMS URBAN OASIS,1328000.0,710.42,1869.0,2025-08-01,66.0,20121.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,3.0,1.0,1,1
PENROSE,900000.0,473.62,1900.0,2025-08-01,44.0,20455.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,1.0,,0,1
THE ANTARES,1424000.0,667.37,2134.0,2025-08-01,62.0,22968.0,1.32541778538724,103.883403765337,23 MATTAR ROAD THE ANTARES SINGAPORE 387730,5.916441166611573,1.0,4,4,0,8,9,4,3.0,1.0,0,1
PARC ESTA,1980000.0,839.59,2358.0,2025-08-01,78.0,25385.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,1.0,1,4,0,1,13,16,3.0,1.0,0,1
