Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
AFFINITY AT SERANGOON,805000.0,473.62,1700.0,2025-09-01,Resale,Strata,44.0,18295.0,Apartment,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1.36618702976306,103.873674807486,26 SERANGOON NORTH AVENUE 1 AFFINITY AT SERANGOON SINGAPORE 554340,9.53826031714647,61.0,0,2,1,5,15,4
BOTANIQUE AT BARTLEY,1465000.0,731.95,2001.0,2025-09-01,Resale,Strata,68.0,21544.0,Condominium,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15,1.34286199004577,103.88260647489,223 UPPER PAYA LEBAR ROAD BOTANIQUE AT BARTLEY SINGAPORE 533874,7.495800129021821,61.0,1,0,0,8,15,11
THE SPRINGBLOOM,1800000.0,1119.46,1608.0,2025-09-01,Resale,Strata,104.0,17308.0,Condominium,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15,1.35108426226767,103.864274038787,139 SERANGOON AVENUE 3 THE SPRINGBLOOM SINGAPORE 556119,7.6719786821864195,61.0,2,0,1,9,16,12
RIO VISTA,2451688.0,2271.2,1079.0,2025-09-01,Resale,Strata,211.0,11619.0,Condominium,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20,1.37261431320348,103.901044407254,24 UPPER SERANGOON VIEW RIO VISTA SINGAPORE 534205,11.366998553699824,61.0,1,0,1,3,16,2
WATERTOWN,1818000.0,1054.87,1723.0,2025-09-01,Resale,Strata,98.0,18551.0,Apartment,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1.40592308489822,103.901923944038,71 PUNGGOL CENTRAL WATERTOWN SINGAPORE 828755,14.726374028080029,61.0,9,1,1,3,21,1
AFFINITY AT SERANGOON,892000.0,538.2,1657.0,2025-09-01,Resale,Strata,50.0,17840.0,Apartment,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1.36618702976306,103.873674807486,26 SERANGOON NORTH AVENUE 1 AFFINITY AT SERANGOON SINGAPORE 554340,9.53826031714647,61.0,0,2,1,5,15,4
WATERTOWN,2328888.0,1216.33,1915.0,2025-09-01,Resale,Strata,113.0,20610.0,Apartment,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1.40592308489822,103.901923944038,71 PUNGGOL CENTRAL WATERTOWN SINGAPORE 828755,14.726374028080029,61.0,9,1,1,3,21,1
THE GARDEN RESIDENCES,1810000.0,904.18,2002.0,2025-09-01,Resale,Strata,84.0,21548.0,Apartment,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10,1.36620695987025,103.870405307735,1 SERANGOON NORTH VIEW THE GARDEN RESIDENCES SINGAPORE 554343,9.450658993320394,61.0,0,2,1,5,16,4
RIVERFRONT RESIDENCES,1090000.0,613.55,1777.0,2025-09-01,Resale,Strata,57.0,19123.0,Apartment,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1.37017075252236,103.899998611766,41 HOUGANG AVENUE 7 RIVERFRONT RESIDENCES SINGAPORE 533813,11.07447615894619,61.0,1,0,1,3,18,2
GLASGOW RESIDENCE,1280000.0,882.65,1450.0,2025-09-01,Resale,Strata,82.0,15610.0,Apartment,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05,1.36189921422964,103.87861280778,23 GLASGOW ROAD GLASGOW RESIDENCE SINGAPORE 549338,9.24967049688095,61.0,1,1,2,4,25,8
