Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
KENTISH COURT,1673000.0,1280.92,1306.0,2025-09-01,Resale,Strata,119.0,14059.0,Apartment,99 yrs lease commencing from 1995,8,Rest of Central Region,01 to 05,1.31514534529478,103.852365754708,33 OXFORD ROAD KENTISH COURT SINGAPORE 218816,3.557714976053588,61.0,3,3,3,14,11,6
28 RC SUITES,760000.0,430.56,1765.0,2025-09-01,Resale,Strata,40.0,19000.0,Apartment,Freehold,8,Rest of Central Region,01 to 05,1.3099817921347,103.852952005462,28 RACE COURSE LANE 28 RC SUITES SINGAPORE 218746,2.991406096622589,61.0,5,4,3,14,11,6
CITYSCAPE @FARRER PARK,1810000.0,1076.4,1682.0,2025-09-01,Resale,Strata,100.0,18100.0,Condominium,Freehold,8,Rest of Central Region,26 to 30,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,3.873115287535139,61.0,2,3,3,14,13,4
CITYSCAPE @FARRER PARK,2225000.0,1248.62,1782.0,2025-09-01,Resale,Strata,116.0,19181.0,Condominium,Freehold,8,Rest of Central Region,21 to 25,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,3.873115287535139,61.0,2,3,3,14,13,4
JOOL SUITES,724000.0,398.27,1818.0,2025-09-01,Resale,Strata,37.0,19568.0,Apartment,Freehold,8,Rest of Central Region,01 to 05,1.31520905789978,103.854919307157,2 SING JOO WALK JOOL SUITES SINGAPORE 217811,3.5881222813412013,61.0,3,4,1,14,8,5
KENTISH GREEN,1400000.0,1076.4,1301.0,2025-08-01,Resale,Strata,100.0,14000.0,Apartment,99 yrs lease commencing from 1995,8,Rest of Central Region,06 to 10,1.31559997820356,103.851787324083,20 OXFORD ROAD KENTISH GREEN SINGAPORE 218815,3.605802373695685,60.0,1,3,3,14,10,6
CITYLIGHTS,1810000.0,871.88,2076.0,2025-08-01,Resale,Strata,81.0,22346.0,Condominium,99 yrs lease commencing from 2004,8,Rest of Central Region,11 to 15,1.30827581228578,103.863117419778,80 JELLICOE ROAD CITYLIGHTS SINGAPORE 208766,3.103210157430408,60.0,5,3,2,13,7,6
D'CAMBRIDGE,1688000.0,1022.58,1651.0,2025-08-01,Resale,Strata,95.0,17768.0,Apartment,Freehold,8,Rest of Central Region,01 to 05,1.31447986255004,103.848499199492,60 CAMBRIDGE ROAD D' CAMBRIDGE SINGAPORE 219757,3.491989763561456,60.0,4,2,4,14,12,6
CITY LOFT,690000.0,355.21,1943.0,2025-08-01,Resale,Strata,33.0,20909.0,Apartment,Freehold,8,Rest of Central Region,06 to 10,1.31506105973759,103.856679863644,363 RACE COURSE ROAD CITY LOFT SINGAPORE 218636,3.6010607947892415,60.0,3,5,2,14,8,4
CITY SQUARE RESIDENCES,1930000.0,871.88,2214.0,2025-08-01,Resale,Strata,81.0,23827.0,Condominium,Freehold,8,Rest of Central Region,26 to 30,1.31110535846664,103.857479860813,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,3.1903200611497726,60.0,6,4,3,13,9,4
