Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
CITY GATE,1600000.0,775.01,2064.0,2025-09-01,Resale,Strata,72.0,22222.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,11 to 15,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,61.0,5,4,5,12,4,3
MIDTOWN MODERN,3250000.0,1065.64,3050.0,2025-09-01,Sub Sale,Strata,99.0,32828.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,26 to 30,1.29904107981669,103.856651031974,18 TAN QUEE LAN STREET MIDTOWN MODERN SINGAPORE 188105,1.8819358368293733,61.0,11,3,13,12,5,6
MIDTOWN MODERN,4550000.0,1442.38,3155.0,2025-09-01,Sub Sale,Strata,134.0,33955.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,16 to 20,1.29904107981669,103.856651031974,18 TAN QUEE LAN STREET MIDTOWN MODERN SINGAPORE 188105,1.8819358368293733,61.0,11,3,13,12,5,6
DUO RESIDENCES,2139993.0,936.47,2285.0,2025-09-01,Resale,Strata,87.0,24598.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,21 to 25,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,61.0,11,4,13,12,4,3
TEXTILE CENTRE,1150000.0,882.65,1303.0,2025-08-01,Resale,Strata,82.0,14024.0,Apartment,99 yrs lease commencing from 1970,7,Rest of Central Region,16 to 20,1.30393835645617,103.861630792094,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,2.600032401133831,60.0,5,4,7,13,5,5
AUREA,1870000.0,645.84,2895.0,2025-08-01,New Sale,Strata,60.0,31167.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,16 to 20,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,60.0,2,2,3,12,3,3
CITY GATE,1420000.0,699.66,2030.0,2025-08-01,Resale,Strata,65.0,21846.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,06 to 10,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,60.0,5,4,5,12,4,3
SOUTHBANK,1180000.0,613.55,1923.0,2025-08-01,Resale,Strata,57.0,20702.0,Apartment,99 yrs lease commencing from 2006,7,Rest of Central Region,31 to 35,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,2.9729317362418306,60.0,5,3,2,13,5,4
DUO RESIDENCES,970000.0,419.8,2311.0,2025-08-01,Resale,Strata,39.0,24872.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,06 to 10,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,60.0,11,4,13,12,4,3
DUO RESIDENCES,2550000.0,1184.04,2154.0,2025-08-01,Resale,Strata,110.0,23182.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,06 to 10,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,60.0,11,4,13,12,4,3
DUO RESIDENCES,1510000.0,721.19,2094.0,2025-08-01,Resale,Strata,67.0,22537.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,06 to 10,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,60.0,11,4,13,12,4,3
CITY GATE,1600000.0,775.01,2064.0,2025-08-01,Resale,Strata,72.0,22222.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,16 to 20,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,60.0,5,4,5,12,4,3
THE M,1125000.0,462.85,2431.0,2025-08-01,Resale,Strata,43.0,26163.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,01 to 05,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,60.0,11,1,15,12,5,8
THE M,2150000.0,742.72,2895.0,2025-08-01,Resale,Strata,69.0,31159.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,60.0,11,1,15,12,5,8
DUO RESIDENCES,2200000.0,1001.05,2198.0,2025-08-01,Resale,Strata,93.0,23656.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,31 to 35,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,60.0,11,4,13,12,4,3
CONCOURSE SKYLINE,2320000.0,1119.46,2072.0,2025-08-01,Resale,Strata,104.0,22308.0,Apartment,99 yrs lease commencing from 2008,7,Core Central Region,21 to 25,1.30070393376469,103.861861081342,296 BEACH ROAD CONCOURSE SKYLINE SINGAPORE 199599,2.3007171683747525,60.0,7,4,7,12,4,2
CITY GATE,1485000.0,699.66,2122.0,2025-08-01,Resale,Strata,65.0,22846.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,11 to 15,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,60.0,5,4,5,12,4,3
CITY GATE,1515000.0,688.9,2199.0,2025-08-01,Resale,Strata,64.0,23672.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,16 to 20,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,60.0,5,4,5,12,4,3
AUREA,1771000.0,635.08,2789.0,2025-08-01,New Sale,Strata,59.0,30017.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,01 to 05,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,60.0,2,2,3,12,3,3
AUREA,1795000.0,645.84,2779.0,2025-08-01,New Sale,Strata,60.0,29917.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,01 to 05,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,60.0,2,2,3,12,3,3
DUO RESIDENCES,3450000.0,1528.49,2257.0,2025-07-01,Resale,Strata,142.0,24296.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,31 to 35,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,59.0,11,4,13,12,4,3
THE M,1580000.0,635.08,2488.0,2025-07-01,Resale,Strata,59.0,26780.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,59.0,11,1,15,12,5,8
CITY GATE,1680000.0,807.3,2081.0,2025-07-01,Resale,Strata,75.0,22400.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,16 to 20,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,59.0,5,4,5,12,4,3
AUREA,2100000.0,710.42,2956.0,2025-07-01,New Sale,Strata,66.0,31818.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,26 to 30,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,59.0,2,2,3,12,3,3
AUREA,2728000.0,1001.05,2725.0,2025-07-01,New Sale,Strata,93.0,29333.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,11 to 15,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,59.0,2,2,3,12,3,3
DUO RESIDENCES,1360000.0,592.02,2297.0,2025-06-01,Resale,Strata,55.0,24727.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,01 to 05,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,58.0,11,4,13,12,4,3
MIDTOWN MODERN,3300000.0,1065.64,3097.0,2025-06-01,Sub Sale,Strata,99.0,33333.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,26 to 30,1.29904107981669,103.856651031974,18 TAN QUEE LAN STREET MIDTOWN MODERN SINGAPORE 188105,1.8819358368293733,58.0,11,3,13,12,5,6
MIDTOWN BAY,2680000.0,753.48,3538.0,2025-06-01,New Sale,Strata,70.0,38080.0,Apartment,99 yrs lease commencing from 2018,7,Core Central Region,21 to 25,1.29635666439809,103.85736876917,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,1.6381846730816143,58.0,9,1,15,12,4,7
MIDTOWN MODERN,2632000.0,904.18,2911.0,2025-06-01,Sub Sale,Strata,84.0,31333.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,06 to 10,1.29904107981669,103.856651031974,18 TAN QUEE LAN STREET MIDTOWN MODERN SINGAPORE 188105,1.8819358368293733,58.0,11,3,13,12,5,6
THE PLAZA,980000.0,807.3,1214.0,2025-06-01,Resale,Strata,75.0,13067.0,Apartment,99 yrs lease commencing from 1968,7,Core Central Region,26 to 30,1.29207995436304,103.859972413485,"9 RAFFLES BOULEVARD ROY LICHTENSTEIN SCULPTURE PLAZA,THE (MILLENIA WALK) SINGAPORE 039596",1.4160350137523097,58.0,6,0,13,12,2,5
THE M,2050000.0,753.48,2721.0,2025-06-01,Resale,Strata,70.0,29286.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,01 to 05,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,58.0,11,1,15,12,5,8
DUO RESIDENCES,3450000.0,1528.49,2257.0,2025-06-01,Resale,Strata,142.0,24296.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,36 to 40,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,58.0,11,4,13,12,4,3
CONCOURSE SKYLINE,1880000.0,871.88,2156.0,2025-06-01,Resale,Strata,81.0,23210.0,Apartment,99 yrs lease commencing from 2008,7,Core Central Region,21 to 25,1.30070393376469,103.861861081342,296 BEACH ROAD CONCOURSE SKYLINE SINGAPORE 199599,2.3007171683747525,58.0,7,4,7,12,4,2
DUO RESIDENCES,3500000.0,1528.49,2290.0,2025-06-01,Resale,Strata,142.0,24648.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,41 to 45,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,58.0,11,4,13,12,4,3
MIDTOWN BAY,4500000.0,1323.97,3377.0,2025-06-01,New Sale,Strata,123.0,36351.0,Apartment,99 yrs lease commencing from 2018,7,Core Central Region,26 to 30,1.29635666439809,103.85736876917,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,1.6381846730816143,58.0,9,1,15,12,4,7
AUREA,12000000.0,3250.73,3691.0,2025-06-01,New Sale,Strata,302.0,39735.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,36 to 40,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,58.0,2,2,3,12,3,3
THE M,2000000.0,742.72,2693.0,2025-05-01,Resale,Strata,69.0,28986.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,57.0,11,1,15,12,5,8
SOUTHBANK,1128000.0,592.02,1905.0,2025-05-01,Resale,Strata,55.0,20509.0,Apartment,99 yrs lease commencing from 2006,7,Rest of Central Region,16 to 20,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,2.9729317362418306,57.0,5,3,2,13,5,4
SOUTHBANK,1750000.0,904.18,1935.0,2025-05-01,Resale,Strata,84.0,20833.0,Apartment,99 yrs lease commencing from 2006,7,Rest of Central Region,26 to 30,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,2.9729317362418306,57.0,5,3,2,13,5,4
CITY GATE,1700000.0,807.3,2106.0,2025-05-01,Resale,Strata,75.0,22667.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,26 to 30,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,57.0,5,4,5,12,4,3
TEXTILE CENTRE,1180000.0,914.94,1290.0,2025-05-01,Resale,Strata,85.0,13882.0,Apartment,99 yrs lease commencing from 1970,7,Rest of Central Region,11 to 15,1.30393835645617,103.861630792094,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,2.600032401133831,57.0,5,4,7,13,5,5
THE M,2088000.0,764.24,2732.0,2025-05-01,Resale,Strata,71.0,29408.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,57.0,11,1,15,12,5,8
CITY GATE,1481000.0,678.13,2184.0,2025-05-01,Resale,Strata,63.0,23508.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,16 to 20,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,57.0,5,4,5,12,4,3
THE M,1080000.0,409.03,2640.0,2025-05-01,Resale,Strata,38.0,28421.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,01 to 05,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,57.0,11,1,15,12,5,8
SUNSHINE PLAZA,1450000.0,893.41,1623.0,2025-05-01,Resale,Strata,83.0,17470.0,Apartment,99 yrs lease commencing from 1997,7,Rest of Central Region,11 to 15,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,1.918217278465204,57.0,13,2,12,13,7,10
SOUTHBANK,1155000.0,613.55,1882.0,2025-05-01,Resale,Strata,57.0,20263.0,Apartment,99 yrs lease commencing from 2006,7,Rest of Central Region,16 to 20,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,2.9729317362418306,57.0,5,3,2,13,5,4
AUREA,6010945.0,1797.59,3344.0,2025-05-01,New Sale,Strata,167.0,35994.0,Apartment,99 yrs lease commencing from 2024,7,Core Central Region,26 to 30,1.30308236254436,103.865743137914,802 BEACH ROAD AUREA (U/C) SINGAPORE 199980,2.761023860400304,57.0,2,2,3,12,3,3
DUO RESIDENCES,1515000.0,721.19,2101.0,2025-05-01,Resale,Strata,67.0,22612.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,11 to 15,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,57.0,11,4,13,12,4,3
SUNSHINE PLAZA,2000000.0,1345.5,1486.0,2025-05-01,Resale,Strata,125.0,16000.0,Apartment,99 yrs lease commencing from 1997,7,Rest of Central Region,06 to 10,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,1.918217278465204,57.0,13,2,12,13,7,10
CONCOURSE SKYLINE,2200000.0,1162.51,1892.0,2025-05-01,Resale,Strata,108.0,20370.0,Apartment,99 yrs lease commencing from 2008,7,Core Central Region,31 to 35,1.30070393376469,103.861861081342,296 BEACH ROAD CONCOURSE SKYLINE SINGAPORE 199599,2.3007171683747525,57.0,7,4,7,12,4,2
CITY GATE,1610000.0,775.01,2077.0,2025-04-01,Resale,Strata,72.0,22361.0,Apartment,99 yrs lease commencing from 2014,7,Rest of Central Region,26 to 30,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,2.480379361832473,56.0,5,4,5,12,4,3
THE M,1130000.0,452.09,2500.0,2025-04-01,Resale,Strata,42.0,26905.0,Apartment,99 yrs lease commencing from 2019,7,Core Central Region,01 to 05,1.29771485668813,103.855719676504,36 MIDDLE ROAD THE M SINGAPORE 188945,1.70977455311116,56.0,11,1,15,12,5,8
MIDTOWN BAY,2440000.0,742.72,3266.0,2025-04-01,New Sale,Strata,69.0,35154.0,Apartment,99 yrs lease commencing from 2018,7,Core Central Region,21 to 25,1.29635666439809,103.85736876917,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,1.6381846730816143,56.0,9,1,15,12,4,7
DUO RESIDENCES,3310888.0,1614.6,2051.0,2025-04-01,Resale,Strata,150.0,22073.0,Apartment,99 yrs lease commencing from 2011,7,Core Central Region,21 to 25,1.29916295967817,103.857859536947,1 FRASER STREET DUO RESIDENCES SINGAPORE 189350,1.9434337129607837,56.0,11,4,13,12,4,3
THE BENCOOLEN,1423000.0,882.65,1612.0,2025-04-01,Resale,Strata,82.0,17354.0,Apartment,99 yrs lease commencing from 1995,7,Rest of Central Region,06 to 10,1.30166188823652,103.853356123694,180 BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189646,2.0801286865025563,56.0,13,3,11,13,8,9
SUNSHINE PLAZA,1646000.0,1044.11,1576.0,2025-04-01,Resale,Strata,97.0,16969.0,Apartment,99 yrs lease commencing from 1997,7,Rest of Central Region,06 to 10,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,1.918217278465204,56.0,13,2,12,13,7,10
