Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
THE WOODLEIGH RESIDENCES,2720000.0,958.0,2839.0,2025-09-01,Sub Sale,Strata,89.0,30562.0,Apartment,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,1.3391406303957,103.871225060767,25 BIDADARI PARK DRIVE THE WOODLEIGH RESIDENCES SINGAPORE 367797,61.0,2,1,1,10,17,7
NIN RESIDENCE,1550000.0,850.36,1823.0,2025-09-01,Resale,Strata,79.0,19620.0,Apartment,99 yrs lease commencing from 2010,13,Rest of Central Region,11 to 15,1.33299652357223,103.869983175672,85 PHENG GECK AVENUE NIN RESIDENCE SINGAPORE 348271,61.0,2,1,1,10,17,9
PARK COLONIAL,1100000.0,462.85,2377.0,2025-09-01,Resale,Strata,43.0,25581.0,Condominium,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10,1.33848269211186,103.86884654561,2 WOODLEIGH LANE PARK COLONIAL SINGAPORE 357685,61.0,2,1,1,8,18,5
THE POIZ RESIDENCES,818000.0,419.8,1949.0,2025-09-01,Resale,Strata,39.0,20974.0,Apartment,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10,1.33121322654223,103.86835187149,8 MEYAPPA CHETTIAR ROAD THE POIZ RESIDENCES SINGAPORE 358455,61.0,2,0,1,10,17,7
THE TRE VER,1480000.0,742.72,1993.0,2025-09-01,Resale,Strata,69.0,21449.0,Condominium,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15,1.33784148223452,103.864199228389,66 POTONG PASIR AVENUE 1 THE TRE VER SINGAPORE 358394,61.0,2,2,1,9,21,2
THE POIZ RESIDENCES,888000.0,441.32,2012.0,2025-09-01,Resale,Strata,41.0,21659.0,Apartment,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10,1.33121322654223,103.86835187149,8 MEYAPPA CHETTIAR ROAD THE POIZ RESIDENCES SINGAPORE 358455,61.0,2,0,1,10,17,7
THE POIZ RESIDENCES,1900000.0,839.59,2263.0,2025-09-01,Resale,Strata,78.0,24359.0,Apartment,99 yrs lease commencing from 2014,13,Rest of Central Region,11 to 15,1.33121322654223,103.86835187149,8 MEYAPPA CHETTIAR ROAD THE POIZ RESIDENCES SINGAPORE 358455,61.0,2,0,1,10,17,7
THE WOODLEIGH RESIDENCES,2580000.0,958.0,2693.0,2025-09-01,Sub Sale,Strata,89.0,28989.0,Apartment,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,1.3391406303957,103.871225060767,25 BIDADARI PARK DRIVE THE WOODLEIGH RESIDENCES SINGAPORE 367797,61.0,2,1,1,10,17,7
THE TRE VER,1200000.0,613.55,1956.0,2025-09-01,Resale,Strata,57.0,21053.0,Condominium,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15,1.33784148223452,103.864199228389,66 POTONG PASIR AVENUE 1 THE TRE VER SINGAPORE 358394,61.0,2,2,1,9,21,2
BARTLEY RIDGE,2880000.0,1550.02,1858.0,2025-08-01,Resale,Strata,144.0,20000.0,Condominium,99 yrs lease commencing from 2012,13,Rest of Central Region,06 to 10,1.3410912750043,103.88145756434,46 MOUNT VERNON ROAD BARTLEY RIDGE SINGAPORE 368063,60.0,1,0,0,8,13,14
