Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
WATTEN HILL,4700000.0,2669.47,1761.0,2025-08-01,248.0,18952.0,1.33080602433021,103.809520144553,48 WATTEN VIEW WATTEN HILL SINGAPORE 287179,7.018102241408999,1.0,1,1,0,11,6,5,,1.0,1,0
SOLEIL @ SINARAN,1900000.0,936.47,2029.0,2025-08-01,87.0,21839.0,1.31960020004528,103.845271738384,2 SINARAN DRIVE SOLEIL @ SINARAN SINGAPORE 307467,4.096964545722665,1.0,1,1,4,14,14,7,4.0,1.0,1,0
MONTEBLEU,1650000.0,807.3,2044.0,2025-08-01,75.0,22000.0,1.32378273509884,103.850102052541,8 MINBU ROAD MONTEBLEU SINGAPORE 308162,4.510651977234295,1.0,1,3,4,12,18,4,6.0,1.0,1,0
THE AXIS,755000.0,398.27,1896.0,2025-08-01,37.0,20405.0,1.32462194319897,103.849957588255,47 MANDALAY ROAD THE AXIS SINGAPORE 308227,4.6038020641452535,1.0,2,3,4,12,19,4,2.0,1.0,0,0
THE LINCOLN RESIDENCES,4380000.0,1980.58,2211.0,2025-08-01,184.0,23804.0,1.31537475902919,103.842399874258,28 SURREY ROAD THE LINCOLN RESIDENCES SINGAPORE 307762,3.70557482758304,1.0,3,2,2,14,13,6,4.0,1.0,1,0
SHELFORD SUITES,2700000.0,1270.15,2126.0,2025-08-01,118.0,22881.0,1.32660135432463,103.812654850327,16 SHELFORD ROAD SHELFORD SUITES SINGAPORE 288383,6.438582001199515,1.0,3,1,0,13,7,8,1.0,1.0,1,0
ADAM PARK CONDOMINIUM,3000000.0,2798.64,1072.0,2025-08-01,260.0,11538.0,1.32804489589413,103.813395586111,27A ADAM ROAD ADAM PARK CONDOMINIUM SINGAPORE 289900,6.5056226819707295,1.0,3,1,0,13,7,8,1.0,1.0,1,0
GLOUCESTER MANSIONS,1300000.0,656.6,1980.0,2025-08-01,61.0,21311.0,1.31369315585356,103.840387458086,10 NEWTON ROAD GLOUCESTER MANSIONS SINGAPORE 307947,3.5935288260621085,1.0,3,1,2,14,10,5,3.0,1.0,0,0
M21,1800000.0,1065.64,1689.0,2025-08-01,99.0,18182.0,1.32252212187302,103.848891107309,21 MANDALAY ROAD M21 SINGAPORE 308208,4.376450490663607,1.0,1,3,4,12,14,6,2.0,1.0,0,0
SHELFORD SUITES,2750000.0,1270.15,2165.0,2025-08-01,118.0,23305.0,1.32660135432463,103.812654850327,16 SHELFORD ROAD SHELFORD SUITES SINGAPORE 288383,6.438582001199515,1.0,3,1,0,13,7,8,1.0,1.0,1,0
THE TREVOSE,3158000.0,1733.0,1822.0,2025-08-01,161.0,19615.0,1.32302176043306,103.82529938582,60 TREVOSE CRESCENT THE TREVOSE SINGAPORE 298090,5.269266023284268,1.0,3,0,0,13,6,5,1.0,1.0,1,0
THOMSON 800,3300000.0,1625.36,2030.0,2025-07-01,151.0,21854.0,1.3411028334318,103.838741075921,808 THOMSON ROAD THOMSON 800 SINGAPORE 298190,6.567971581242121,2.0,4,1,0,13,13,2,1.0,1.0,1,0
CUBE 8,2700000.0,1334.74,2023.0,2025-07-01,124.0,21774.0,1.3283636088892,103.841418362322,376 THOMSON ROAD CUBE 8 SINGAPORE 298130,5.12816729630684,2.0,3,0,3,12,14,4,4.0,1.0,1,0
SANCTUARY@NEWTON,2700720.0,1022.58,2641.0,2025-07-01,95.0,28429.0,1.31602422236802,103.84157165109,2 SURREY ROAD SANCTUARY@NEWTON (U/C) SINGAPORE 307742,3.799414011967981,2.0,3,2,2,14,13,7,1.0,0.0,0,0
MONTEBLEU,1668000.0,850.36,1962.0,2025-07-01,79.0,21114.0,1.32378273509884,103.850102052541,8 MINBU ROAD MONTEBLEU SINGAPORE 308162,4.510651977234295,2.0,1,3,4,12,18,4,2.0,1.0,1,0
THE LINCOLN MODERN,2980000.0,1410.08,2113.0,2025-07-01,131.0,22748.0,1.31532312585557,103.843055868846,20 LINCOLN ROAD THE LINCOLN MODERN SINGAPORE 308353,3.681849969048285,2.0,3,2,2,14,13,6,5.0,1.0,0,0
AMARYLLIS VILLE,2850000.0,1259.39,2263.0,2025-07-01,117.0,24359.0,1.31478233515073,103.841958399488,22 NEWTON ROAD AMARYLLIS VILLE SINGAPORE 307990,3.655547978307824,2.0,3,2,2,14,13,6,5.0,1.0,1,0
21 SHELFORD,1800000.0,871.88,2064.0,2025-07-01,81.0,22222.0,1.32740019884468,103.812256773798,21 SHELFORD ROAD 21 SHELFORD SINGAPORE 288411,6.53413729198973,2.0,3,1,0,13,7,8,1.0,1.0,1,0
THE TREVOSE,3650000.0,1926.76,1894.0,2025-07-01,179.0,20391.0,1.32302176043306,103.82529938582,60 TREVOSE CRESCENT THE TREVOSE SINGAPORE 298090,5.269266023284268,2.0,3,0,0,13,6,5,1.0,1.0,1,0
TRILIGHT,2650000.0,1087.16,2438.0,2025-07-01,101.0,26238.0,1.31447883237245,103.839899712589,7 NEWTON ROAD TRILIGHT SINGAPORE 307945,3.693489005647367,2.0,3,1,2,14,10,5,3.0,1.0,1,0
L'VIV,2300000.0,1001.05,2298.0,2025-07-01,93.0,24731.0,1.31544838531983,103.840354841468,23 NEWTON ROAD L'VIV SINGAPORE 307955,3.778505845346688,2.0,3,1,2,14,12,6,2.0,1.0,0,0
MINBU COURT,1350000.0,990.29,1363.0,2025-07-01,92.0,14674.0,1.32548941766951,103.848375446944,54 MINBU ROAD MINBU COURT SINGAPORE 308184,4.707331787040645,2.0,2,2,4,12,20,3,1.0,1.0,0,0
WATTEN HOUSE,5063000.0,1539.25,3289.0,2025-07-01,143.0,35406.0,1.32924471287251,103.81094165707,36 SHELFORD ROAD WATTEN HOUSE (U/C) SINGAPORE 288429,6.784008389875134,2.0,3,1,0,11,6,7,1.0,0.0,1,0
SHELFORD SUITES,2720000.0,1270.15,2141.0,2025-07-01,118.0,23051.0,1.32660135432463,103.812654850327,16 SHELFORD ROAD SHELFORD SUITES SINGAPORE 288383,6.438582001199515,2.0,3,1,0,13,7,8,1.0,1.0,1,0
FYVE DERBYSHIRE,2350000.0,936.47,2509.0,2025-07-01,87.0,27011.0,1.3162773675544,103.845724040655,5 DERBYSHIRE ROAD FYVE DERBYSHIRE SINGAPORE 309461,3.7261930135692727,2.0,3,2,2,14,13,7,2.0,1.0,0,0
APLETON VIEW,2130000.0,1054.87,2019.0,2025-07-01,98.0,21735.0,1.31906972390327,103.846101471001,71 SINARAN DRIVE APLETON VIEW SINGAPORE 308323,4.025490053197462,2.0,1,1,4,14,12,7,3.0,1.0,0,0
WATTEN HILL,5000000.0,2669.47,1873.0,2025-07-01,248.0,20161.0,1.33080602433021,103.809520144553,48 WATTEN VIEW WATTEN HILL SINGAPORE 287179,7.018102241408999,2.0,1,1,0,11,6,5,,1.0,1,0
NEWTON SUITES,1825000.0,796.54,2291.0,2025-07-01,74.0,24662.0,1.31780091416565,103.842313806169,60 NEWTON ROAD NEWTON SUITES SINGAPORE 307994,3.967671598329251,2.0,3,2,3,14,13,7,7.0,1.0,0,0
APLETON VIEW,2350000.0,1205.57,1949.0,2025-07-01,112.0,20982.0,1.31906972390327,103.846101471001,71 SINARAN DRIVE APLETON VIEW SINGAPORE 308323,4.025490053197462,2.0,1,1,4,14,12,7,1.0,1.0,0,0
THE LINCOLN RESIDENCES,4200000.0,1840.64,2282.0,2025-07-01,171.0,24561.0,1.31537475902919,103.842399874258,28 SURREY ROAD THE LINCOLN RESIDENCES SINGAPORE 307762,3.70557482758304,2.0,3,2,2,14,13,6,2.0,1.0,1,0
MONTEBLEU,2350000.0,1227.1,1915.0,2025-07-01,114.0,20614.0,1.32378273509884,103.850102052541,8 MINBU ROAD MONTEBLEU SINGAPORE 308162,4.510651977234295,2.0,1,3,4,12,18,4,4.0,1.0,1,0
1 MOULMEIN RISE,2850000.0,1237.86,2302.0,2025-07-01,115.0,24783.0,1.31908636997896,103.847053580169,1 MOULMEIN RISE 1 MOULMEIN RISE SINGAPORE 308143,4.014343248034238,2.0,1,3,4,14,12,7,5.0,1.0,0,0
LINCOLN SUITES,5560000.0,3143.09,1769.0,2025-07-01,292.0,19041.0,1.31710864002609,103.842743087159,3 KHIANG GUAN AVENUE LINCOLN SUITES SINGAPORE 308381,3.881888940990309,2.0,3,2,3,14,13,7,5.0,1.0,1,0
TRILIGHT,2728000.0,1087.16,2509.0,2025-07-01,101.0,27010.0,1.31447883237245,103.839899712589,7 NEWTON ROAD TRILIGHT SINGAPORE 307945,3.693489005647367,2.0,3,1,2,14,10,5,6.0,1.0,1,0
35 GILSTEAD,2650000.0,1033.34,2564.0,2025-07-01,96.0,27604.0,1.31711023904743,103.837956844749,35 GILSTEAD ROAD 35 GILSTEAD SINGAPORE 309079,4.041420945749914,2.0,3,1,2,14,12,6,1.0,,0,0
PARK INFINIA AT WEE NAM,3640000.0,1463.9,2487.0,2025-07-01,136.0,26765.0,1.31441386999901,103.843291191875,2A LINCOLN ROAD PARK INFINIA AT WEE NAM SINGAPORE 308364,3.57796230174373,2.0,3,2,2,14,11,6,3.0,1.0,1,0
SKY@ELEVEN,6400000.0,2712.53,2359.0,2025-07-01,252.0,25397.0,1.33127079751604,103.841021896647,7 THOMSON LANE SKY@ELEVEN SINGAPORE 297725,5.451828930281204,2.0,4,1,3,12,15,2,8.0,1.0,1,0
