Method,Best_R2,Best_Alpha
GridSearchCV,0.7424456165616762,6866.488450042998
RandomizedSearchCV,0.7424077022743457,7200.236252492147
RidgeCV (R²),0.7416813336799621,6905.513520162331
RidgeCV (MSE),0.7416813336799621,6905.513520162331
