District,Property_Index,Actual_Price,Area_SQFT,Floor_Level,Young_Adults_20_35_Predicted,Young_Adults_20_35_Difference,Young_Adults_20_35_Percent_Diff,Families_36_59_Predicted,Families_36_59_Difference,Families_36_59_Percent_Diff,Retirees_60_Plus_Predicted,Retirees_60_Plus_Difference,Retirees_60_Plus_Percent_Diff
1,0,-0.20851033306284067,-0.4604432717922484,-1.619746767149293,-0.26617556651614555,-0.057665233453304876,27.655815712464367,-0.26616075638793446,-0.05765042332509379,27.648712885475636,-0.2661038117765203,-0.05759347871367965,27.62140267471645
1,1,-0.08424479426616963,-0.4604432717922484,0.947931434445314,-0.08842202872093292,-0.004177234454763298,4.958448164245515,-0.08842119426968142,-0.004176400003511799,4.957457656453587,-0.08843529751384176,-0.004190503247672131,4.974198446532287
1,2,-0.3011273981784024,-0.3314359560358763,-0.1525020805238033,-0.3191505668196791,-0.018023168641276732,5.9852304208463085,-0.3192072188595842,-0.018079820681181802,6.004043733832032,-0.3194510825721921,-0.01832368439378973,6.085027302276194
1,3,-0.09681055901760224,-0.4420038717830098,0.2143090911325691,-0.12110682394866636,-0.024296264931064113,25.096709674661138,-0.1211016934525676,-0.02429113443496536,25.091410153461368,-0.12109447688323459,-0.024283917865632346,25.08395583297583
1,4,1.5057287353580557,2.2670812747925058,-1.619746767149293,2.2194473747445995,0.7137186393865438,47.40021377202612,2.219416109137328,0.7136873737792722,47.39813732847175,2.2193709358699696,0.7136422005119138,47.39513723514168
1,5,-0.3985028784288702,-0.1102830034645348,0.2143090911325691,-0.3784657209193186,0.020037157509551595,-5.028108602013042,-0.37844870085200766,0.020054177576862564,-5.032379604365163,-0.3784274866362617,0.020075391792608532,-5.037703083038543
1,6,1.1786639722927845,0.534736454240251,0.2143090911325691,0.8377576109537653,-0.3409063613390192,-28.923117135401572,0.837778791144475,-0.34088518114830957,-28.921320169412322,0.8378400599826181,-0.3408239123101664,-28.916122009497077
1,7,-0.01186523914607005,-0.3682976349772791,0.947931434445314,0.0018131087986081708,0.013678347944678221,-115.28084496475321,0.0018161887633238488,0.013681427909393898,-115.30680284624013,0.001808833016520257,0.013674072162590306,-115.24480875818983
1,8,0.7555768875026001,1.0507485961886651,-0.8861244238365482,1.0759381423701648,0.3203612548675647,42.39955723453257,1.0758836284473325,0.32030674094473244,42.392342360211515,1.075752492824568,0.320175605321968,42.37498666485695
1,9,-0.2686696260614335,-0.4788655507244125,-1.619746767149293,-0.28448477719902526,-0.015815151137591743,5.886467841353782,-0.2844695383977468,-0.015799912336313282,5.880795893429539,-0.2844119650562107,-0.015742338994777172,5.859366846022838
2,0,-0.036026855650433454,-0.3044140234127974,-0.4191677623606668,-0.19688223975361122,-0.16085538410317776,446.4874361058552,-0.19690393801470085,-0.1608770823642674,446.5476641238099,-0.19675930538633102,-0.16073244973589756,446.1462063064161
2,1,-0.16829960534367813,-0.1943917089975603,1.1099264713396355,-0.21613962384014002,-0.047840018496461884,28.42550842515027,-0.21621281806586198,-0.04791321272218385,28.468998857330728,-0.2164194752819619,-0.048119869938283766,28.591790123345824
2,2,-0.15386985083168775,0.0728011684389923,0.3453793544894844,-0.06637107093960351,0.08749877989208424,-56.86544792182568,-0.06613174455553035,0.0877381062761574,-57.02098611386236,-0.06607811869906913,0.08779173213261862,-57.05583755238093
2,3,0.2068740119680702,0.2142459142572274,-1.5659884376358937,-0.05241183050328305,-0.2592858424713532,-125.33514480850909,-0.052587472270125044,-0.25946148423819526,-125.4200475786401,-0.05303040172386747,-0.2599044136919377,-125.63415347310634
2,4,-0.18753927802633186,-0.2415399576036386,1.4922000297647111,-0.25122749284737594,-0.06368821482104409,33.95993388227815,-0.2512887076622727,-0.06374942963594082,33.99257494581479,-0.251511304664474,-0.06397202663814217,34.11126848273354
2,5,-0.2596880505862835,-0.3358510563173768,-0.0368942039355911,-0.33337511129749187,-0.07368706071120834,28.37522194219144,-0.3334189531988379,-0.07373090261255438,28.392104467685808,-0.3334326008001668,-0.07374455021388326,28.397359850556935
2,6,-0.3174070686342448,-0.4458587692310324,0.3453793544894844,-0.5433801216074389,-0.2259730529731941,71.19345323515395,-0.5431545378701729,-0.2257474692359281,71.12238243693997,-0.5431517126628977,-0.22574464402865296,71.12149234735018
2,7,-0.11058058729571682,-0.2729769905082179,1.1099264713396355,0.22598747802455565,0.3365680653202725,-304.36451238969767,0.2259297603894916,0.33651034768520843,-304.31231730150404,0.22594692191276136,0.3365275092084782,-304.32783677349227
2,8,-0.3760880703163387,-0.3515622720188758,-1.183714879210818,-0.4023071994162607,-0.026219129099922023,6.971539692250367,-0.4025084388646251,-0.026420368548286444,7.025048288839233,-0.4023447973255734,-0.026256727009234704,6.981536794599574
2,9,-0.4280351865595039,-0.6344663651569274,1.4922000297647111,-0.612600020464038,-0.18456483390453415,43.1190798560381,-0.6126716464336202,-0.18463645987411625,43.13581351995901,-0.6129327289928046,-0.1848975424333007,43.19680910335555
