District,Demographic,N_Samples,Alpha,R2,RMSE,MAE
1,Young_Adults_20_35,1638,3.7649358067924674,0.9132267713265272,0.29614375157535006,0.15632694538533437
1,Families_36_59,1638,3.7649358067924674,0.9132275979214264,0.2961423410510375,0.15632260806638199
1,Retirees_60_Plus,1638,3.7649358067924674,0.9132303392031074,0.29613766320435614,0.15630663714327497
2,Young_Adults_20_35,1207,7.56463327554629,0.9449482832566187,0.2381743337154374,0.14526484550359708
2,Families_36_59,1207,7.56463327554629,0.9449504295629518,0.23816969080787995,0.14527825997843635
2,Retirees_60_Plus,1207,7.56463327554629,0.9449520321355601,0.23816622405057858,0.14529038969722735
3,Young_Adults_20_35,4625,0.001,0.8827116082158377,0.3490497073828692,0.23459712908531924
3,Families_36_59,4625,0.001,0.8827116082158363,0.34904970738287144,0.23459712910834837
3,Retirees_60_Plus,4625,0.001,0.8827116082158368,0.34904970738287056,0.23459712926029894
4,Young_Adults_20_35,2112,2.4770763559917115,0.8421262127782032,0.401100821804385,0.22280374276406512
4,Families_36_59,2112,2.4770763559917115,0.8421287831411568,0.4010975566046721,0.22280810010877522
4,Retirees_60_Plus,2112,2.4770763559917115,0.8421453581205005,0.401076500333757,0.22282394240194703
5,Young_Adults_20_35,7943,70.54802310718645,0.8595809468983405,0.3800252323477415,0.26150887817073204
5,Families_36_59,7943,70.54802310718645,0.8595831993413696,0.38002218436885515,0.2615022562656743
5,Retirees_60_Plus,7943,81.11308307896873,0.8595529025198709,0.380063179617472,0.26160542991053015
6,Young_Adults_20_35,705,107.22672220103232,0.9198489439263859,0.2858331590286922,0.06904071979461666
6,Families_36_59,705,107.22672220103232,0.9199854959405745,0.2855895706480036,0.06912521753859276
6,Retirees_60_Plus,705,107.22672220103232,0.9206300507008478,0.2844369650721999,0.06950184172637953
7,Young_Adults_20_35,1337,35.111917342151344,0.8975613434145784,0.32415779144528656,0.15574386944100913
7,Families_36_59,1337,35.111917342151344,0.8975491800862101,0.3241770357460124,0.15573927038055005
7,Retirees_60_Plus,1337,35.111917342151344,0.8975401289302197,0.3241913553586735,0.15572098939324783
