Scaler,Mean_R2,Std_R2,Min_R2,Max_R2
None (Already Normalized),0.7416813336799621,0.0387868279445851,0.6817820361883516,0.8007048974964842
RobustScaler,0.7333535891700732,0.047040872396257684,0.6758352584680426,0.8247163386895523
StandardScaler,0.7016409762846163,0.07131232305639738,0.5340739877063343,0.7719408055113326
MinMaxScaler,0.019234324235668808,0.01586115496158751,-0.001459004045025969,0.046177648672127036
